Cruise,Station,Cast,pressure_db,depth_m,temperature_degC,practical_salinity_psu,absolute_salinity_psu,potential_temp_degC,conservative_temp_degC,in_situ_density_kgpm3,potential_density_kgpm3,oxygen_V,beam_attenuation_pm,beam_transmission_percent,fluorescence_mgpm3,latitude,longitude
RC0078,S1,C1,77.668,77,9.6155,30.308,30.453842034601717,9.607308759156556,9.682565198196079,1023.5978478999666,1023.2445732935188,2.1046,0.572,86.6761,1.9041,47.98442,-122.61838
RC0078,S1,C1,78.672,78,9.6152,30.3089,30.4547758749662,9.606902446616122,9.682140953438019,1023.6031707730533,1023.2453358446663,2.1016,0.5737,86.6389,1.9606,47.98442,-122.61838
RC0078,S1,C1,79.684,79,9.6144,30.3107,30.45661428296507,9.605995469717048,9.681197541303467,1023.6093075002151,1023.2468756671387,2.0996,0.5732,86.6488,1.8302,47.98441,-122.61837
RC0078,S1,C1,80.691,80,9.6149,30.3098,30.45573954726745,9.606388548415465,9.681608469862766,1023.6131204462564,1023.2461151807378,2.099,0.5701,86.7161,1.9773,47.9844,-122.61836
RC0078,S1,C1,81.702,81,9.615,30.3098,30.455769263538997,9.606381322818047,9.681601200338568,1023.6177132300285,1023.2461163080268,2.0984,0.5651,86.824700000000007,1.9653,47.9844,-122.61834
RC0078,S1,C1,82.71,82,9.5747,30.3874,30.53377268206715,9.565990089517515,9.639635268878354,1023.688900654829,1023.3127000923272,2.0972,0.56,86.9364,1.7547,47.9844,-122.61834
RC0078,S1,C1,83.717,83,9.5691,30.3962,30.54264475031035,9.560285958372301,9.63374636266117,1023.7012049957749,1023.3204256871114,2.092,0.5593,86.9501,1.8546,47.98438,-122.61832
RC0078,S1,C1,84.729,84,9.5728,30.3901,30.53654518584782,9.563877270248474,9.637463579908434,1023.7004996324154,1023.3151269418635,2.0802,0.5617,86.899,1.9624,47.98438,-122.61832
RC0078,S1,C1,85.736,85,9.5733,30.3892,30.53567052518021,9.564270469478922,9.637874544550812,1023.7043123997793,1023.3143664419023,2.0754,0.57,86.7191,1.9923,47.98438,-122.6183
RC0078,S1,C1,86.748,86,9.5485,30.4353,30.582022586201255,9.539373627076701,9.612040751894924,1023.7486211229963,1023.3540612022381,2.0736,0.5908,86.2686,1.8963,47.98437,-122.61829
RC0078,S1,C1,87.753,87,9.5448,30.4419,30.588684070629398,9.535568927493546,9.608100731115952,1023.7589088495988,1023.3597814818257,2.0698,0.5853,86.3889,1.8006,47.98436,-122.61828
RC0078,S1,C1,88.766,88,9.544,30.4436,30.59042217424249,9.534662108859104,9.607159498305908,1023.7649721464944,1023.3612434991519,2.063,0.6203,85.6347,1.8296,47.98436,-122.61828
RC0078,S1,C1,89.669,89,9.5451,30.4417,30.58853966379869,9.535666112880117,9.608201909507844,1023.7674398535089,1023.3596109573383,2.0602,0.6142,85.7666,1.8113,47.98433,-122.61825
RC0078,S2,C1,12.1,12,9.6372,30.4787,30.625480844650298,9.635923808150078,9.708412824423698,1023.4279139292279,1023.3727038008712,2.1313,0.3832,90.8663,1.6359,48.24846,-122.9934
RC0078,S2,C1,13.111,13,9.5469,30.5154,30.6623426492055,9.545525347770157,9.616857424623642,1023.475175773013,1023.4153432316695,2.1591,0.3899,90.7134,1.5572,48.2485,-122.99328
RC0078,S2,C1,14.117,14,9.4759,30.5505,30.697596776359052,9.47442664159608,9.54474928842208,1023.518103528421,1023.4536746645921,2.1294,0.3808,90.919,1.4633,48.2485,-122.99328
RC0078,S2,C1,15.129,15,9.4462,30.5692,30.71637182449755,9.444623909293172,9.514457769422565,1023.5418701930247,1023.4728285016729,2.1038,0.362,91.3484,1.6652,48.2485,-122.99328
RC0078,S2,C1,16.138,16,9.4296,30.5839,30.73112764318564,9.427920367999375,9.497409331602594,1023.5604773899138,1023.4868402623006,2.0847,0.3498,91.6274,1.8607,48.2485,-122.99328
RC0078,S2,C1,17.14,17,9.4042,30.6065,30.753821577209767,9.402418693366636,9.471379712435244,1023.5865545690034,1023.5083509880017,2.0746000000000002,0.3358,91.9474,1.3331,48.2485,-122.99328
RC0078,S2,C1,18.152,18,9.3783,30.6284,30.77581197109899,9.376416373434488,9.444860028683555,1023.612207123147,1023.5293904946013,2.0575,0.3439,91.7605,1.2585,48.2485,-122.99326
RC0078,S2,C1,19.159,19,9.3559,30.6577,30.8052380304684,9.353914167302376,9.421736623444254,1023.643044248234,1023.5556396718293,2.0494,0.3507,91.6051,1.323,48.2485,-122.99326
RC0078,S2,C1,20.165,20,9.3316,30.6914,30.83907867210066,9.329512462331932,9.396630746154335,1023.6775887477725,1023.5856002016368,2.0426,0.3808,90.9211,1.0529,48.2485,-122.99326
RC0078,S2,C1,21.179,21,9.324,30.6999,30.847564060805695,9.321808303855226,9.388740760347856,1023.6900008703012,1023.5933950164562,2.02,0.3557,91.4908,0.8199,48.2485,-122.99326
RC0078,S2,C1,22.196,22,9.3219,30.703,30.85062329841998,9.319603166100602,9.386471228537758,1023.697379814865,1023.5961447459807,2.0144,0.3429,91.7845,0.9588,48.24852,-122.99324
RC0078,S2,C1,23.187,23,9.3177,30.71,30.857602685133404,9.315300965570055,9.382027415518774,1023.7079958405056,1023.6022496020809,2.0107,0.3388,91.8802,0.8825,48.24852,-122.99324
RC0078,S2,C1,24.207,24,9.3,30.7363,30.88397318586744,9.297497566925406,9.363683678141681,1023.735830907051,1023.6254379015867,2.004,0.3402,91.847,0.8465,48.24852,-122.99324
RC0078,S2,C1,25.218,25,9.2874,30.7555,30.90320998503788,9.284794572437544,9.350588577263604,1023.7573180163785,1023.6423203591582,1.9999,0.3293,92.0963,0.7735,48.24852,-122.99323
RC0078,S2,C1,26.213,26,9.2732,30.7776,30.925361515796723,9.270493557973419,9.33583874160871,1023.7812328880589,1023.6617028895977,1.9959,0.3211,92.2867,0.9825,48.24852,-122.99322
RC0078,S2,C1,27.228,27,9.248,30.8157,30.963588656113746,9.245192228087808,9.30976208933626,1023.8193725065786,1023.695215618402,1.9884,0.307,92.6133,0.7305,48.24852,-122.99322
RC0078,S2,C1,28.238,28,9.2282,30.8471,30.9950837914803,9.22529079956939,9.289228589780013,1023.8514473691042,1023.7226878349236,1.9791,0.2993,92.7903,0.6529,48.24852,-122.99322
RC0078,S2,C1,29.245,29,9.2091,30.876,31.02406699008876,9.20608982971707,9.269442625639517,1023.8814560273247,1023.7481069876297,1.9716,0.2927,92.9441,0.7147,48.24852,-122.99322
RC0078,S2,C1,30.265,30,9.1218,30.9872,31.13575763313186,9.118699620404579,9.179745772049818,1023.9859863749947,1023.8479606405263,1.9619,0.2847,93.1295,0.6354,48.24852,-122.9932
RC0078,S2,C1,31.256,31,9.1092,30.9989,31.147510354168702,9.106000340352002,9.166787430784877,1024.0015422203353,1023.8589982507967,1.9549,0.2841,93.1435,0.6441,48.24852,-122.9932
RC0078,S2,C1,32.278,32,9.0958,31.014,31.162679266579527,9.092498054200089,9.152966030489537,1024.0200060457664,1023.8728027435797,1.9361,0.2769,93.3105,0.5995,48.24852,-122.9932
RC0078,S2,C1,33.277,33,9.0838,31.0289,31.17764729514291,9.08039792781865,9.140557721539812,1024.0379946373578,1023.8862375000125,1.925,0.2647,93.5959,0.5574,48.24852,-122.9932
RC0078,S2,C1,34.297,34,9.0758,31.0408,31.189600867309565,9.072294888574792,9.132216742300516,1024.0531340488421,1023.8967296319664,1.9144,0.2484,93.9781,0.5569,48.24852,-122.99318
RC0078,S2,C1,35.282,35,9.0054,31.1414,31.29067974978653,9.001807486599516,9.0597180694069,1024.1466372383268,1023.9857191953358,1.9128,0.2481,93.9853,0.5888,48.24852,-122.99318
RC0078,S2,C1,36.305,36,8.9146,31.2652,31.41506968942264,8.910921305752833,8.966362434314338,1024.2614469391642,1024.0958299511333,1.8986,0.2391,94.2004,0.4106,48.24852,-122.99318
RC0078,S2,C1,37.326,37,8.7773,31.4544,31.605173095630555,8.773545810876028,8.825276193108685,1024.4341454196144,1024.2638154125045,1.8652,0.2172,94.7152,0.3524,48.24852,-122.99318
RC0078,S2,C1,38.317,38,8.7651,31.4679,31.61873438470807,8.761248657025698,8.812705825493246,1024.4510244356823,1024.2761719720434,1.8554,0.2108,94.8668,0.3168,48.24852,-122.99318
RC0078,S2,C1,39.333,39,8.7383,31.5012,31.652190488768017,8.734352294731353,8.78515243454285,1024.4856310022906,1024.3061347523453,1.8152,0.1814,95.5663,0.3179,48.24852,-122.99316
RC0078,S2,C1,40.341,40,8.6748,31.5902,31.741616554034753,8.670764860827413,8.719855705598235,1024.5690843508262,1024.3849636843177,1.8022,0.1723,95.7834,0.3477,48.24852,-122.99316
RC0078,S2,C1,41.351,41,8.641,31.6358,31.787440419848068,8.63687131186769,8.685086582405406,1024.6142830965935,1024.425541575368,1.7827,0.1634,95.9973,0.3077,48.24853,-122.99316
RC0078,S2,C1,42.363,42,8.6339,31.6457,31.797393184002814,8.629671635073121,8.677698006205402,1024.6276849558203,1024.434327023845,1.7602,0.1669,95.9136,0.2693,48.24854,-122.99316
RC0078,S2,C1,43.36,43,8.6215,31.6604,31.81216887960384,8.617174955018298,8.664913704612829,1024.6455496719718,1024.4476398514496,1.755,0.1593,96.0969,0.3134,48.24854,-122.99315
RC0078,S2,C1,44.365,44,8.6128,31.6708,31.82262400865115,8.608376648046352,8.655912380159444,1024.6595477090348,1024.4570516093117,1.7424,0.1512,96.2898,0.2828,48.24854,-122.99314
RC0078,S2,C1,45.38,45,8.6052,31.6802,31.83207439989097,8.600677118696227,8.648030601068466,1024.672647857299,1024.4655205624729,1.7404,0.1679,95.8893,0.317,48.24854,-122.99314
RC0078,S2,C1,46.392,46,8.5867,31.7057,31.857701964393932,8.582080667242373,8.628950038054738,1024.6999048128841,1024.4881540299755,1.7349,0.1715,95.8033,0.3051,48.24854,-122.99314
RC0078,S2,C1,47.403,47,8.4643,31.8847,32.03756546013552,8.45961082859574,8.503147413567191,1024.8622319219996,1024.645804550671,1.7289,0.1796,95.6093,0.2689,48.24854,-122.99313
RC0078,S2,C1,48.406,48,8.4012,31.9771,32.13041377082871,8.396427670041327,8.438266143165903,1024.9481944049753,1024.7271576482217,1.7163,0.1846,95.4895,0.2994,48.24854,-122.99312
RC0078,S2,C1,49.417,49,8.3193,32.0989,32.25280311779191,8.31444922003757,8.35407688963144,1025.0598772297565,1024.8341827792503,1.6874,0.1857,95.4639,0.2786,48.24854,-122.99312
RC0078,S2,C1,50.432,50,8.2618,32.1991,32.35349603920526,8.256863539044762,8.294724908564662,1025.1511264118378,1024.9207745169356,1.648,0.1855,95.4674,0.3081,48.24854,-122.99312
RC0078,S2,C1,51.435,51,8.2564,32.2076,32.36205859408495,8.251366461085386,8.289076614095517,1025.1631393761288,1024.9282090196411,1.6255,0.1822,95.5479,0.3178,48.24854,-122.9931
RC0078,S2,C1,52.448,52,8.2539,32.2095,32.36398972199749,8.248767820475594,8.28643960072503,1025.1696241472846,1024.9300704786392,1.6065,0.1783,95.6411,0.2962,48.24854,-122.9931
RC0078,S2,C1,53.45,53,8.252,32.2118,32.3663225322561,8.246770001291242,8.284399188976842,1025.1762823440527,1024.9321565004234,1.598,0.179,95.6231,0.2877,48.24854,-122.9931
RC0078,S2,C1,54.46,54,8.2465,32.2204,32.37498574520465,8.241172368468806,8.27864864617956,1025.1884198241025,1024.939683476275,1.5941,0.1869,95.4345,0.3138,48.24854,-122.99309
RC0078,S2,C1,55.474,55,8.246,32.2214,32.37601258868651,8.240572925237194,8.278031602142477,1025.1939131429776,1024.9405512058177,1.5894,0.1719,95.7938,0.2681,48.24854,-122.99308
RC0078,S2,C1,56.481,56,8.2404,32.2307,32.385379114268346,8.234875630525407,8.272170286468127,1025.2065974489262,1024.9486388837315,1.5883,0.1825,95.5403,0.2903,48.24854,-122.99308
RC0078,S2,C1,57.49,57,8.2353,32.239,32.39374089619218,8.229678052757132,8.266826065117247,1025.2184374048495,1024.9558732827215,1.5863,0.1778,95.6535,0.2937,48.24854,-122.99308
RC0078,S2,C1,58.494,58,8.2195,32.2608,32.41566738913801,8.21378455344083,8.25054058756747,1025.2423557136829,1024.9752002817906,1.5837,0.185,95.4803,0.2767,48.24855,-122.99306
RC0078,S2,C1,59.508,59,8.1607,32.3343,32.48954235014207,8.15490497784411,8.19032930392776,1025.31295154123,1025.0411226217623,1.5781,0.1811,95.5729,0.2513,48.24856,-122.99306
RC0078,S2,C1,60.511,60,8.1356,32.3644,32.519808768585676,8.129715658777243,8.164594537888728,1025.3446969631693,1025.0682706071427,1.5711,0.1822,95.5468,0.2608,48.24856,-122.99305
RC0078,S2,C1,61.526,61,8.1175,32.3862,32.54173562908998,8.111522953372779,8.14600819833103,1025.3689963097365,1025.0879232967472,1.5575,0.1753,95.7135,0.2533,48.24856,-122.99304
RC0078,S2,C1,62.531,62,8.0977,32.4098,32.56547094675148,8.091632056276207,8.12569174613874,1025.3949012750609,1025.1092251629022,1.5464,0.172,95.7907,0.2336,48.24856,-122.99304
RC0078,S2,C1,63.538,63,8.0713,32.4443,32.6001587023419,8.06514330325555,8.098590909872252,1025.4302817774555,1025.1399885214212,1.538,0.1694,95.8541,0.2339,48.24856,-122.99303
RC0078,S2,C1,64.552,64,8.0471,32.4735,32.629521194003544,8.040853602043164,8.073779478317503,1025.461235346588,1025.166292987827,1.5298,0.1699,95.841,0.2339,48.24856,-122.99302
RC0078,S2,C1,65.557,65,8.0222,32.5037,32.65988833368817,8.01586529080873,8.048253928388458,1025.4930276409134,1025.1934760605116,1.5198,0.1647,95.9667,0.2427,48.24856,-122.99302
RC0078,S2,C1,66.566,66,8.0031,32.5254,32.68171475154817,7.996674799574039,8.02867506782758,1025.517358940564,1025.2131839313215,1.5139,0.1705,95.8284,0.2296,48.24856,-122.99301
RC0078,S2,C1,67.579,67,7.9898,32.5396,32.69600523721032,7.983281930433695,8.015026261745936,1025.535011064076,1025.226199192263,1.5001,0.151,96.2945,0.2244,48.24856,-122.993
RC0078,S2,C1,68.591,68,7.9773,32.5539,32.710396203647534,7.970688875284995,8.002178527715047,1025.552619888945,1025.2391767716726,1.4964,0.1803,95.5923,0.2346,48.24857,-122.993
RC0078,S2,C1,69.595,69,7.9278,32.6074,32.764175486133006,7.921112137526737,7.951646392393515,1025.606152200328,1025.2880742713382,1.4882,0.1588,96.1086,0.2153,48.24858,-122.99299
RC0078,S2,C1,70.599,70,7.9382,32.5956,32.75234083385741,7.931410874101388,7.962153471160868,1025.600031492662,1025.2773816353274,1.478,0.1625,96.018,0.2259,48.24858,-122.99298
