time,lat,lon,depth,Station,Cast,RosPos,SiO4,NO3_plus_NO2,TN,TON,PO4,TP,T_OP,TOC,NH4,NO2
2019-04-11T15:01:00.000Z,25.776601666666668,-158,7,Underway5,,,1.3562793175771757,0.004400080675806617,4.6502657428274565,4.64586566215165,0.027608126680136083,0.2183921458729033,0.19078401919276722,70.70115618015039,0.008959731543624167,0.0020725369515996353
2019-04-11T21:06:00.000Z,26.516208333333335,-157.99783333333335,7,Underway6,,,1.3521087169696198,0.0034452151904577405,4.714917807398653,4.711472592208195,0.03057848459759986,0.22150511944407442,0.19092663484647454,71.06776429003975,0.010973154362416112,0.00137542847364176
2019-04-12T03:04:00.000Z,27.518411666666665,-158.00312833333334,7,Underway7,,,1.4501178312471832,0.005132882277523424,4.636566494550749,4.631433612273225,0.030168035139913958,0.21659916109516159,0.18643112595524763,70.66782817016046,0.012583892617449665,0.0024923729476633953
2019-04-12T09:03:00.000Z,28.40875,-158.00022666666666,7,Underway8,,,1.4697792341113753,0.007059751788617678,4.613641221924422,4.606581470135804,0.03254432147388498,0.21372818546945255,0.18118386399556757,73.31502439221862,0.010033557046979866,0.0030423126232213536
2019-04-12T15:06:00.000Z,29.34906,-157.99983166666667,7,Underway9,,,1.9980155910626687,0.003933589877605751,4.371807553366218,4.367873963488613,0.03670282255833427,0.20447726400883443,0.16777444145050016,68.59673040649987,0.011241610738255034,0.005873356616010505
2019-04-12T22:42:00.000Z,30.437031833333332,-157.99993833333335,7,Underway10,,,2.1001357259391087,0.004746214691932707,4.360205128805333,4.355458914113401,0.03843103080122229,0.19930730790123574,0.16087627710001345,66.27329199577257,0.009228187919463088,0.0032462986112030716
2019-04-13T03:05:00.000Z,31.090816666666665,-158.00105,7,Underway11,,,2.1853351383506077,0.00589534461124901,4.342941280211727,4.337045935600479,0.054913816917766756,0.20237628184595924,0.14746246492819248,68.4396126451187,0.009228187919463088,0.002601694972871339
2019-04-13T06:54:47.000Z,31.091,-158.001,399.9,2,2,1,21.709090317970883,16.704632741935047,19.77131903833309,3.066686296398043,1.1829590058113146,1.2679364013880334,0.0849773955767188,,0.008206420196234323,0.005632826515203039
2019-04-13T06:56:50.000Z,31.091,-158.001,350.2,2,2,2,17.03175897568688,14.147938613816809,17.34103693829784,3.1930983244810314,1.0097258364548982,1.0977504674810221,0.0880246310261239,,0.00919685021991777,0.006315597162561257
2019-04-13T06:58:55.000Z,31.091,-158.001,300.2,2,2,3,13.488151748358211,12.220698192544774,15.368401132370575,3.147702939825802,0.871192210056868,0.9583475765498669,0.08715536649299893,,0.00806493019285097,0.00744182952026351
2019-04-13T07:00:57.000Z,31.091,-158.001,253.2,2,2,4,11.08977852547681,10.470912456743182,13.81952798415792,3.3486155274147382,0.7523231276987873,0.8389992927924257,0.0866761650936384,,0.008843125211459392,0.009754260197145877
2019-04-13T07:03:15.000Z,31.091,-158.001,199.4,2,2,5,7.500059136318883,7.432462524006285,10.825387422089285,3.3929248980830007,0.5414086612708822,0.6469279577178577,0.10551929644697555,,0.0099750452385262,0.012983740477751308
2019-04-13T07:04:58.000Z,31.091,-158.001,177.2,2,2,6,5.927405429605983,5.527593990865775,9.092543504484382,3.5649495136186076,0.4304306945471652,0.5365614212759389,0.10613072672877366,,0.04464009606744702,0.01873525484596299
2019-04-13T07:06:30.000Z,31.091,-158.001,149.5,2,2,7,4.755511861569911,3.703524898355626,7.326033153283497,3.6225082549278707,0.3153247298442966,0.431696539973874,0.11637181012957742,,0.01740327041615208,0.03556271500286661
2019-04-13T07:07:47.000Z,31.091,-158.001,124.5,2,2,8,3.3514484470696386,0.9396193015240419,4.92767986446508,3.9880605629410386,0.1340730291018124,0.26874751774074496,0.13467448863893255,,0.04711617112665563,0.17249335911144326
