time,lat,lon,depth,Nitrate_Nitrite,SRP,Nitrate_Nitrite_below_detection_flag
2019-04-14T07:40:30.000Z,34.7185678489179,-158,6,0.570216795255602,,0
2019-04-14T07:43:32.000Z,34.7263832486763,-158,6,0.587679238186918,,0
2019-04-14T07:46:33.000Z,34.7341632070532,-158,6,,,1
2019-04-14T07:49:26.000Z,34.7419476262295,-158,6,0.637528189686652,,0
2019-04-14T07:52:27.000Z,34.7497346103547,-158,6,0.659610666450566,,0
2019-04-14T07:58:30.000Z,34.7622365196467,-158,6,0.754669807323414,,0
2019-04-14T08:01:32.000Z,34.767321680182,-158,6,0.759548106205289,,0
2019-04-14T08:04:33.000Z,34.772404820295,-158,6,0.75956576452907,,0
2019-04-14T08:07:26.000Z,34.7774608782262,-158,6,0.737611693991572,,0
2019-04-14T08:10:27.000Z,34.7824104963385,-158,6,0.729295313717148,,0
2019-04-14T08:13:29.000Z,34.7876143474816,-158,6,0.760265942950625,,0
2019-04-14T08:16:30.000Z,34.7943935464018,-158,6,0.757881954201901,,0
2019-04-14T08:19:32.000Z,34.8021475256267,-158,6,0.761495986123627,,0
2019-04-14T08:22:33.000Z,34.8100839203004,-158,6,0.746477495467239,,0
2019-04-14T08:25:26.000Z,34.8180078646183,-158,6,0.748433255484465,,0
2019-04-14T08:28:27.000Z,34.8258842170248,-158,6,0.766883927730491,,0
2019-04-14T10:01:29.000Z,35.0663072991178,-158,6,,,1
2019-04-14T10:04:30.000Z,35.0716317499521,-158,6,,,1
2019-04-14T10:07:32.000Z,35.077145097064,-158,6,,,1
2019-04-14T10:13:26.000Z,35.0896010804892,-158,6,,,1
2019-04-14T10:16:27.000Z,35.0974532433508,-158,6,,,1
2019-04-14T10:19:29.000Z,35.105339563706,-158,6,,,1
2019-04-14T10:22:30.000Z,35.1130791122488,-158,6,,,1
2019-04-14T10:28:33.000Z,35.1288808624749,-158,6,,,1
2019-04-14T10:31:26.000Z,35.1369179656849,-158,6,,,1
2019-04-14T10:34:27.000Z,35.1448714739673,-158,6,,,1
2019-04-14T10:37:29.000Z,35.1527809598183,-158,6,,,1
2019-04-14T10:40:30.000Z,35.1607976664313,-158,6,,,1
2019-04-14T10:43:32.000Z,35.1688099683855,-158,6,,,1
2019-04-14T10:46:33.000Z,35.1768324688949,-158,6,,,1
2019-04-14T10:49:26.000Z,35.1847302628801,-158,6,,,1
2019-04-14T10:52:27.000Z,35.192536933639,-158,6,,,1
2019-04-14T10:55:29.000Z,35.2004402431725,-158,6,,,1
2019-04-14T11:04:33.000Z,35.2243131615757,-158,6,,,1
2019-04-14T11:07:26.000Z,35.2322218077776,-158,6,,,1
2019-04-14T11:10:27.000Z,35.2400755222662,-158,6,,,1
2019-04-14T11:13:29.000Z,35.2479988490044,-158,6,,,1
2019-04-14T11:16:30.000Z,35.2559646769936,-158,6,,,1
