Compound.Name,Replicate.Name,Treatment,Experiment,replicate,correct.Prediction.nmoles.per.L.per.hr,SE.correct.rate,correct.Prediction.nmoles.per.L,SE.correct.conc,Time incubated
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M2nM_B,2,K2,B,0.07561801519653989,0.0068088671372596036,0.06049441215723191,0.005447093709807683,48
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M5nM_B,5,K2,B,0.164796243701555,0.021819180394554504,0.11810397465278107,0.01563707928276406,43
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M10nM_B,10,K2,B,0.14177600505709423,0.01276592593942312,0.09688027012234772,0.008723382725272465,41
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M50nM_B,50,K2,B,0.5367821520971333,0.019868936891243857,0.3668011372663744,0.013577106875683302,41
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M200nM_B,200,K2,B,0.4719098979080937,0.021548798805342186,0.33820209350080044,0.015443305810495233,43
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M2000nM_B,2000,K2,B,0.658511493471917,0.030069578423200034,0.4719332369882071,0.021549864536626693,43
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M0nM_C,0,K2,C,0.0017509556708593694,1.576611670529304e-4,0.001167303780572913,1.0510744470195359e-4,0
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M2nM_C,2,K2,C,0.1349908584201726,0.01215497150168039,0.09899329617479323,0.008913645767898952,44
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M5nM_C,5,K2,C,0.2474717785812006,0.03276550034236924,0.19797742286496045,0.026212400273895393,48
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M10nM_C,10,K2,C,0.22992294391200518,0.03044201783596686,0.16094606073840362,0.0213094124851768,42
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M50nM_C,50,K2,C,0.4961780211807908,0.02265695294261447,0.4134816843173257,0.01888079411884539,50
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M200nM_C,200,K2,C,0.5057423992626422,0.018720003589756753,0.3371615995084281,0.012480002393171168,40
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M2000nM_C,2000,K2,C,0.5143350229252107,0.023486055233609325,0.4457570198685159,0.020354581202461416,52
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M2000nM_C1,2000,K2,C1,0.6144367723605726,0.028056996568400928,0.532511869379163,0.02431606369261414,52
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M2000nM_C11,2000,K2,C11,0.49263845831595593,0.018234962545304923,0.42695333054049517,0.015803634205930932,52
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M2000nM_C4,2000,K2,C4,0.5439609340150943,0.024838861776406596,0.4714328094797484,0.021527013539552383,52
13C-15N Glycine Betaine,190730_Smp_GBT-K2-M2000nM_C7,2000,K2,C7,0.5116460719585254,0.018938527435534393,0.44342659569738874,0.01641339044412981,52
