Cruise,Experiment,Compound,WH TT (hr),WH TT StdDev (hr)
KM1906,UKG1,GBT,42.5,5.5
KM1906,UKG2,GBT,8.23,1.2
RC078,UKG1,GBT,4.97,0.41
RC104,UKG1,GBT,16.4,2.3
TN412,UKG,GBT,  10,  1
RC078,UKH1,Homarine, 121, 13
RC078,UKH2,Homarine, 182, 21
RC104,UKH1,Homarine,55.8,2.8
TN397,UKH1,Homarine, 145,7.9
TN397,UKH2,Homarine, 308, 25
TN397,UKH3,Homarine, 339, 38
TN397,UKH4,Homarine, 132,4.5
TN397,UKH5,Homarine, 116,  7
