Name,SampID,Cruise,Vol_L,umol.in.vial.ave,nM.in.smp,nM_C,nM_N
Betonicine,220628_Smp_MU1_A,KM1906,10,0.16843551799527934,0.006737420719811173,0.04716194503867821,0.006737420719811173
Betonicine,220628_Smp_MU1_B,KM1906,10,0.18832055257392555,0.007532822102957021,0.05272975472069915,0.007532822102957021
Betonicine,220628_Smp_MU1_C,KM1906,10,0.18043714021957466,0.007217485608782987,0.05052239926148091,0.007217485608782987
Betonicine,220628_Smp_MU10_A,KM1906,10,0.08596977432724667,0.0034387909730898667,0.024071536811629067,0.0034387909730898667
Betonicine,220628_Smp_MU10_B,KM1906,10,0.09915268115606844,0.003966107246242737,0.02776275072369916,0.003966107246242737
Betonicine,220628_Smp_MU10_C,KM1906,10,0.05172879316943633,0.002069151726777453,0.01448406208744217,0.002069151726777453
Betonicine,220628_Smp_MU11_A,KM1906,10,0.6480601511750789,0.02592240604700315,0.18145684232902204,0.02592240604700315
Betonicine,220628_Smp_MU11_B,KM1906,10,1.1433466964153867,0.045733867856615464,0.3201370749963082,0.045733867856615464
Betonicine,220628_Smp_MU11_C,KM1906,10,0.6390290070271718,0.02556116028108687,0.17892812196760807,0.02556116028108687
Betonicine,220628_Smp_MU14_A,KM1906,10,0.2078365802182524,0.008313463208730098,0.058194242461110685,0.008313463208730098
Betonicine,220628_Smp_MU14_B,KM1906,10,0.29110039617676503,0.011644015847070602,0.08150811092949421,0.011644015847070602
Betonicine,220628_Smp_MU14_C,KM1906,10,0.2663874561360492,0.010655498245441968,0.07458848771809377,0.010655498245441968
Betonicine,220628_Smp_MU15_A,KM1906,10,0.2633468205006699,0.010533872820026796,0.07373710974018757,0.010533872820026796
Betonicine,220628_Smp_MU15_B,KM1906,10,0.4125041029893471,0.016500164119573883,0.11550114883701718,0.016500164119573883
Betonicine,220628_Smp_MU15_C,KM1906,10,0.25913370463674085,0.010365348185469633,0.07255743729828742,0.010365348185469633
Betonicine,220628_Smp_MU16_A,KM1906,10,0.24070634917989095,0.009628253967195638,0.06739777777036947,0.009628253967195638
Betonicine,220628_Smp_MU16_B,KM1906,10,0.38816988059174845,0.015526795223669938,0.10868756656568956,0.015526795223669938
Betonicine,220628_Smp_MU16_C,KM1906,10,0.3165959268636488,0.012663837074545952,0.08864685952182166,0.012663837074545952
Betonicine,220628_Smp_MU17_A,KM1906,10,0.19119993495349555,0.007647997398139821,0.05353598178697874,0.007647997398139821
Betonicine,220628_Smp_MU17_B,KM1906,10,0.2466146218613419,0.009864584874453674,0.06905209412117572,0.009864584874453674
Betonicine,220628_Smp_MU17_C,KM1906,10,0.30566645937358,0.012226658374943201,0.0855866086246024,0.012226658374943201
Betonicine,220628_Smp_MU18_A,KM1906,10,0.17601349618890766,0.007040539847556305,0.04928377893289414,0.007040539847556305
Betonicine,220628_Smp_MU18_B,KM1906,10,0.24918531468066857,0.009967412587226743,0.0697718881105872,0.009967412587226743
Betonicine,220628_Smp_MU18_C,KM1906,10,0.22781535550582743,0.009112614220233097,0.06378829954163168,0.009112614220233097
Betonicine,220628_Smp_MU19_A,KM1906,10,1.6044560598546864,0.06417824239418746,0.4492476967593122,0.06417824239418746
Betonicine,220628_Smp_MU19_B,KM1906,10,1.2580643860064546,0.05032257544025819,0.35225802808180734,0.05032257544025819
Betonicine,220628_Smp_MU19_C,KM1906,10,1.3192892766851876,0.0527715710674075,0.3694009974718525,0.0527715710674075
Betonicine,220628_Smp_MU2_A,KM1906,10,0.13973874579779344,0.005589549831911738,0.03912684882338217,0.005589549831911738
Betonicine,220628_Smp_MU2_B,KM1906,10,0.17718383081322775,0.007087353232529109,0.04961147262770376,0.007087353232529109
Betonicine,220628_Smp_MU2_C,KM1906,10,0.18069024753231777,0.00722760990129271,0.05059326930904897,0.00722760990129271
Betonicine,220628_Smp_MU20_A,KM1906,10,0.1908512372730049,0.007634049490920197,0.05343834643644138,0.007634049490920197
Betonicine,220628_Smp_MU20_B,KM1906,10,0.36981497627082477,0.01479259905083299,0.10354819335583093,0.01479259905083299
Betonicine,220628_Smp_MU20_C,KM1906,10,0.2967624607728664,0.011870498430914655,0.08309348901640258,0.011870498430914655
Betonicine,220628_Smp_MU21_A,KM1906,10,0.19227334745571872,0.007690933898228748,0.05383653728760124,0.007690933898228748
Betonicine,220628_Smp_MU21_B,KM1906,10,0.31440345227955835,0.012576138091182333,0.08803296663827634,0.012576138091182333
Betonicine,220628_Smp_MU21_C,KM1906,10,0.21841633271548033,0.008736653308619212,0.06115657316033449,0.008736653308619212
Betonicine,220628_Smp_MU22_A,KM1906,10,0.1423532107930633,0.0056941284317225315,0.03985889902205772,0.0056941284317225315
Betonicine,220628_Smp_MU22_B,KM1906,10,0.1900371469371555,0.00760148587748622,0.05321040114240354,0.00760148587748622
Betonicine,220628_Smp_MU22_C,KM1906,10,0.16927467120812137,0.0067709868483248545,0.04739690793827398,0.0067709868483248545
Betonicine,220628_Smp_MU23_A,KM1906,10,0.21221207762987013,0.008488483105194806,0.059419381736363644,0.008488483105194806
Betonicine,220628_Smp_MU23_B,KM1906,10,0.22612687595664083,0.009045075038265632,0.06331552526785943,0.009045075038265632
Betonicine,220628_Smp_MU23_C,KM1906,10,0.23776343101990058,0.009510537240796023,0.06657376068557216,0.009510537240796023
Betonicine,220628_Smp_MU24_A,KM1906,10,0.18449122241827676,0.0073796488967310695,0.05165754227711749,0.0073796488967310695
Betonicine,220628_Smp_MU24_B,KM1906,10,0.22503716796022538,0.009001486718409016,0.06301040702886311,0.009001486718409016
