Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av
220602_Smp_TN397_S3_U_C,S3,C,TN397,Dimethylsulfoniopropionate,110563312,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,Glycine betaine,587137536,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,Glycine betaine,358100256,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,Glycine betaine,277151808,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_A,KM1906_GBTK1_0nM,A,TN397,Glycine betaine,250491552,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_B,KM1906_GBTK1_0nM,B,TN397,Glycine betaine,200207664,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_C,KM1906_GBTK1_0nM,C,TN397,Glycine betaine,257260768,NA,NA,NA
220602_Smp_TN397_S1_U_A,S1,A,TN397,Glycine betaine,102941712,NA,NA,NA
220602_Smp_TN397_S1_U_B,S1,B,TN397,Glycine betaine,187785232,NA,NA,NA
220602_Smp_TN397_S1_U_C,S1,C,TN397,Glycine betaine,195318496,NA,NA,NA
220602_Smp_TN397_S10_U_A,S10,A,TN397,Glycine betaine,230951008,NA,NA,NA
220602_Smp_TN397_S10_U_B,S10,B,TN397,Glycine betaine,214584048,NA,NA,NA
220602_Smp_TN397_S10_U_C,S10,C,TN397,Glycine betaine,559761856,NA,NA,NA
220602_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,Glycine betaine,201090768,NA,NA,NA
220602_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,Glycine betaine,195508688,NA,NA,NA
220602_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,Glycine betaine,288955552,NA,NA,NA
220602_Smp_TN397_S11_600_U_A,S11_600,A,TN397,Glycine betaine,253236864,NA,NA,NA
220602_Smp_TN397_S11_600_U_B,S11_600,B,TN397,Glycine betaine,296443872,NA,NA,NA
220602_Smp_TN397_S11_600_U_C,S11_600,C,TN397,Glycine betaine,148606272,NA,NA,NA
220602_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,Glycine betaine,170893552,NA,NA,NA
220602_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,Glycine betaine,128102336,NA,NA,NA
220602_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,Glycine betaine,206122384,NA,NA,NA
220602_Smp_TN397_S12_600_U_A,S12_600,A,TN397,Glycine betaine,244290096,NA,NA,NA
220602_Smp_TN397_S12_600_U_B,S12_600,B,TN397,Glycine betaine,205057600,NA,NA,NA
220602_Smp_TN397_S12_600_U_C,S12_600,C,TN397,Glycine betaine,181918448,NA,NA,NA
220602_Smp_TN397_S12_800_U_A,S12_800,A,TN397,Glycine betaine,155438176,NA,NA,NA
220602_Smp_TN397_S12_800_U_B,S12_800,B,TN397,Glycine betaine,129451552,NA,NA,NA
220602_Smp_TN397_S12_800_U_C,S12_800,C,TN397,Glycine betaine,130697824,NA,NA,NA
220602_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,Glycine betaine,291369952,NA,NA,NA
220602_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,Glycine betaine,541540032,NA,NA,NA
220602_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,Glycine betaine,388765600,NA,NA,NA
220602_Smp_TN397_S14_U_A,S14,A,TN397,Glycine betaine,209649920,NA,NA,NA
220602_Smp_TN397_S14_U_B,S14,B,TN397,Glycine betaine,288347200,NA,NA,NA
220602_Smp_TN397_S14_U_C,S14,C,TN397,Glycine betaine,275379232,NA,NA,NA
220602_Smp_TN397_S15_U_A,S15,A,TN397,Glycine betaine,298999136,NA,NA,NA
220602_Smp_TN397_S15_U_B,S15,B,TN397,Glycine betaine,220196784,NA,NA,NA
220602_Smp_TN397_S15_U_C,S15,C,TN397,Glycine betaine,104397856,NA,NA,NA
220602_Smp_TN397_S17_U_A,S17,A,TN397,Glycine betaine,82507472,NA,NA,NA
220602_Smp_TN397_S17_U_B,S17,B,TN397,Glycine betaine,88412952,NA,NA,NA
220602_Smp_TN397_S17_U_C,S17,C,TN397,Glycine betaine,61020236,NA,Flag,58727560.53333333
220602_Smp_TN397_S2_U_A,S2,A,TN397,Glycine betaine,110556704,NA,NA,NA
220602_Smp_TN397_S2_U_B,S2,B,TN397,Glycine betaine,85318736,NA,NA,NA
220602_Smp_TN397_S2_U_C,S2,C,TN397,Glycine betaine,80896600,NA,NA,NA
220602_Smp_TN397_S3_U_A,S3,A,TN397,Glycine betaine,191271632,NA,NA,NA
220602_Smp_TN397_S3_U_B,S3,B,TN397,Glycine betaine,732056704,NA,NA,NA
220602_Smp_TN397_S3_U_C,S3,C,TN397,Glycine betaine,516917408,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,Gonyol,2612464,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,Gonyol,1422197,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,Gonyol,1529641,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_A,KM1906_GBTK1_0nM,A,TN397,Gonyol,2066856,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_B,KM1906_GBTK1_0nM,B,TN397,Gonyol,1935331,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_C,KM1906_GBTK1_0nM,C,TN397,Gonyol,2772793,NA,NA,NA
220602_Smp_TN397_S1_U_A,S1,A,TN397,Gonyol,3584051,NA,NA,NA
220602_Smp_TN397_S1_U_B,S1,B,TN397,Gonyol,3551920,NA,NA,NA
220602_Smp_TN397_S1_U_C,S1,C,TN397,Gonyol,4038510,NA,NA,NA
220602_Smp_TN397_S10_U_A,S10,A,TN397,Gonyol,5857657,NA,NA,NA
220602_Smp_TN397_S10_U_B,S10,B,TN397,Gonyol,10334277,NA,NA,NA
220602_Smp_TN397_S10_U_C,S10,C,TN397,Gonyol,7965673,NA,NA,NA
220602_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,Gonyol,1532810,NA,NA,NA
220602_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,Gonyol,2409362,NA,NA,NA
220602_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,Gonyol,4252597,NA,NA,NA
220602_Smp_TN397_S11_600_U_A,S11_600,A,TN397,Gonyol,4627493,NA,NA,NA
220602_Smp_TN397_S11_600_U_B,S11_600,B,TN397,Gonyol,4302491,NA,NA,NA
220602_Smp_TN397_S11_600_U_C,S11_600,C,TN397,Gonyol,1544683,NA,NA,NA
220602_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,Gonyol,1591751,NA,NA,NA
220602_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,Gonyol,1374323,NA,NA,NA
220602_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,Gonyol,6064223,NA,NA,NA
220602_Smp_TN397_S12_600_U_A,S12_600,A,TN397,Gonyol,4254860,NA,NA,NA
220602_Smp_TN397_S12_600_U_B,S12_600,B,TN397,Gonyol,3312974,NA,NA,NA
220602_Smp_TN397_S12_600_U_C,S12_600,C,TN397,Gonyol,3344949,NA,NA,NA
220602_Smp_TN397_S12_800_U_A,S12_800,A,TN397,Gonyol,3093481,NA,NA,NA
220602_Smp_TN397_S12_800_U_B,S12_800,B,TN397,Gonyol,2194497,NA,NA,NA
220602_Smp_TN397_S12_800_U_C,S12_800,C,TN397,Gonyol,1825262,NA,NA,NA
220602_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,Gonyol,3717708,NA,NA,NA
220602_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,Gonyol,8425146,NA,NA,NA
220602_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,Gonyol,3650884,NA,NA,NA
220602_Smp_TN397_S14_U_A,S14,A,TN397,Gonyol,2747439,NA,NA,NA
220602_Smp_TN397_S14_U_B,S14,B,TN397,Gonyol,5837324,NA,NA,NA
220602_Smp_TN397_S14_U_C,S14,C,TN397,Gonyol,2690999,NA,NA,NA
220602_Smp_TN397_S15_U_A,S15,A,TN397,Gonyol,4484342,NA,NA,NA
220602_Smp_TN397_S15_U_B,S15,B,TN397,Gonyol,2713761,NA,NA,NA
220602_Smp_TN397_S15_U_C,S15,C,TN397,Gonyol,2135118,NA,NA,NA
220602_Smp_TN397_S16_U_A,S16,A,TN397,Gonyol,4503402,NA,NA,NA
220602_Smp_TN397_S16_U_B,S16,B,TN397,Gonyol,3856918,NA,NA,NA
220602_Smp_TN397_S16_U_C,S16,C,TN397,Gonyol,1178212,NA,Flag,803753.4666666667
220602_Smp_TN397_S17_U_A,S17,A,TN397,Gonyol,495141,NA,Flag,803753.4666666667
220602_Smp_TN397_S17_U_B,S17,B,TN397,Gonyol,5421721,NA,NA,NA
220602_Smp_TN397_S17_U_C,S17,C,TN397,Gonyol,1240437,NA,NA,NA
220602_Smp_TN397_S2_U_A,S2,A,TN397,Gonyol,2372357,NA,NA,NA
220602_Smp_TN397_S2_U_B,S2,B,TN397,Gonyol,4880797,NA,NA,NA
220602_Smp_TN397_S2_U_C,S2,C,TN397,Gonyol,1857781,NA,NA,NA
220602_Smp_TN397_S3_U_A,S3,A,TN397,Gonyol,4556256,NA,NA,NA
220602_Smp_TN397_S3_U_B,S3,B,TN397,Gonyol,7649566,NA,NA,NA
220602_Smp_TN397_S3_U_C,S3,C,TN397,Gonyol,3127930,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,Homarine,239207200,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,Homarine,114266744,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,Homarine,100024104,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_A,KM1906_GBTK1_0nM,A,TN397,Homarine,75130224,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_B,KM1906_GBTK1_0nM,B,TN397,Homarine,66195616,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_C,KM1906_GBTK1_0nM,C,TN397,Homarine,61170060,NA,NA,NA
220602_Smp_TN397_S1_U_A,S1,A,TN397,Homarine,7647311,NA,NA,NA
220602_Smp_TN397_S1_U_B,S1,B,TN397,Homarine,9490917,NA,NA,NA
220602_Smp_TN397_S1_U_C,S1,C,TN397,Homarine,13649790,NA,NA,NA
220602_Smp_TN397_S10_U_A,S10,A,TN397,Homarine,16351691,NA,NA,NA
220602_Smp_TN397_S10_U_B,S10,B,TN397,Homarine,18317864,NA,NA,NA
220602_Smp_TN397_S10_U_C,S10,C,TN397,Homarine,54473124,NA,NA,NA
220602_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,Homarine,28751256,NA,NA,NA
220602_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,Homarine,38218752,NA,NA,NA
220602_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,Homarine,41741456,NA,NA,NA
220602_Smp_TN397_S11_600_U_A,S11_600,A,TN397,Homarine,19721410,NA,NA,NA
220602_Smp_TN397_S11_600_U_B,S11_600,B,TN397,Homarine,20058596,NA,NA,NA
220602_Smp_TN397_S11_600_U_C,S11_600,C,TN397,Homarine,16489317,NA,NA,NA
220602_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,Homarine,19092524,NA,NA,NA
220602_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,Homarine,13072729,NA,NA,NA
220602_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,Homarine,8641058,NA,NA,NA
220602_Smp_TN397_S12_600_U_A,S12_600,A,TN397,Homarine,8882300,NA,NA,NA
220602_Smp_TN397_S12_600_U_B,S12_600,B,TN397,Homarine,19890306,NA,NA,NA
220602_Smp_TN397_S12_600_U_C,S12_600,C,TN397,Homarine,12861644,NA,NA,NA
220602_Smp_TN397_S12_800_U_A,S12_800,A,TN397,Homarine,11474891,NA,NA,NA
220602_Smp_TN397_S12_800_U_B,S12_800,B,TN397,Homarine,8431946,NA,NA,NA
220602_Smp_TN397_S12_800_U_C,S12_800,C,TN397,Homarine,8506893,NA,NA,NA
220602_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,Homarine,44600796,NA,NA,NA
220602_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,Homarine,59225852,NA,NA,NA
220602_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,Homarine,69249520,NA,NA,NA
220602_Smp_TN397_S14_U_A,S14,A,TN397,Homarine,16260519,NA,NA,NA
220602_Smp_TN397_S14_U_B,S14,B,TN397,Homarine,25532286,NA,NA,NA
220602_Smp_TN397_S14_U_C,S14,C,TN397,Homarine,20563174,NA,NA,NA
220602_Smp_TN397_S15_U_A,S15,A,TN397,Homarine,22695544,NA,NA,NA
220602_Smp_TN397_S15_U_B,S15,B,TN397,Homarine,16534140,NA,NA,NA
220602_Smp_TN397_S15_U_C,S15,C,TN397,Homarine,11838860,NA,NA,NA
220602_Smp_TN397_S16_U_A,S16,A,TN397,Homarine,7067038,NA,NA,NA
220602_Smp_TN397_S16_U_B,S16,B,TN397,Homarine,5848046,NA,NA,NA
220602_Smp_TN397_S16_U_C,S16,C,TN397,Homarine,3918951,NA,NA,NA
220602_Smp_TN397_S17_U_A,S17,A,TN397,Homarine,6126468,NA,NA,NA
220602_Smp_TN397_S17_U_B,S17,B,TN397,Homarine,6134040,NA,NA,NA
220602_Smp_TN397_S17_U_C,S17,C,TN397,Homarine,5278034,NA,NA,NA
220602_Smp_TN397_S2_U_A,S2,A,TN397,Homarine,2139009,NA,NA,NA
220602_Smp_TN397_S2_U_B,S2,B,TN397,Homarine,2896549,NA,NA,NA
220602_Smp_TN397_S2_U_C,S2,C,TN397,Homarine,3409263,NA,NA,NA
220602_Smp_TN397_S3_U_A,S3,A,TN397,Homarine,17288288,NA,NA,NA
220602_Smp_TN397_S3_U_B,S3,B,TN397,Homarine,115600176,NA,NA,NA
220602_Smp_TN397_S3_U_C,S3,C,TN397,Homarine,81340160,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,Proline betaine,6460640,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,Proline betaine,3236282,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,Proline betaine,2034588,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_A,KM1906_GBTK1_0nM,A,TN397,Proline betaine,2053464,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_B,KM1906_GBTK1_0nM,B,TN397,Proline betaine,2056258,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_C,KM1906_GBTK1_0nM,C,TN397,Proline betaine,2399024,NA,NA,NA
220602_Smp_TN397_S1_U_A,S1,A,TN397,Proline betaine,993341,NA,NA,NA
220602_Smp_TN397_S1_U_B,S1,B,TN397,Proline betaine,1256664,NA,NA,NA
220602_Smp_TN397_S1_U_C,S1,C,TN397,Proline betaine,2172930,NA,NA,NA
220602_Smp_TN397_S10_U_A,S10,A,TN397,Proline betaine,2084163,NA,NA,NA
220602_Smp_TN397_S10_U_B,S10,B,TN397,Proline betaine,1134308,NA,NA,NA
220602_Smp_TN397_S10_U_C,S10,C,TN397,Proline betaine,1863421,NA,NA,NA
220602_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,Proline betaine,863940,NA,NA,NA
220602_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,Proline betaine,1308276,NA,NA,NA
220602_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,Proline betaine,1579334,NA,NA,NA
220602_Smp_TN397_S11_600_U_A,S11_600,A,TN397,Proline betaine,1218385,NA,NA,NA
220602_Smp_TN397_S11_600_U_B,S11_600,B,TN397,Proline betaine,1448034,NA,NA,NA
220602_Smp_TN397_S11_600_U_C,S11_600,C,TN397,Proline betaine,778197,NA,NA,NA
220602_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,Proline betaine,1761199,NA,NA,NA
220602_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,Proline betaine,745238,NA,NA,NA
220602_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,Proline betaine,872567,NA,NA,NA
220602_Smp_TN397_S12_600_U_A,S12_600,A,TN397,Proline betaine,1248119,NA,NA,NA
220602_Smp_TN397_S12_600_U_B,S12_600,B,TN397,Proline betaine,1399666,NA,NA,NA
220602_Smp_TN397_S12_600_U_C,S12_600,C,TN397,Proline betaine,1212019,NA,NA,NA
220602_Smp_TN397_S12_800_U_A,S12_800,A,TN397,Proline betaine,519003,NA,NA,NA
220602_Smp_TN397_S12_800_U_B,S12_800,B,TN397,Proline betaine,1054310,NA,NA,NA
220602_Smp_TN397_S12_800_U_C,S12_800,C,TN397,Proline betaine,930900,NA,NA,NA
220602_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,Proline betaine,2148712,NA,NA,NA
220602_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,Proline betaine,19962,Flag,Flag,203937.73333333337
220602_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,Proline betaine,2388596,NA,NA,NA
220602_Smp_TN397_S14_U_A,S14,A,TN397,Proline betaine,1015402,NA,NA,NA
220602_Smp_TN397_S14_U_B,S14,B,TN397,Proline betaine,1853070,NA,NA,NA
220602_Smp_TN397_S14_U_C,S14,C,TN397,Proline betaine,1670154,NA,NA,NA
220602_Smp_TN397_S15_U_A,S15,A,TN397,Proline betaine,1490371,NA,NA,NA
220602_Smp_TN397_S15_U_B,S15,B,TN397,Proline betaine,1120787,NA,NA,NA
220602_Smp_TN397_S15_U_C,S15,C,TN397,Proline betaine,702017,NA,NA,NA
220602_Smp_TN397_S16_U_A,S16,A,TN397,Proline betaine,1176784,NA,NA,NA
220602_Smp_TN397_S16_U_B,S16,B,TN397,Proline betaine,1073501,NA,NA,NA
220602_Smp_TN397_S16_U_C,S16,C,TN397,Proline betaine,516799,NA,NA,NA
220602_Smp_TN397_S17_U_A,S17,A,TN397,Proline betaine,985701,NA,NA,NA
220602_Smp_TN397_S17_U_B,S17,B,TN397,Proline betaine,915836,NA,NA,NA
220602_Smp_TN397_S17_U_C,S17,C,TN397,Proline betaine,857950,NA,NA,NA
220602_Smp_TN397_S2_U_A,S2,A,TN397,Proline betaine,1596190,NA,NA,NA
220602_Smp_TN397_S2_U_B,S2,B,TN397,Proline betaine,1023925,NA,NA,NA
220602_Smp_TN397_S2_U_C,S2,C,TN397,Proline betaine,858041,NA,NA,NA
220602_Smp_TN397_S3_U_A,S3,A,TN397,Proline betaine,1335942,NA,NA,NA
220602_Smp_TN397_S3_U_B,S3,B,TN397,Proline betaine,6134061,NA,NA,NA
220602_Smp_TN397_S3_U_C,S3,C,TN397,Proline betaine,3945012,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,Trigonelline,29401406,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,Trigonelline,15211907,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,Trigonelline,12071318,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_A,KM1906_GBTK1_0nM,A,TN397,Trigonelline,13699506,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_B,KM1906_GBTK1_0nM,B,TN397,Trigonelline,12709069,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_C,KM1906_GBTK1_0nM,C,TN397,Trigonelline,11439941,NA,NA,NA
220602_Smp_TN397_S1_U_A,S1,A,TN397,Trigonelline,3108492,NA,Flag,2164780
220602_Smp_TN397_S1_U_B,S1,B,TN397,Trigonelline,4071924,NA,NA,NA
220602_Smp_TN397_S1_U_C,S1,C,TN397,Trigonelline,5804870,NA,NA,NA
220602_Smp_TN397_S10_U_A,S10,A,TN397,Trigonelline,7814023,NA,NA,NA
220602_Smp_TN397_S10_U_B,S10,B,TN397,Trigonelline,7622510,NA,NA,NA
220602_Smp_TN397_S10_U_C,S10,C,TN397,Trigonelline,4492761,NA,NA,NA
220602_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,Trigonelline,5405157,NA,NA,NA
220602_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,Trigonelline,7268681,NA,NA,NA
220602_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,Trigonelline,8524533,NA,NA,NA
220602_Smp_TN397_S11_600_U_A,S11_600,A,TN397,Trigonelline,8911800,NA,NA,NA
220602_Smp_TN397_S11_600_U_B,S11_600,B,TN397,Trigonelline,6702209,NA,NA,NA
220602_Smp_TN397_S11_600_U_C,S11_600,C,TN397,Trigonelline,3934397,NA,NA,NA
220602_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,Trigonelline,8012040,NA,NA,NA
220602_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,Trigonelline,4859712,NA,NA,NA
220602_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,Trigonelline,4956844,NA,NA,NA
220602_Smp_TN397_S12_600_U_A,S12_600,A,TN397,Trigonelline,6990472,NA,NA,NA
220602_Smp_TN397_S12_600_U_B,S12_600,B,TN397,Trigonelline,5168926,NA,NA,NA
220602_Smp_TN397_S12_600_U_C,S12_600,C,TN397,Trigonelline,3621526,NA,NA,NA
220602_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,Trigonelline,9721277,NA,NA,NA
220602_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,Trigonelline,12545671,NA,NA,NA
220602_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,Trigonelline,8552180,NA,NA,NA
220602_Smp_TN397_S14_U_A,S14,A,TN397,Trigonelline,4962270,NA,NA,NA
220602_Smp_TN397_S14_U_B,S14,B,TN397,Trigonelline,8331925,NA,NA,NA
220602_Smp_TN397_S14_U_C,S14,C,TN397,Trigonelline,5192545,NA,NA,NA
220602_Smp_TN397_S15_U_A,S15,A,TN397,Trigonelline,4175768,NA,NA,NA
220602_Smp_TN397_S15_U_B,S15,B,TN397,Trigonelline,3936487,NA,NA,NA
220602_Smp_TN397_S15_U_C,S15,C,TN397,Trigonelline,4956249,NA,NA,NA
220602_Smp_TN397_S16_U_A,S16,A,TN397,Trigonelline,3781559,NA,NA,NA
220602_Smp_TN397_S2_U_A,S2,A,TN397,Trigonelline,4530812,NA,NA,NA
220602_Smp_TN397_S2_U_B,S2,B,TN397,Trigonelline,4060794,NA,NA,NA
220602_Smp_TN397_S2_U_C,S2,C,TN397,Trigonelline,3846041,NA,NA,NA
220602_Smp_TN397_S3_U_A,S3,A,TN397,Trigonelline,4080902,NA,NA,NA
220602_Smp_TN397_S3_U_B,S3,B,TN397,Trigonelline,6381084,NA,NA,NA
220602_Smp_TN397_S3_U_C,S3,C,TN397,Trigonelline,4758711,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,Trimethylamine N-oxide,67964432,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,Trimethylamine N-oxide,47251484,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,Trimethylamine N-oxide,23507674,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_A,KM1906_GBTK1_0nM,A,TN397,Trimethylamine N-oxide,59345472,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_B,KM1906_GBTK1_0nM,B,TN397,Trimethylamine N-oxide,48314808,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_C,KM1906_GBTK1_0nM,C,TN397,Trimethylamine N-oxide,31018658,NA,NA,NA
220602_Smp_TN397_S1_U_A,S1,A,TN397,Trimethylamine N-oxide,11640536,NA,NA,NA
220602_Smp_TN397_S1_U_B,S1,B,TN397,Trimethylamine N-oxide,9984945,NA,NA,NA
220602_Smp_TN397_S1_U_C,S1,C,TN397,Trimethylamine N-oxide,20430918,NA,NA,NA
220602_Smp_TN397_S10_U_A,S10,A,TN397,Trimethylamine N-oxide,65633112,NA,NA,NA
220602_Smp_TN397_S10_U_B,S10,B,TN397,Trimethylamine N-oxide,48260580,NA,NA,NA
220602_Smp_TN397_S10_U_C,S10,C,TN397,Trimethylamine N-oxide,41680992,NA,NA,NA
220602_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,Trimethylamine N-oxide,53933468,NA,NA,NA
220602_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,Trimethylamine N-oxide,97187440,NA,NA,NA
220602_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,Trimethylamine N-oxide,77925672,NA,NA,NA
220602_Smp_TN397_S11_600_U_A,S11_600,A,TN397,Trimethylamine N-oxide,35769632,NA,NA,NA
220602_Smp_TN397_S11_600_U_B,S11_600,B,TN397,Trimethylamine N-oxide,46943968,NA,NA,NA
220602_Smp_TN397_S11_600_U_C,S11_600,C,TN397,Trimethylamine N-oxide,83268808,NA,NA,NA
220602_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,Trimethylamine N-oxide,60078328,NA,NA,NA
220602_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,Trimethylamine N-oxide,39089816,NA,NA,NA
220602_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,Trimethylamine N-oxide,55304828,NA,NA,NA
220602_Smp_TN397_S12_600_U_A,S12_600,A,TN397,Trimethylamine N-oxide,30733380,NA,NA,NA
220602_Smp_TN397_S12_600_U_B,S12_600,B,TN397,Trimethylamine N-oxide,40939352,NA,NA,NA
220602_Smp_TN397_S12_600_U_C,S12_600,C,TN397,Trimethylamine N-oxide,26339578,NA,NA,NA
220602_Smp_TN397_S12_800_U_A,S12_800,A,TN397,Trimethylamine N-oxide,21911832,NA,NA,NA
220602_Smp_TN397_S12_800_U_B,S12_800,B,TN397,Trimethylamine N-oxide,20133710,NA,NA,NA
220602_Smp_TN397_S12_800_U_C,S12_800,C,TN397,Trimethylamine N-oxide,15841205,NA,NA,NA
220602_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,Trimethylamine N-oxide,115812160,NA,NA,NA
220602_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,Trimethylamine N-oxide,80839928,NA,NA,NA
220602_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,Trimethylamine N-oxide,199362096,NA,NA,NA
220602_Smp_TN397_S14_U_A,S14,A,TN397,Trimethylamine N-oxide,37921740,NA,NA,NA
220602_Smp_TN397_S14_U_B,S14,B,TN397,Trimethylamine N-oxide,119475544,NA,NA,NA
220602_Smp_TN397_S14_U_C,S14,C,TN397,Trimethylamine N-oxide,46955124,NA,NA,NA
220602_Smp_TN397_S15_U_A,S15,A,TN397,Trimethylamine N-oxide,41480540,NA,NA,NA
220602_Smp_TN397_S15_U_B,S15,B,TN397,Trimethylamine N-oxide,48739980,NA,NA,NA
220602_Smp_TN397_S15_U_C,S15,C,TN397,Trimethylamine N-oxide,46261520,NA,NA,NA
220602_Smp_TN397_S16_U_A,S16,A,TN397,Trimethylamine N-oxide,21640940,NA,NA,NA
220602_Smp_TN397_S16_U_B,S16,B,TN397,Trimethylamine N-oxide,21590240,NA,NA,NA
