Rep,SampID,replicate,Batch,SizeFrac,Compound,Area,min.area.flag,blk.ratio.flag,smp.remove
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Trigonelline,311455296,NA,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Proline betaine,85557664,NA,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Betonicine,63455768,NA,NA,NA
170706_Smp_S4E16D15_C,S4E16D15,C,G2,full,Gonyol,232740480,NA,NA,NA
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Glycine betaine,1590644096,NA,NA,NA
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Dimethylsulfonioacetate,119729800,NA,NA,NA
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,beta-Alaninebetaine,256901616,NA,NA,NA
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Dimethylsulfoniopropionate,309409408,NA,NA,NA
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Homarine,78005288,NA,NA,NA
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Trigonelline,149210976,NA,NA,NA
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Proline betaine,67325208,NA,NA,NA
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Betonicine,43659876,NA,NA,NA
170706_Smp_S4E16D15_Ds,S4E16D15,Ds,G2,small,Gonyol,20766706,NA,NA,NA
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Glycine betaine,4862282240,NA,NA,NA
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Dimethylsulfonioacetate,300604736,NA,NA,NA
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,beta-Alaninebetaine,440050976,NA,NA,NA
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Dimethylsulfoniopropionate,444711872,NA,NA,NA
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Homarine,4249678592,NA,NA,NA
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Trigonelline,247321872,NA,NA,NA
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Proline betaine,49461360,NA,NA,NA
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Betonicine,33839720,NA,NA,NA
170706_Smp_S5E28D15_A,S5E28D15,A,G2,full,Gonyol,52226628,NA,NA,NA
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Glycine betaine,4992046080,NA,NA,NA
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Dimethylsulfonioacetate,323354592,NA,NA,NA
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,beta-Alaninebetaine,438656000,NA,NA,NA
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Dimethylsulfoniopropionate,897636544,NA,NA,NA
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Homarine,4340447232,NA,NA,NA
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Trigonelline,292564640,NA,NA,NA
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Proline betaine,50812960,NA,NA,NA
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Betonicine,34398288,NA,NA,NA
170706_Smp_S5E28D15_B,S5E28D15,B,G2,full,Gonyol,51777760,NA,NA,NA
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Glycine betaine,6771496448,NA,NA,NA
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Dimethylsulfonioacetate,592447680,NA,NA,NA
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,beta-Alaninebetaine,573090752,NA,NA,NA
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Dimethylsulfoniopropionate,196958096,NA,NA,NA
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Homarine,5306433024,NA,NA,NA
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Trigonelline,403700736,NA,NA,NA
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Proline betaine,65511868,NA,NA,NA
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Betonicine,40962976,NA,NA,NA
170706_Smp_S5E28D15_C,S5E28D15,C,G2,full,Gonyol,130177408,NA,NA,NA
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Glycine betaine,3264485376,NA,NA,NA
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Dimethylsulfonioacetate,53149412,NA,NA,NA
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,beta-Alaninebetaine,297067904,NA,NA,NA
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Dimethylsulfoniopropionate,9715390.75,NA,Flag,Smp_Remove
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Homarine,3807047680,NA,NA,NA
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Trigonelline,74170472,NA,NA,NA
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Proline betaine,42828636,NA,NA,NA
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Betonicine,22964980,NA,NA,NA
170706_Smp_S5E28D15_Ds,S5E28D15,Ds,G2,small,Gonyol,7427013,NA,NA,NA
