Cruise,exp,mean_ks,median_ks,sd_ks,max_ks,min_ks,mean_vmax,sd_vamx,max_vmax,min_vmax,mean_s,sd_s
KM1906,UKG1,105.12015369114046,103.44272272841556,20.046153429994778,193.2398019369841,51.757858244917884,0.37039383846278373,0.02485716600837647,0.44396418222547707,0.2939951822240565,6.624755727200513,0.45962738044030693
KM1906,UKG2,37.76394620370894,36.89593343035769,8.614266149361164,83.37014541577774,17.204627303010238,0.6361420168554347,0.036344435672431216,0.7679427133386335,0.5231959022429897,8.987535096928282,2.089604606499953
RC078,UKG1,298.9921901561654,297.80840793344464,42.83123900595738,497.9395775465041,170.72402985898557,4.115778777561268,0.20777708794144048,4.814642393087487,3.447188669795413,55.842132292530884,9.231057893437525
RC078,UKH1,147.8244189593317,141.64626581265097,36.83707037604104,407.5204538839606,76.49702353567946,0.17642307885183647,0.016372043726752737,0.24831291307414866,0.13483842578270758,13.269908786067013,2.410487904828699
RC078,UKH2,547.8119604358726,516.2108401715252,162.3109353048549,1566.1904091688716,252.93912737373734,0.49547465701325727,0.07555263742821879,0.8638026801177215,0.3304318846730538,12.352373374029268,0.37385333260184667
RC104,UKG1,98.51674441908476,94.54911460268971,26.501429946675643,261.21183412929435,50.18882216383132,0.4688399787590192,0.032612713930322994,0.6033661138505886,0.3778063930382629,10.521402542226864,1.0136317609959922
RC104,UKH1,194.62444306773872,192.52695480809618,19.255231789240078,264.02626225470044,141.39828447336234,0.2989328105778011,0.009378233215093732,0.3339843285026167,0.2723513579657567,4.13099734886348,1.4024518500615861
TN397,UKH1,37.87246301205554,37.56520839046263,5.8860143680188894,60.5818655947883,21.508491306281066,0.07407132782969461,0.004571581973659156,0.08830606487530354,0.059659789478751016,0.05722580417447999,0.025612591535645258
TN397,UKH2,35.59165636249873,33.28740815259757,10.508298902169338,112.55275841827765,16.822416579087783,0.051496718148201726,0.00475943066477186,0.07121369614895649,0.038404811274014634,0.18904456815212373,0.07294924081821261
TN397,UKH3,231.9493384296726,211.01327134125177,100.94764274512536,991.6586197647845,70.31596703856297,0.1667813156531679,0.025316252314345495,0.31396684362132743,0.11022670811334791,0.3818343131983881,0.11573422220500112
TN397,UKH4,312.39967053032774,310.22714898167413,42.15492057879663,462.9587813868915,205.33169522918647,0.26254317358176804,0.014892101759991259,0.3148960649854478,0.21690932029430535,0.8868699201825945,0.0847711174102596
TN397,UKH5,260.4481284632085,253.24977902461995,61.023274054018046,510.45948498721276,111.4152689965884,0.6712706194416175,0.07803728500035127,0.9894255884232929,0.46235518653024027,0.2985548547303974,0.037168006701899334
TN412,UKG,6.928902606409452,6.616884370059905,2.05294533825404,17.99218486604808,2.5475923130328715,0.27916537766479427,0.02336063949396518,0.3682009261871722,0.1913192843535649,0.47430251661705647,0.14622045579820908
