Rep,Cruise,Injec_vol
220602_Smp_TN397_MQBlkF_A,TN397,2
220602_Smp_TN397_MQBlkF_B,TN397,2
220602_Smp_TN397_MQBlkF_C,TN397,2
220602_Smp_TN397_S1_U_A,TN397,2
220602_Smp_TN397_S1_U_B,TN397,2
220602_Smp_TN397_S1_U_C,TN397,2
220602_Smp_TN397_S10_U_A,TN397,2
220602_Smp_TN397_S10_U_B,TN397,2
220602_Smp_TN397_S10_U_C,TN397,2
220602_Smp_TN397_S11_1800_U_A,TN397,2
220602_Smp_TN397_S11_1800_U_B,TN397,2
220602_Smp_TN397_S11_1800_U_C,TN397,2
220602_Smp_TN397_S11_600_U_A,TN397,2
220602_Smp_TN397_S11_600_U_B,TN397,2
220602_Smp_TN397_S11_600_U_C,TN397,2
220602_Smp_TN397_S12_1800_U_A,TN397,2
220602_Smp_TN397_S12_1800_U_B,TN397,2
220602_Smp_TN397_S12_1800_U_C,TN397,2
220602_Smp_TN397_S12_600_U_A,TN397,2
220602_Smp_TN397_S12_600_U_B,TN397,2
220602_Smp_TN397_S12_600_U_C,TN397,2
220602_Smp_TN397_S12_800_U_A,TN397,2
220602_Smp_TN397_S12_800_U_B,TN397,2
220602_Smp_TN397_S12_800_U_C,TN397,2
220602_Smp_TN397_S13_1800_U_A,TN397,2
220602_Smp_TN397_S13_1800_U_B,TN397,2
220602_Smp_TN397_S13_1800_U_C,TN397,2
220602_Smp_TN397_S14_U_A,TN397,2
220602_Smp_TN397_S14_U_B,TN397,2
220602_Smp_TN397_S14_U_C,TN397,2
220602_Smp_TN397_S15_U_A,TN397,2
220602_Smp_TN397_S15_U_B,TN397,2
220602_Smp_TN397_S15_U_C,TN397,2
220602_Smp_TN397_S16_U_A,TN397,2
220602_Smp_TN397_S16_U_B,TN397,2
220602_Smp_TN397_S16_U_C,TN397,2
220602_Smp_TN397_S17_U_A,TN397,2
220602_Smp_TN397_S17_U_B,TN397,2
220602_Smp_TN397_S17_U_C,TN397,2
220602_Smp_TN397_S2_U_A,TN397,2
220602_Smp_TN397_S2_U_B,TN397,2
220602_Smp_TN397_S2_U_C,TN397,2
220602_Smp_TN397_S3_U_A,TN397,2
220602_Smp_TN397_S3_U_B,TN397,2
220602_Smp_TN397_S3_U_C,TN397,2
220602_Smp_TN397_S4_2400_U_A,TN397,2
220602_Smp_TN397_S4_2400_U_B,TN397,2
220602_Smp_TN397_S4_2400_U_C,TN397,2
220602_Smp_TN397_S4_U_1800_A,TN397,2
220602_Smp_TN397_S4_U_1800_B,TN397,2
220602_Smp_TN397_S4_U_1800_C,TN397,2
220602_Smp_TN397_S4_U_600_A,TN397,2
220602_Smp_TN397_S4_U_600_B,TN397,2
220602_Smp_TN397_S4_U_600_C,TN397,2
220602_Smp_TN397_S6_U_A,TN397,2
220602_Smp_TN397_S6_U_B,TN397,2
220602_Smp_TN397_S6_U_C,TN397,2
220602_Smp_TN397_S7_1800_U_A,TN397,2
220602_Smp_TN397_S7_1800_U_B,TN397,2
