Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag
220902_Smp_TN397_S12_800_U_A,S12_800,A,TN397,beta-Alaninebetaine,2042623232,NA,NA
220902_Smp_TN397_S12_800_U_B,S12_800,B,TN397,beta-Alaninebetaine,2491828736,NA,NA
220902_Smp_TN397_S12_800_U_C,S12_800,C,TN397,beta-Alaninebetaine,2155031552,NA,NA
220902_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,beta-Alaninebetaine,2006606976,NA,NA
220902_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,beta-Alaninebetaine,2805977600,NA,NA
220902_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,beta-Alaninebetaine,2683638528,NA,NA
220902_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,beta-Alaninebetaine,3265643264,NA,NA
220902_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,beta-Alaninebetaine,2928185856,NA,NA
220902_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,beta-Alaninebetaine,2625639680,NA,NA
220902_Smp_TN397_S14_U_A,S14,A,TN397,beta-Alaninebetaine,2248092928,NA,NA
220902_Smp_TN397_S14_U_B,S14,B,TN397,beta-Alaninebetaine,2580849408,NA,NA
220902_Smp_TN397_S14_U_C,S14,C,TN397,beta-Alaninebetaine,3183400704,NA,NA
220902_Smp_TN397_S15_U_A,S15,A,TN397,beta-Alaninebetaine,3388195840,NA,NA
220902_Smp_TN397_S15_U_B,S15,B,TN397,beta-Alaninebetaine,2824125184,NA,NA
220902_Smp_TN397_S15_U_C,S15,C,TN397,beta-Alaninebetaine,2864401664,NA,NA
220902_Smp_TN397_S16_U_A,S16,A,TN397,beta-Alaninebetaine,986013888,NA,NA
220902_Smp_TN397_S16_U_B,S16,B,TN397,beta-Alaninebetaine,1561796096,NA,NA
220902_Smp_TN397_S16_U_C,S16,C,TN397,beta-Alaninebetaine,1516564864,NA,NA
220902_Smp_TN397_S17_U_A,S17,A,TN397,beta-Alaninebetaine,1198528768,NA,NA
220902_Smp_TN397_S17_U_B,S17,B,TN397,beta-Alaninebetaine,1673569664,NA,NA
220902_Smp_TN397_S17_U_C,S17,C,TN397,beta-Alaninebetaine,1439495424,NA,NA
220902_Smp_TN397_S18_U_A,S18,A,TN397,beta-Alaninebetaine,1183751808,NA,NA
220902_Smp_TN397_S18_U_B,S18,B,TN397,beta-Alaninebetaine,1309598720,NA,NA
220902_Smp_TN397_S18_U_C,S18,C,TN397,beta-Alaninebetaine,1542691072,NA,NA
220902_Smp_TN397_U1_A,U1,A,TN397,beta-Alaninebetaine,2591403008,NA,NA
220902_Smp_TN397_U1_B,U1,B,TN397,beta-Alaninebetaine,1862196736,NA,NA
220902_Smp_TN397_U1_C,U1,C,TN397,beta-Alaninebetaine,5267404288,NA,NA
220902_Smp_TN397_U2_A,U2,A,TN397,beta-Alaninebetaine,1413294464,NA,NA
220902_Smp_TN397_U2_B,U2,B,TN397,beta-Alaninebetaine,1522672256,NA,NA
220902_Smp_TN397_U2_C,U2,C,TN397,beta-Alaninebetaine,1276025216,NA,NA
220902_Smp_TN397_U3_A,U3,A,TN397,beta-Alaninebetaine,1470818688,NA,NA
220902_Smp_TN397_U3_B,U3,B,TN397,beta-Alaninebetaine,1269632640,NA,NA
220902_Smp_TN397_U3_C,U3,C,TN397,beta-Alaninebetaine,899790208,NA,NA
220902_Smp_TN397_U4_A,U4,A,TN397,beta-Alaninebetaine,1786278656,NA,NA
220902_Smp_TN397_U4_B,U4,B,TN397,beta-Alaninebetaine,2666365696,NA,NA
220902_Smp_TN397_U4_C,U4,C,TN397,beta-Alaninebetaine,1627104128,NA,NA
220902_Smp_TN397_U5_A,U5,A,TN397,beta-Alaninebetaine,1249036416,NA,NA
220902_Smp_TN397_U5_B,U5,B,TN397,beta-Alaninebetaine,1082341632,NA,NA
220902_Smp_TN397_U5_C,U5,C,TN397,beta-Alaninebetaine,436778400,NA,NA
220902_Smp_TN397_U6_A,U6,A,TN397,beta-Alaninebetaine,467733664,NA,NA
220902_Smp_TN397_U6_B,U6,B,TN397,beta-Alaninebetaine,500481792,NA,NA
220902_Smp_TN397_U6_C,U6,C,TN397,beta-Alaninebetaine,565261952,NA,NA
220902_Smp_TN397_U7_A,U7,A,TN397,beta-Alaninebetaine,318688608,NA,NA
220902_Smp_TN397_U7_B,U7,B,TN397,beta-Alaninebetaine,399770368,NA,NA
220902_Smp_TN397_U7_C,U7,C,TN397,beta-Alaninebetaine,539560000,NA,NA
220902_Smp_TN397_U8_BB,U8_BB,NA,TN397,beta-Alaninebetaine,1215822592,NA,NA
220902_Smp_TN397_U9_A,U9,A,TN397,beta-Alaninebetaine,1856384640,NA,NA
220902_Smp_TN397_U9_B,U9,B,TN397,beta-Alaninebetaine,1979287808,NA,NA
220902_Smp_TN397_U9_C,U9,C,TN397,beta-Alaninebetaine,1321599744,NA,NA
220902_Smp_TN397_U10_A,U10,A,TN397,beta-Alaninebetaine,3269304576,NA,NA
220902_Smp_TN397_U10_B,U10,B,TN397,beta-Alaninebetaine,4623747072,NA,NA
220902_Smp_TN397_U10_C,U10,C,TN397,beta-Alaninebetaine,3435483904,NA,NA
220902_Smp_TN397_U11_A,U11,A,TN397,beta-Alaninebetaine,3388164352,NA,NA
220902_Smp_TN397_U11_B,U11,B,TN397,beta-Alaninebetaine,3288980736,NA,NA
220902_Smp_TN397_U11_C,U11,C,TN397,beta-Alaninebetaine,3414568448,NA,NA
220902_Smp_TN397_U12_A,U12,A,TN397,beta-Alaninebetaine,2624465664,NA,NA
220902_Smp_TN397_U12_B,U12,B,TN397,beta-Alaninebetaine,2727006464,NA,NA
220902_Smp_TN397_U12_C,U12,C,TN397,beta-Alaninebetaine,2964673024,NA,NA
220902_Smp_TN397_U13_A,U13,A,TN397,beta-Alaninebetaine,2242189568,NA,NA
220902_Smp_TN397_U13_B,U13,B,TN397,beta-Alaninebetaine,1984865536,NA,NA
220902_Smp_TN397_U13_C,U13,C,TN397,beta-Alaninebetaine,2586611456,NA,NA
220902_Smp_TN397_S1_U_A,S1,A,TN397,Betonicine,171321424,NA,NA
220902_Smp_TN397_S1_U_B,S1,B,TN397,Betonicine,71170184,NA,NA
220902_Smp_TN397_S1_U_C,S1,C,TN397,Betonicine,143839744,NA,NA
220902_Smp_TN397_S2_U_A,S2,A,TN397,Betonicine,143169424,NA,NA
220902_Smp_TN397_S2_U_B,S2,B,TN397,Betonicine,165411792,NA,NA
220902_Smp_TN397_S2_U_C,S2,C,TN397,Betonicine,182641392,NA,NA
220902_Smp_TN397_S3_U_A,S3,A,TN397,Betonicine,128168840,NA,NA
220902_Smp_TN397_S3_U_B,S3,B,TN397,Betonicine,158386528,NA,NA
220902_Smp_TN397_S3_U_C,S3,C,TN397,Betonicine,192086512,NA,NA
220902_Smp_TN397_S4_2400_U_A,S4_2400,A,TN397,Betonicine,176823136,NA,NA
220902_Smp_TN397_S4_2400_U_B,S4_2400,B,TN397,Betonicine,181496544,NA,NA
220902_Smp_TN397_S4_2400_U_C,S4_2400,C,TN397,Betonicine,211495280,NA,NA
220902_Smp_TN397_S4_U_600_A,S4_600,A,TN397,Betonicine,206395216,NA,NA
220902_Smp_TN397_S4_U_600_B,S4_600,B,TN397,Betonicine,209539856,NA,NA
220902_Smp_TN397_S4_U_600_C,S4_600,C,TN397,Betonicine,228492176,NA,NA
220902_Smp_TN397_S4_U_1800_A,S4_1800,A,TN397,Betonicine,180314000,NA,NA
220902_Smp_TN397_S4_U_1800_B,S4_1800,B,TN397,Betonicine,150474960,NA,NA
220902_Smp_TN397_S4_U_1800_C,S4_1800,C,TN397,Betonicine,208752320,NA,NA
220902_Smp_TN397_S6_U_A,S6,A,TN397,Betonicine,215051696,NA,NA
220902_Smp_TN397_S6_U_B,S6,B,TN397,Betonicine,223271952,NA,NA
220902_Smp_TN397_S6_U_C,S6,C,TN397,Betonicine,251377312,NA,NA
220902_Smp_TN397_S7_600_U_A,S7_600,A,TN397,Betonicine,166324928,NA,NA
220902_Smp_TN397_S7_600_U_B,S7_600,B,TN397,Betonicine,130671800,NA,NA
220902_Smp_TN397_S7_600_U_C,S7_600,C,TN397,Betonicine,143638288,NA,NA
220902_Smp_TN397_S7_1800_U_A,S7_1800,A,TN397,Betonicine,178163072,NA,NA
220902_Smp_TN397_S7_1800_U_B,S7_1800,B,TN397,Betonicine,140247616,NA,NA
220902_Smp_TN397_S7_1800_U_C,S7_1800,C,TN397,Betonicine,134710448,NA,NA
220902_Smp_TN397_S8_U_A,S8,A,TN397,Betonicine,152270096,NA,NA
220902_Smp_TN397_S8_U_B,S8,B,TN397,Betonicine,125545736,NA,NA
220902_Smp_TN397_S8_U_C,S8,C,TN397,Betonicine,104336392,NA,NA
220902_Smp_TN397_S9_600_U_A,S9_600,A,TN397,Betonicine,205240656,NA,NA
220902_Smp_TN397_S9_600_U_B,S9_600,B,TN397,Betonicine,249019280,NA,NA
220902_Smp_TN397_S9_600_U_C,S9_600,C,TN397,Betonicine,215302976,NA,NA
220902_Smp_TN397_S9_1800_U_A,S9_1800,A,TN397,Betonicine,220635760,NA,NA
220902_Smp_TN397_S9_1800_U_B,S9_1800,B,TN397,Betonicine,283041312,NA,NA
220902_Smp_TN397_S9_1800_U_C,S9_1800,C,TN397,Betonicine,277548736,NA,NA
220902_Smp_TN397_S9_BB_A,S9_BB,A,TN397,Betonicine,262977968,NA,NA
220902_Smp_TN397_S9_BB_B,S9_BB,B,TN397,Betonicine,325821920,NA,NA
220902_Smp_TN397_S10_U_A,S10,A,TN397,Betonicine,171522672,NA,NA
220902_Smp_TN397_S10_U_B,S10,B,TN397,Betonicine,185373360,NA,NA
220902_Smp_TN397_S10_U_C,S10,C,TN397,Betonicine,119219712,NA,NA
220902_Smp_TN397_S11_600_U_A,S11_600,A,TN397,Betonicine,138623120,NA,NA
220902_Smp_TN397_S11_600_U_B,S11_600,B,TN397,Betonicine,132098824,NA,NA
220902_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,Betonicine,124363856,NA,NA
220902_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,Betonicine,111622472,NA,NA
220902_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,Betonicine,142694480,NA,NA
220902_Smp_TN397_S12_600_U_A,S12_600,A,TN397,Betonicine,195363968,NA,NA
220902_Smp_TN397_S12_600_U_B,S12_600,B,TN397,Betonicine,164240848,NA,NA
220902_Smp_TN397_S12_600_U_C,S12_600,C,TN397,Betonicine,204206336,NA,NA
220902_Smp_TN397_S12_800_U_A,S12_800,A,TN397,Betonicine,166899936,NA,NA
220902_Smp_TN397_S12_800_U_B,S12_800,B,TN397,Betonicine,159557840,NA,NA
220902_Smp_TN397_S12_800_U_C,S12_800,C,TN397,Betonicine,142221088,NA,NA
220902_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,Betonicine,146692720,NA,NA
220902_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,Betonicine,224989488,NA,NA
220902_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,Betonicine,179357216,NA,NA
220902_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,Betonicine,251946384,NA,NA
220902_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,Betonicine,285951488,NA,NA
220902_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,Betonicine,246747328,NA,NA
220902_Smp_TN397_S14_U_A,S14,A,TN397,Betonicine,163541184,NA,NA
220902_Smp_TN397_S14_U_B,S14,B,TN397,Betonicine,178569392,NA,NA
220902_Smp_TN397_S14_U_C,S14,C,TN397,Betonicine,210275728,NA,NA
220902_Smp_TN397_S15_U_A,S15,A,TN397,Betonicine,225811120,NA,NA
220902_Smp_TN397_S15_U_B,S15,B,TN397,Betonicine,172822256,NA,NA
220902_Smp_TN397_S15_U_C,S15,C,TN397,Betonicine,155324176,NA,NA
220902_Smp_TN397_S16_U_A,S16,A,TN397,Betonicine,110026984,NA,NA
220902_Smp_TN397_S16_U_B,S16,B,TN397,Betonicine,133628824,NA,NA
220902_Smp_TN397_S16_U_C,S16,C,TN397,Betonicine,128181936,NA,NA
220902_Smp_TN397_S17_U_A,S17,A,TN397,Betonicine,143450544,NA,NA
220902_Smp_TN397_S17_U_B,S17,B,TN397,Betonicine,185422256,NA,NA
220902_Smp_TN397_S17_U_C,S17,C,TN397,Betonicine,151070928,NA,NA
220902_Smp_TN397_S18_U_A,S18,A,TN397,Betonicine,166160944,NA,NA
220902_Smp_TN397_S18_U_B,S18,B,TN397,Betonicine,164738480,NA,NA
220902_Smp_TN397_S18_U_C,S18,C,TN397,Betonicine,161183776,NA,NA
220902_Smp_TN397_U1_A,U1,A,TN397,Betonicine,274830368,NA,NA
220902_Smp_TN397_U1_B,U1,B,TN397,Betonicine,250473232,NA,NA
220902_Smp_TN397_U1_C,U1,C,TN397,Betonicine,253566896,NA,NA
220902_Smp_TN397_U2_A,U2,A,TN397,Betonicine,333593344,NA,NA
220902_Smp_TN397_U2_B,U2,B,TN397,Betonicine,380303360,NA,NA
220902_Smp_TN397_U2_C,U2,C,TN397,Betonicine,232183632,NA,NA
220902_Smp_TN397_U3_A,U3,A,TN397,Betonicine,244446752,NA,NA
220902_Smp_TN397_U3_B,U3,B,TN397,Betonicine,276228928,NA,NA
220902_Smp_TN397_U3_C,U3,C,TN397,Betonicine,244562192,NA,NA
220902_Smp_TN397_U4_A,U4,A,TN397,Betonicine,266290384,NA,NA
220902_Smp_TN397_U4_B,U4,B,TN397,Betonicine,332697088,NA,NA
220902_Smp_TN397_U4_C,U4,C,TN397,Betonicine,280529728,NA,NA
220902_Smp_TN397_U5_A,U5,A,TN397,Betonicine,364057440,NA,NA
220902_Smp_TN397_U5_B,U5,B,TN397,Betonicine,281363840,NA,NA
220902_Smp_TN397_U5_C,U5,C,TN397,Betonicine,25012104,NA,NA
220902_Smp_TN397_U6_A,U6,A,TN397,Betonicine,154532320,NA,NA
220902_Smp_TN397_U6_B,U6,B,TN397,Betonicine,122933544,NA,NA
220902_Smp_TN397_U6_C,U6,C,TN397,Betonicine,173536400,NA,NA
220902_Smp_TN397_U7_A,U7,A,TN397,Betonicine,84374424,NA,NA
220902_Smp_TN397_U7_B,U7,B,TN397,Betonicine,84550976,NA,NA
220902_Smp_TN397_U7_C,U7,C,TN397,Betonicine,148449152,NA,NA
220902_Smp_TN397_U8_BB,U8_BB,NA,TN397,Betonicine,272901984,NA,NA
220902_Smp_TN397_U9_A,U9,A,TN397,Betonicine,230727600,NA,NA
220902_Smp_TN397_U9_B,U9,B,TN397,Betonicine,263849344,NA,NA
220902_Smp_TN397_U9_C,U9,C,TN397,Betonicine,168806112,NA,NA
220902_Smp_TN397_U10_A,U10,A,TN397,Betonicine,173932512,NA,NA
220902_Smp_TN397_U10_B,U10,B,TN397,Betonicine,223873552,NA,NA
220902_Smp_TN397_U10_C,U10,C,TN397,Betonicine,202643424,NA,NA
220902_Smp_TN397_U11_A,U11,A,TN397,Betonicine,217151344,NA,NA
220902_Smp_TN397_U11_B,U11,B,TN397,Betonicine,238241936,NA,NA
220902_Smp_TN397_U11_C,U11,C,TN397,Betonicine,196996656,NA,NA
220902_Smp_TN397_U12_A,U12,A,TN397,Betonicine,232460592,NA,NA
220902_Smp_TN397_U12_B,U12,B,TN397,Betonicine,263709120,NA,NA
220902_Smp_TN397_U12_C,U12,C,TN397,Betonicine,354830144,NA,NA
220902_Smp_TN397_U13_A,U13,A,TN397,Betonicine,156978656,NA,NA
220902_Smp_TN397_U13_B,U13,B,TN397,Betonicine,151430912,NA,NA
220902_Smp_TN397_U13_C,U13,C,TN397,Betonicine,175400064,NA,NA
220902_Smp_TN397_S1_U_A,S1,A,TN397,Dimethylsulfonioacetate,729566144,NA,NA
220902_Smp_TN397_S1_U_B,S1,B,TN397,Dimethylsulfonioacetate,256407440,NA,NA
220902_Smp_TN397_S1_U_C,S1,C,TN397,Dimethylsulfonioacetate,480812544,NA,NA
220902_Smp_TN397_S2_U_A,S2,A,TN397,Dimethylsulfonioacetate,419667232,NA,NA
220902_Smp_TN397_S2_U_B,S2,B,TN397,Dimethylsulfonioacetate,512793568,NA,NA
220902_Smp_TN397_S2_U_C,S2,C,TN397,Dimethylsulfonioacetate,685871808,NA,NA
220902_Smp_TN397_S3_U_A,S3,A,TN397,Dimethylsulfonioacetate,232728448,NA,NA
220902_Smp_TN397_S3_U_B,S3,B,TN397,Dimethylsulfonioacetate,321327648,NA,NA
220902_Smp_TN397_S3_U_C,S3,C,TN397,Dimethylsulfonioacetate,349484544,NA,NA
220902_Smp_TN397_S4_2400_U_A,S4_2400,A,TN397,Dimethylsulfonioacetate,540537344,NA,NA
220902_Smp_TN397_S4_2400_U_B,S4_2400,B,TN397,Dimethylsulfonioacetate,338059680,NA,NA
220902_Smp_TN397_S4_2400_U_C,S4_2400,C,TN397,Dimethylsulfonioacetate,544507776,NA,NA
220902_Smp_TN397_S4_U_600_A,S4_600,A,TN397,Dimethylsulfonioacetate,424552032,NA,NA
220902_Smp_TN397_S4_U_600_B,S4_600,B,TN397,Dimethylsulfonioacetate,441138944,NA,NA
220902_Smp_TN397_S4_U_600_C,S4_600,C,TN397,Dimethylsulfonioacetate,570537792,NA,NA
220902_Smp_TN397_S4_U_1800_A,S4_1800,A,TN397,Dimethylsulfonioacetate,388536960,NA,NA
220902_Smp_TN397_S4_U_1800_B,S4_1800,B,TN397,Dimethylsulfonioacetate,271780256,NA,NA
220902_Smp_TN397_S4_U_1800_C,S4_1800,C,TN397,Dimethylsulfonioacetate,500656288,NA,NA
220902_Smp_TN397_S6_U_A,S6,A,TN397,Dimethylsulfonioacetate,155428080,NA,NA
220902_Smp_TN397_S6_U_B,S6,B,TN397,Dimethylsulfonioacetate,212221600,NA,NA
220902_Smp_TN397_S6_U_C,S6,C,TN397,Dimethylsulfonioacetate,204582192,NA,NA
220902_Smp_TN397_S7_600_U_A,S7_600,A,TN397,Dimethylsulfonioacetate,222012448,NA,NA
220902_Smp_TN397_S7_600_U_B,S7_600,B,TN397,Dimethylsulfonioacetate,159962768,NA,NA
220902_Smp_TN397_S7_600_U_C,S7_600,C,TN397,Dimethylsulfonioacetate,160529968,NA,NA
220902_Smp_TN397_S7_1800_U_A,S7_1800,A,TN397,Dimethylsulfonioacetate,239255440,NA,NA
220902_Smp_TN397_S7_1800_U_B,S7_1800,B,TN397,Dimethylsulfonioacetate,197198048,NA,NA
220902_Smp_TN397_S7_1800_U_C,S7_1800,C,TN397,Dimethylsulfonioacetate,175205664,NA,NA
220902_Smp_TN397_S8_U_A,S8,A,TN397,Dimethylsulfonioacetate,134553344,NA,NA
220902_Smp_TN397_S8_U_B,S8,B,TN397,Dimethylsulfonioacetate,77301080,NA,NA
220902_Smp_TN397_S8_U_C,S8,C,TN397,Dimethylsulfonioacetate,99765704,NA,NA
220902_Smp_TN397_S9_600_U_A,S9_600,A,TN397,Dimethylsulfonioacetate,196965968,NA,NA
220902_Smp_TN397_S9_600_U_B,S9_600,B,TN397,Dimethylsulfonioacetate,241470560,NA,NA
220902_Smp_TN397_S9_600_U_C,S9_600,C,TN397,Dimethylsulfonioacetate,173609952,NA,NA
220902_Smp_TN397_S9_1800_U_A,S9_1800,A,TN397,Dimethylsulfonioacetate,167079392,NA,NA
220902_Smp_TN397_S9_1800_U_B,S9_1800,B,TN397,Dimethylsulfonioacetate,322653600,NA,NA
220902_Smp_TN397_S9_1800_U_C,S9_1800,C,TN397,Dimethylsulfonioacetate,282710080,NA,NA
220902_Smp_TN397_S9_BB_A,S9_BB,A,TN397,Dimethylsulfonioacetate,182342800,NA,NA
220902_Smp_TN397_S9_BB_B,S9_BB,B,TN397,Dimethylsulfonioacetate,260990576,NA,NA
220902_Smp_TN397_S10_U_A,S10,A,TN397,Dimethylsulfonioacetate,122577176,NA,NA
220902_Smp_TN397_S10_U_B,S10,B,TN397,Dimethylsulfonioacetate,119186336,NA,NA
220902_Smp_TN397_S10_U_C,S10,C,TN397,Dimethylsulfonioacetate,70847984,NA,NA
220902_Smp_TN397_S11_600_U_A,S11_600,A,TN397,Dimethylsulfonioacetate,355442912,NA,NA
220902_Smp_TN397_S11_600_U_B,S11_600,B,TN397,Dimethylsulfonioacetate,200255328,NA,NA
220902_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,Dimethylsulfonioacetate,306270976,NA,NA
220902_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,Dimethylsulfonioacetate,179138144,NA,NA
220902_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,Dimethylsulfonioacetate,338917984,NA,NA
220902_Smp_TN397_S12_600_U_A,S12_600,A,TN397,Dimethylsulfonioacetate,77115600,NA,NA
220902_Smp_TN397_S12_600_U_B,S12_600,B,TN397,Dimethylsulfonioacetate,67872224,NA,NA
220902_Smp_TN397_S12_600_U_C,S12_600,C,TN397,Dimethylsulfonioacetate,173017968,NA,NA
220902_Smp_TN397_S12_800_U_A,S12_800,A,TN397,Dimethylsulfonioacetate,99752576,NA,NA
220902_Smp_TN397_S12_800_U_B,S12_800,B,TN397,Dimethylsulfonioacetate,101950696,NA,NA
220902_Smp_TN397_S12_800_U_C,S12_800,C,TN397,Dimethylsulfonioacetate,81794864,NA,NA
220902_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,Dimethylsulfonioacetate,117688720,NA,NA
220902_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,Dimethylsulfonioacetate,214726480,NA,NA
220902_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,Dimethylsulfonioacetate,162761344,NA,NA
220902_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,Dimethylsulfonioacetate,426217248,NA,NA
220902_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,Dimethylsulfonioacetate,537464064,NA,NA
220902_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,Dimethylsulfonioacetate,331139072,NA,NA
220902_Smp_TN397_S14_U_A,S14,A,TN397,Dimethylsulfonioacetate,98914960,NA,NA
220902_Smp_TN397_S14_U_B,S14,B,TN397,Dimethylsulfonioacetate,152228336,NA,NA
220902_Smp_TN397_S14_U_C,S14,C,TN397,Dimethylsulfonioacetate,228944064,NA,NA
220902_Smp_TN397_S15_U_A,S15,A,TN397,Dimethylsulfonioacetate,71555080,NA,NA
220902_Smp_TN397_S15_U_B,S15,B,TN397,Dimethylsulfonioacetate,51663784,NA,NA
220902_Smp_TN397_S15_U_C,S15,C,TN397,Dimethylsulfonioacetate,58924384,NA,NA
220902_Smp_TN397_S16_U_A,S16,A,TN397,Dimethylsulfonioacetate,184315264,NA,NA
220902_Smp_TN397_S16_U_B,S16,B,TN397,Dimethylsulfonioacetate,135014400,NA,NA
220902_Smp_TN397_S16_U_C,S16,C,TN397,Dimethylsulfonioacetate,141389232,NA,NA
220902_Smp_TN397_S17_U_A,S17,A,TN397,Dimethylsulfonioacetate,177049232,NA,NA
220902_Smp_TN397_S17_U_B,S17,B,TN397,Dimethylsulfonioacetate,206201696,NA,NA
220902_Smp_TN397_S17_U_C,S17,C,TN397,Dimethylsulfonioacetate,147300400,NA,NA
220902_Smp_TN397_S18_U_A,S18,A,TN397,Dimethylsulfonioacetate,120368040,NA,NA
220902_Smp_TN397_S18_U_B,S18,B,TN397,Dimethylsulfonioacetate,201205792,NA,NA
220902_Smp_TN397_S18_U_C,S18,C,TN397,Dimethylsulfonioacetate,205618704,NA,NA
220902_Smp_TN397_U1_A,U1,A,TN397,Dimethylsulfonioacetate,4797071360,NA,NA
220902_Smp_TN397_U1_B,U1,B,TN397,Dimethylsulfonioacetate,3126660096,NA,NA
220902_Smp_TN397_U1_C,U1,C,TN397,Dimethylsulfonioacetate,4015110656,NA,NA
220902_Smp_TN397_U2_A,U2,A,TN397,Dimethylsulfonioacetate,2152342272,NA,NA
220902_Smp_TN397_U2_B,U2,B,TN397,Dimethylsulfonioacetate,2026241024,NA,NA
220902_Smp_TN397_U2_C,U2,C,TN397,Dimethylsulfonioacetate,1082888192,NA,NA
220902_Smp_TN397_U3_A,U3,A,TN397,Dimethylsulfonioacetate,1559029376,NA,NA
220902_Smp_TN397_U3_B,U3,B,TN397,Dimethylsulfonioacetate,1938082560,NA,NA
220902_Smp_TN397_U3_C,U3,C,TN397,Dimethylsulfonioacetate,1064285440,NA,NA
220902_Smp_TN397_U4_A,U4,A,TN397,Dimethylsulfonioacetate,1468753792,NA,NA
220902_Smp_TN397_U4_B,U4,B,TN397,Dimethylsulfonioacetate,1787848192,NA,NA
220902_Smp_TN397_U4_C,U4,C,TN397,Dimethylsulfonioacetate,1048645184,NA,NA
220902_Smp_TN397_U5_A,U5,A,TN397,Dimethylsulfonioacetate,1269102976,NA,NA
220902_Smp_TN397_U5_B,U5,B,TN397,Dimethylsulfonioacetate,839947072,NA,NA
220902_Smp_TN397_U5_C,U5,C,TN397,Dimethylsulfonioacetate,218233712,NA,NA
220902_Smp_TN397_U6_A,U6,A,TN397,Dimethylsulfonioacetate,501487040,NA,NA
220902_Smp_TN397_U6_B,U6,B,TN397,Dimethylsulfonioacetate,372603840,NA,NA
220902_Smp_TN397_U6_C,U6,C,TN397,Dimethylsulfonioacetate,518555744,NA,NA
220902_Smp_TN397_U7_A,U7,A,TN397,Dimethylsulfonioacetate,251033296,NA,NA
220902_Smp_TN397_U7_B,U7,B,TN397,Dimethylsulfonioacetate,250709344,NA,NA
220902_Smp_TN397_U7_C,U7,C,TN397,Dimethylsulfonioacetate,449178112,NA,NA
220902_Smp_TN397_U8_BB,U8_BB,NA,TN397,Dimethylsulfonioacetate,578564544,NA,NA
220902_Smp_TN397_U9_A,U9,A,TN397,Dimethylsulfonioacetate,245095040,NA,NA
220902_Smp_TN397_U9_B,U9,B,TN397,Dimethylsulfonioacetate,308065632,NA,NA
220902_Smp_TN397_U9_C,U9,C,TN397,Dimethylsulfonioacetate,130298840,NA,NA
220902_Smp_TN397_U10_A,U10,A,TN397,Dimethylsulfonioacetate,101865488,NA,NA
220902_Smp_TN397_U10_B,U10,B,TN397,Dimethylsulfonioacetate,179072368,NA,NA
220902_Smp_TN397_U10_C,U10,C,TN397,Dimethylsulfonioacetate,145649232,NA,NA
220902_Smp_TN397_U11_A,U11,A,TN397,Dimethylsulfonioacetate,174120624,NA,NA
220902_Smp_TN397_U11_B,U11,B,TN397,Dimethylsulfonioacetate,175446464,NA,NA
220902_Smp_TN397_U11_C,U11,C,TN397,Dimethylsulfonioacetate,164018160,NA,NA
220902_Smp_TN397_U12_A,U12,A,TN397,Dimethylsulfonioacetate,184704544,NA,NA
220902_Smp_TN397_U12_B,U12,B,TN397,Dimethylsulfonioacetate,210363776,NA,NA
220902_Smp_TN397_U12_C,U12,C,TN397,Dimethylsulfonioacetate,329294944,NA,NA
220902_Smp_TN397_U13_A,U13,A,TN397,Dimethylsulfonioacetate,107696248,NA,NA
220902_Smp_TN397_U13_B,U13,B,TN397,Dimethylsulfonioacetate,121831832,NA,NA
220902_Smp_TN397_U13_C,U13,C,TN397,Dimethylsulfonioacetate,151912768,NA,NA
220902_Smp_TN397_S1_U_A,S1,A,TN397,Dimethylsulfoniopropionate,1368766080,NA,NA
220902_Smp_TN397_S1_U_B,S1,B,TN397,Dimethylsulfoniopropionate,625217408,NA,NA
220902_Smp_TN397_S1_U_C,S1,C,TN397,Dimethylsulfoniopropionate,566017280,NA,NA
220902_Smp_TN397_S2_U_A,S2,A,TN397,Dimethylsulfoniopropionate,283624384,NA,NA
220902_Smp_TN397_S2_U_B,S2,B,TN397,Dimethylsulfoniopropionate,300630912,NA,NA
220902_Smp_TN397_S2_U_C,S2,C,TN397,Dimethylsulfoniopropionate,276116928,NA,NA
