Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag
220628_Smp_MU1_C,MU1,C,KM1906,Betonicine,78041264,NA,NA
220628_Smp_MU10_A,MU10,A,KM1906,Betonicine,37182976,NA,NA
220628_Smp_MU10_B,MU10,B,KM1906,Betonicine,42884744,NA,NA
220628_Smp_MU10_C,MU10,C,KM1906,Betonicine,22373334,NA,NA
220628_Smp_MU11_A,MU11,A,KM1906,Betonicine,280293920,NA,NA
220628_Smp_MU11_B,MU11,B,KM1906,Betonicine,494511392,NA,NA
220628_Smp_MU11_C,MU11,C,KM1906,Betonicine,276387840,NA,NA
220628_Smp_MU14_A,MU14,A,KM1906,Betonicine,89891856,NA,NA
220628_Smp_MU14_B,MU14,B,KM1906,Betonicine,125904472,NA,NA
220628_Smp_MU14_C,MU14,C,KM1906,Betonicine,115215824,NA,NA
220628_Smp_MU15_A,MU15,A,KM1906,Betonicine,113900712,NA,NA
220628_Smp_MU15_B,MU15,B,KM1906,Betonicine,178413056,NA,NA
220628_Smp_MU15_C,MU15,C,KM1906,Betonicine,112078488,NA,NA
220628_Smp_MU16_A,MU16,A,KM1906,Betonicine,104108432,NA,NA
220628_Smp_MU16_B,MU16,B,KM1906,Betonicine,167888208,NA,NA
220628_Smp_MU16_C,MU16,C,KM1906,Betonicine,136931600,NA,NA
220628_Smp_MU17_A,MU17,A,KM1906,Betonicine,82696304,NA,NA
220628_Smp_MU17_B,MU17,B,KM1906,Betonicine,106663832,NA,NA
220628_Smp_MU17_C,MU17,C,KM1906,Betonicine,132204472,NA,NA
220628_Smp_MU18_A,MU18,A,KM1906,Betonicine,76127984,NA,NA
220628_Smp_MU18_B,MU18,B,KM1906,Betonicine,107775688,NA,NA
220628_Smp_MU18_C,MU18,C,KM1906,Betonicine,98532920,NA,NA
220628_Smp_MU19_A,MU19,A,KM1906,Betonicine,693946816,NA,NA
220628_Smp_MU19_B,MU19,B,KM1906,Betonicine,544128192,NA,NA
220628_Smp_MU19_C,MU19,C,KM1906,Betonicine,570608704,NA,NA
220628_Smp_MU2_A,MU2,A,KM1906,Betonicine,60438712,NA,NA
220628_Smp_MU2_B,MU2,B,KM1906,Betonicine,76634168,NA,NA
220628_Smp_MU2_C,MU2,C,KM1906,Betonicine,78150736,NA,NA
220628_Smp_MU20_A,MU20,A,KM1906,Betonicine,82545488,NA,NA
220628_Smp_MU20_B,MU20,B,KM1906,Betonicine,159949488,NA,NA
220628_Smp_MU20_C,MU20,C,KM1906,Betonicine,128353384,NA,NA
220628_Smp_MU21_A,MU21,A,KM1906,Betonicine,83160568,NA,NA
220628_Smp_MU21_B,MU21,B,KM1906,Betonicine,135983328,NA,NA
