Name,SampID,Cruise,EE.adjust.conc,Empirical_Formula,C,N,Nmol.C,Nmol.N
Betonicine,220623_Smp_MU14_B,KM1906,0.07218677260684409,C7H13NO3,7,1,0.5053074082479085,0.07218677260684409
Betonicine,220623_Smp_MU14_C,KM1906,0.03688793994358586,C7H13NO3,7,1,0.258215579605101,0.03688793994358586
Betonicine,220623_Smp_MU15_A,KM1906,0.013312539770086035,C7H13NO3,7,1,0.09318777839060224,0.013312539770086035
Betonicine,220623_Smp_MU15_B,KM1906,0.07354688373661175,C7H13NO3,7,1,0.5148281861562822,0.07354688373661175
Betonicine,220623_Smp_MU15_C,KM1906,0.03299624434102248,C7H13NO3,7,1,0.23097371038715736,0.03299624434102248
Betonicine,220623_Smp_MU16_A,KM1906,0.06193432471401752,C7H13NO3,7,1,0.43354027299812264,0.06193432471401752
Betonicine,220623_Smp_MU16_B,KM1906,0.036672414154823536,C7H13NO3,7,1,0.25670689908376476,0.036672414154823536
Betonicine,220623_Smp_MU16_C,KM1906,0.03398957149025701,C7H13NO3,7,1,0.2379270004317991,0.03398957149025701
Betonicine,220623_Smp_MU17_A,KM1906,0.03842754166724817,C7H13NO3,7,1,0.2689927916707372,0.03842754166724817
Betonicine,220623_Smp_MU17_B,KM1906,0.043791487184485646,C7H13NO3,7,1,0.3065404102913995,0.043791487184485646
Betonicine,220623_Smp_MU2_A,KM1906,0.03216121371349998,C7H13NO3,7,1,0.22512849599449988,0.03216121371349998
Betonicine,220623_Smp_MU2_B,KM1906,0.03237410342363262,C7H13NO3,7,1,0.22661872396542837,0.03237410342363262
Betonicine,220623_Smp_MU2_C,KM1906,0.04560542561113834,C7H13NO3,7,1,0.3192379792779684,0.04560542561113834
Betonicine,220623_Smp_MU3_A,KM1906,0.028546385449411477,C7H13NO3,7,1,0.19982469814588033,0.028546385449411477
Betonicine,220623_Smp_MU3_B,KM1906,0.0339831921799732,C7H13NO3,7,1,0.2378823452598124,0.0339831921799732
Betonicine,220623_Smp_MU3_C,KM1906,0.05583090641958333,C7H13NO3,7,1,0.39081634493708334,0.05583090641958333
Betonicine,220623_Smp_MU4_A,KM1906,0.032242035884285855,C7H13NO3,7,1,0.22569425119000097,0.032242035884285855
Betonicine,220623_Smp_MU4_B,KM1906,0.03715225954778348,C7H13NO3,7,1,0.2600658168344844,0.03715225954778348
Betonicine,220623_Smp_MU4_C,KM1906,0.036636589846246244,C7H13NO3,7,1,0.2564561289237237,0.036636589846246244
Betonicine,220623_Smp_MU5_A,KM1906,0.0276925859420457,C7H13NO3,7,1,0.1938481015943199,0.0276925859420457
Betonicine,220623_Smp_MU5_B,KM1906,0.03160855982878839,C7H13NO3,7,1,0.22125991880151874,0.03160855982878839
Betonicine,220623_Smp_MU5_C,KM1906,0.03960813584233489,C7H13NO3,7,1,0.2772569508963442,0.03960813584233489
Betonicine,220623_Smp_MU6_A,KM1906,0.027550105892111702,C7H13NO3,7,1,0.1928507412447819,0.027550105892111702
Betonicine,220623_Smp_MU6_B,KM1906,0.04411838729535178,C7H13NO3,7,1,0.30882871106746246,0.04411838729535178
Betonicine,220623_Smp_MU6_C,KM1906,0.03733638964006635,C7H13NO3,7,1,0.26135472748046445,0.03733638964006635
Betonicine,220623_Smp_MU7_A,KM1906,0.0349564324100496,C7H13NO3,7,1,0.24469502687034722,0.0349564324100496
Betonicine,220623_Smp_MU7_B,KM1906,0.04914944880323376,C7H13NO3,7,1,0.34404614162263636,0.04914944880323376
Betonicine,220623_Smp_MU7_C,KM1906,0.058523871626087805,C7H13NO3,7,1,0.40966710138261464,0.058523871626087805
Betonicine,220623_Smp_MU8_A,KM1906,0.09474591174703119,C7H13NO3,7,1,0.6632213822292183,0.09474591174703119
Betonicine,220623_Smp_MU8_B,KM1906,0.043347993315828934,C7H13NO3,7,1,0.3034359532108025,0.043347993315828934
Betonicine,220623_Smp_MU8_C,KM1906,0.03942147511456754,C7H13NO3,7,1,0.27595032580197276,0.03942147511456754
Betonicine,220623_Smp_MU9_A,KM1906,0.030074282983958023,C7H13NO3,7,1,0.21051998088770615,0.030074282983958023
Betonicine,220623_Smp_MU9_B,KM1906,0.028647373621714368,C7H13NO3,7,1,0.20053161535200056,0.028647373621714368
