cruise_exp,cruise,exp,Compound,Mean.Diss.Conc.nM,SD.Diss.Conc.nM,v_insitu,v_insitu_sd,mm_tt,mm_tt_sd,mm_flux_nM_day,mm_flux_sd_nM_day,wh_mean_tt,wh_sd_tt,wh_flux_nM_day,wh_flux_sd_nM_day
KM1906_UKG1,KM1906,UKG1,GBT,6.630064484443375,0.4648804613486325,0.021975214668397934,0.004702167612101942,301.7064717905998,67.93563500970643,0.5274051520415504,0.12438099713305448,42.46780693387277,5.504746422564802,3.7468746119716387,0.5521800771389128
KM1906_UKG2,KM1906,UKG2,GBT,8.98184791416481,2.075067927773951,0.12222983810688705,0.040293584038362286,73.48326769696283,29.58067504150517,2.9335161145652897,1.3615458453285632,8.22981577743429,1.1563210238686268,26.19309541910054,7.082594036707728
RC078_UKG1,RC078,UKG1,GBT,55.98668335355126,9.190571956899431,0.6491338509650253,0.1451754223575986,86.24828803846769,23.92738396173295,15.579212423160607,5.022010467092517,4.968138425903409,0.4112593689268223,270.45953338969105,49.723192830433675
RC078_UKH1,RC078,UKH1,Homarine,13.394020063413016,2.3638953145655623,0.014657220800017919,0.004677885164324308,913.8171721747306,333.2696153228531,0.35177329920043005,0.14252454581495969,121.38805301771181,12.62066336391081,2.6481723162246324,0.5424423258330553
RC078_UKH2,RC078,UKH2,Homarine,12.361363970511507,0.374719644005147,0.010933656257187214,0.003658418136735237,1130.579165810686,379.84281854933505,0.2624077501724931,0.08851975924600111,182.2644606845099,21.103084376384466,1.6277047877468602,0.19481236470356175
RC104_UKG1,RC104,UKG1,GBT,10.49989606849078,1.0002203487606312,0.0451561433897256,0.01326364777016002,232.5241989305895,71.80101912406666,1.0837474413534145,0.3502121020690398,16.363572258698802,2.3452050308674477,15.399907896628012,2.6501584497487376
RC104_UKH1,RC104,UKH1,Homarine,4.10233899264348,1.3976235970254403,0.0061709031480276675,0.0021977576241917858,664.7874539976635,327.64717221077893,0.14810167555266401,0.08873506902642408,55.80133540971572,2.804260479897566,1.7644046526940476,0.6076185393283967
TN397_UKH1,TN397,UKH1,Homarine,0.05927419049017598,0.025040213590537153,1.1574787551103592e-4,5.258893062153621e-5,512.0974378879595,317.70137158114005,0.002777949012264862,0.002085032313785426,144.85429633507036,7.876257484253953,0.009820768922680587,0.004182980105258141
TN397_UKH2,TN397,UKH2,Homarine,0.18598905783450198,0.07213310051456506,2.6770420404775e-4,1.3281157083855837e-4,694.755835068348,437.5000394340371,0.006424900897146001,0.00475164968357125,308.46498437902454,25.245588569023802,0.014470807430587507,0.005735888331221033
TN397_UKH3,TN397,UKH3,Homarine,0.3867120226799825,0.11371992632312483,2.7759936435130234e-4,1.5177577892928768e-4,1393.0580265688143,864.8247482110605,0.006662384744431257,0.004576635697022911,338.8849212919999,38.400133421185224,0.02738713929476531,0.008630917707740035
TN397_UKH4,TN397,UKH4,Homarine,0.8872457607286982,0.08374415392284056,7.435366932217217e-4,1.295010245335643e-4,1193.2777074985895,236.38849962084043,0.017844880637321325,0.003915823582173389,132.3252872587416,4.487385503241402,0.16092085419661198,0.016139365319197817
TN397_UKH5,TN397,UKH5,Homarine,0.2996794442321827,0.03635968978384228,7.714964423979592e-4,2.224431783775129e-4,388.4391784111426,121.50948283056735,0.01851591461755102,0.006212459496842838,116.03326794979613,7.013613468980757,0.0619848668287466,0.008402142093382437
TN412_UKG,TN412,UKG,GBT,0.47182269919617914,0.1499356858849096,0.01779779096950891,0.007874842998693484,26.510183202202086,14.441516019897055,0.4271469832682139,0.269387337378271,10.010336002452679,1.0170398140742247,1.1312052640324777,0.3773994770330366
