SampID,cruise,exp,treatment,rep,Area,Fragment_mz,blk.slope,slope,std.error.slope,intercept,std.error.intercept,std_error,treatment_conc,nM.in.vial,blk.conc,nM.in.vial.adj,se.nM.in.vial.adj,Cruise,Exp,Treatment,Vol_Filt_L,Spike_time,Filt_time_start,Filt_time_end,exp_time,filt_time,incubation_time1,incubation_time2,nM.in.smp,se.nM.in.smp,nM.per.hour.1,nM.per.hour.2,se.nM.per.hour.1,se.nM.per.hour.2
TN397_UCH1_DMSP_A,TN397,UCH1,DMSP,A,47821484,97.0954,0.2318965797530301,1080199.579428572,65993.27738131356,417369548.7999999,7560479.723952161,0.06109359662611991,50,44.27097076384502,11.594828987651505,32.67614177619352,2.7046728300930956,TN397,UCH1,DMSP,2,2021-11-23T15:20:00Z,2021-11-23T15:50:00Z,2021-11-23T16:02:00Z,30,12,36,42,0.006535228355238703,3.992606049945344e-4,0.010892047258731172,0.00933604050748386,6.654343416575574e-4,5.703722928493349e-4
TN397_UCH1_DMSP_B,TN397,UCH1,DMSP,B,60561504,97.0954,0.2318965797530301,1080199.579428572,65993.27738131356,417369548.7999999,7560479.723952161,0.06109359662611991,50,56.065106072377084,11.594828987651505,44.47027708472558,3.4252189751864317,TN397,UCH1,DMSP,2,2021-11-23T15:20:00Z,2021-11-23T15:50:00Z,2021-11-23T15:59:00Z,30,9,34.5,39,0.008894055416945115,5.433698340132016e-4,0.015467922464252376,0.013683162179915562,9.449910156751333e-4,8.359535907895409e-4
TN397_UCH1_DMSP_C,TN397,UCH1,DMSP,C,43561156,97.0954,0.2318965797530301,1080199.579428572,65993.27738131356,417369548.7999999,7560479.723952161,0.06109359662611991,50,40.326951453771116,11.594828987651505,28.732122466119613,2.4637185052778126,TN397,UCH1,DMSP,2,2021-11-23T15:20:00Z,2021-11-23T15:50:00Z,2021-11-23T16:02:00Z,30,12,36,42,0.005746424493223922,3.510697400314778e-4,0.009577374155373203,0.008209177847462746,5.851162333857964e-4,5.015282000449683e-4
TN397_UCH1_GBT_A,TN397,UCH1,GBT,A,58919456,97.0954,0.2318965797530301,1080199.579428572,65993.27738131356,417369548.7999999,7560479.723952161,0.06109359662611991,50,54.54497217187265,11.594828987651505,42.95014318422115,3.3323485278513236,TN397,UCH1,GBT,2,2021-11-23T16:14:00Z,2021-11-23T16:45:00Z,2021-11-23T16:59:00Z,31,14,38,45,0.008590028636844228,5.247957445461799e-4,0.013563203110806676,0.011453371515792303,8.286248598097578e-4,6.997276593949065e-4
TN397_UCH1_GBT_B,TN397,UCH1,GBT,B,72601280,97.0954,0.2318965797530301,1080199.579428572,65993.27738131356,417369548.7999999,7560479.723952161,0.06109359662611991,50,67.21098710148198,11.594828987651505,55.61615811383047,4.106160934821288,TN397,UCH1,GBT,2,2021-11-23T16:14:00Z,2021-11-23T16:46:00Z,2021-11-23T17:04:00Z,32,18,41,50,0.011123231622766093,6.795582259401728e-4,0.016277899935755256,0.01334787794731931,9.94475452595375e-4,8.154698711282074e-4
TN397_UCH1_GBT_C,TN397,UCH1,GBT,C,75851680,97.0954,0.2318965797530301,1080199.579428572,65993.27738131356,417369548.7999999,7560479.723952161,0.06109359662611991,50,70.2200606670535,11.594828987651505,58.625231679402,4.2899960614546355,TN397,UCH1,GBT,2,2021-11-23T16:14:00Z,2021-11-23T16:47:00Z,2021-11-23T16:58:00Z,33,11,38.5,44,0.0117250463358804,7.163252512668424e-4,0.01827279948448893,0.01598869954892782,0.0011163510409353387,9.768071608184214e-4
TN397_UCH1_Gluc_A,TN397,UCH1,Gluc,A,359786176,97.0954,0.2318965797530301,1080199.579428572,65993.27738131356,417369548.7999999,7560479.723952161,0.06109359662611991,50,333.07379752020245,11.594828987651505,321.47896853255094,20.348676232429188,TN397,UCH1,Glucose,2,2021-11-23T14:44:00Z,2021-11-23T15:15:00Z,2021-11-23T15:30:00Z,31,15,38.5,46,0.06429579370651019,0.003928061285461752,0.10020123694521067,0.08386407874762197,0.006121653951368964,0.005123558198428372
TN397_UCH1_Gluc_B,TN397,UCH1,Gluc,B,381707360,97.0954,0.2318965797530301,1080199.579428572,65993.27738131356,417369548.7999999,7560479.723952161,0.06109359662611991,50,353.367439933576,11.594828987651505,341.7726109459245,21.58848783610655,TN397,UCH1,Glucose,2,2021-11-23T14:44:00Z,2021-11-23T15:15:00Z,2021-11-23T15:35:00Z,31,20,41,51,0.06835452218918489,0.004176023606197224,0.10003100808173399,0.08041708492845281,0.006111254057849597,0.004912968948467323
TN397_UCH1_Gluc_C,TN397,UCH1,Gluc,C,318537088,97.0954,0.2318965797530301,1080199.579428572,65993.27738131356,417369548.7999999,7560479.723952161,0.06109359662611991,50,294.887254231766,11.594828987651505,283.2924252441145,18.015722960219584,TN397,UCH1,Glucose,2,2021-11-23T14:44:00Z,2021-11-23T15:15:00Z,2021-11-23T15:30:00Z,31,15,38.5,46,0.05665848504882289,0.003461470631019832,0.08829893773842527,0.07390237180281246,0.005394499684706231,0.004514961692634563
TN397_UCH1_Hom_A,TN397,UCH1,Hom,A,356331648,97.0954,0.2318965797530301,1080199.579428572,65993.27738131356,417369548.7999999,7560479.723952161,0.06109359662611991,50,329.875751468539,11.594828987651505,318.2809224808875,20.153296096957106,TN397,UCH1,Homarine,2,2021-11-23T14:42:00Z,2021-11-23T15:13:00Z,2021-11-23T15:21:00Z,31,8,35,39,0.06365618449617749,0.003888985258367336,0.10912488770773283,0.09793259153258076,0.006666831871486862,0.005983054243642055
