Rep,Compound,Area,Cruise
220628_Std_4uMStdsMix1InMatrix_2,Betonicine,82009080,KM1906
220628_Std_4uMStdsMix2InH2O_1,Betonicine,1711689088,KM1906
220628_Std_4uMStdsMix2InH2O_2,Betonicine,1951644928,KM1906
220628_Std_4uMStdsMix2InMatrix_1,Betonicine,1739432448,KM1906
220628_Std_4uMStdsMix2InMatrix_2,Betonicine,1897632128,KM1906
220628_Std_H2OinMatrix_1,Betonicine,102914648,KM1906
220628_Std_H2OinMatrix_2,Betonicine,76826744,KM1906
220628_Poo_TruePooG3_Full1,Betonicine,140422816,KM1906
220628_Poo_TruePooG3_Full2,Betonicine,135780800,KM1906
220628_Poo_TruePooG3_Full3,Betonicine,127244440,KM1906
220628_Poo_TruePooG3_Half1,Betonicine,75758080,KM1906
220628_Poo_TruePooG3_Half2,Betonicine,66069252,KM1906
220628_Poo_TruePooG3_Half3,Betonicine,65366172,KM1906
220628_Smp_MBlk1_A,Betonicine,2843812,KM1906
220628_Smp_MBlk1_B,Betonicine,533105,KM1906
220628_Smp_MMQBlk1_A,Betonicine,194207,KM1906
220628_Smp_MMQBlk1_B,Betonicine,148448,KM1906
220628_Smp_MU1_A,Betonicine,72850416,KM1906
220628_Smp_MU1_B,Betonicine,81450936,KM1906
220628_Smp_MU1_C,Betonicine,78041264,KM1906
220628_Smp_MU10_A,Betonicine,37182976,KM1906
220628_Smp_MU10_B,Betonicine,42884744,KM1906
220628_Smp_MU10_C,Betonicine,22373334,KM1906
220628_Smp_MU11_A,Betonicine,280293920,KM1906
220628_Smp_MU11_B,Betonicine,494511392,KM1906
220628_Smp_MU11_C,Betonicine,276387840,KM1906
220628_Smp_MU14_A,Betonicine,89891856,KM1906
220628_Smp_MU14_B,Betonicine,125904472,KM1906
220628_Smp_MU14_C,Betonicine,115215824,KM1906
220628_Smp_MU15_A,Betonicine,113900712,KM1906
220628_Smp_MU15_B,Betonicine,178413056,KM1906
220628_Smp_MU15_C,Betonicine,112078488,KM1906
220628_Smp_MU16_A,Betonicine,104108432,KM1906
220628_Smp_MU16_B,Betonicine,167888208,KM1906
220628_Smp_MU16_C,Betonicine,136931600,KM1906
220628_Smp_MU17_A,Betonicine,82696304,KM1906
220628_Smp_MU17_B,Betonicine,106663832,KM1906
220628_Smp_MU17_C,Betonicine,132204472,KM1906
220628_Smp_MU18_A,Betonicine,76127984,KM1906
220628_Smp_MU18_B,Betonicine,107775688,KM1906
220628_Smp_MU18_C,Betonicine,98532920,KM1906
220628_Smp_MU19_A,Betonicine,693946816,KM1906
220628_Smp_MU19_B,Betonicine,544128192,KM1906
220628_Smp_MU19_C,Betonicine,570608704,KM1906
220628_Smp_MU2_A,Betonicine,60438712,KM1906
220628_Smp_MU2_B,Betonicine,76634168,KM1906
