parent_id,sample_id,depth_m,station,cast,c_mol_l,n_mol_l,POC_uM,PN_uM,PO4,Si(OH)4,NO3,NO2,NH4,Station,Cast,lat,lon,sal,temp,oxygen,beam_atten,Chl_fluor
Blk,Blk1,0,NA,NA,6.6921171974775185e-6,7.15637602616367e-6,6.692117197477518,7.15637602616367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S3_C1_D2,S3_C1_D2_C,100,3,1,8.236869609318332e-6,6.931122190682662e-6,8.236869609318331,6.931122190682662,2.18725776,34.82309321,27.59977066,0.39324444,1.059006464,S3,C1,48.49990231818182,-123.17906627272727,31.64617090909091,8.597121818181819,1.6999081818181818,0.3238163636363636,0.3990013636363636
S2_C4_D6,S2_C4_D6_B,4,2,4,1.0032084935489546e-5,6.836707470490737e-6,10.032084935489546,6.836707470490738,1.853791409,32.30766376,21.31735157,0.450271493,1.033007547,S2,C4,48.24895755905512,-122.99180062992126,31.947391338582676,8.402978740157481,1.6596740157480314,0.2980433070866142,0.7266503937007874
S7_C1_D1,S7_C1_D1_B,156,7,1,1.8199061831402716e-5,9.041609388113706e-6,18.199061831402716,9.041609388113706,1.817945282,30.48333199,21.92951283,0.476976717,2.40888398,S7,C1,47.81985939189189,-122.46608574324324,29.730080405405406,9.732956081081081,2.2222945945945947,0.5442608108108108,2.169958108108108
S2_C9_D1,S2_C9_D1_C,10,2,9,1.298510220603861e-5,7.4647485924081775e-6,12.98510220603861,7.464748592408178,NA,NA,NA,NA,NA,S2,C9,48.248789411764704,-122.99395882352941,29.999717647058823,9.847305882352941,2.218694117647059,0.47605882352941176,2.8374588235294116
S7_C2_D3,S7_C2_D3_A,30,7,1,1.0799129624450228e-5,1.151183963535275e-5,10.799129624450227,11.51183963535275,1.843012404,31.73465942,18.13603107,0.695661761,4.341984539,S7,C1,47.81985939189189,-122.46608574324324,29.730080405405406,9.732956081081081,2.2222945945945947,0.5442608108108108,2.169958108108108
S6_C1_D2,S6_C1_D2_B,4,6,1,5.994303379280417e-5,1.4119055388075582e-5,59.94303379280417,14.119055388075582,0.382864127,14.76947044,1.780234198,0.073416543,0.898085442,S6,C1,48.24069771929825,-122.55512631578948,29.03848245614035,9.077964912280702,1.9194280701754387,0.6149701754385966,1.1885771929824562
S3_C2_D3,S3_C2_D3_B,10,3,2,1.1293203234793454e-5,7.808316275710903e-6,11.293203234793454,7.808316275710903,2.018999719,32.8593074,24.05379514,0.526941765,2.729124904,S3,C2,48.49591089965398,-123.15111515570935,31.989574394463666,8.344265051903115,1.602321107266436,0.3158653979238754,0.31850346020761244
S2_C4_D5,S2_C4_D5_A,15,2,4,9.673087017576594e-6,6.551967485747444e-6,9.673087017576595,6.5519674857474435,1.907623884,31.3669686,21.68609648,0.443496271,1.141923223,S2,C4,48.24895755905512,-122.99180062992126,31.947391338582676,8.402978740157481,1.6596740157480314,0.2980433070866142,0.7266503937007874
S2_C3_D3,S2_C3_D3_A,45,2,3,7.424498707405614e-6,6.50044973789658e-6,7.424498707405614,6.50044973789658,2.12976,34.2615586,26.5538434,0.3355815,1.00567935,S2,C3,48.249329160305344,-122.99446564885496,32.20650152671756,8.222852671755724,1.5898381679389313,0.25071984732824426,0.5087496183206107
S2_C2_D2,S2_C2_D2_C,65,2,2,6.898130138573784e-6,5.504207884185933e-6,6.8981301385737845,5.504207884185933,2.17328179,32.6566103,28.71246909,0.27484666,0.700182411,S2,C2,48.24893992063492,-122.9912607936508,31.959780952380953,8.4237,1.659218253968254,0.25770396825396824,0.5264484126984127
S2_C4_D6,S2_C4_D6_A,4,2,4,6.342653630451719e-6,6.15931870483004e-6,6.34265363045172,6.15931870483004,1.86554424,31.59034971,21.26776658,0.44932356,0.986825976,S2,C4,48.24895755905512,-122.99180062992126,31.947391338582676,8.402978740157481,1.6596740157480314,0.2980433070866142,0.7266503937007874
S7_C2_D4,S7_C2_D4_C,15,7,2,2.7809081647183796e-5,1.0639866943687772e-5,27.809081647183795,10.639866943687771,1.623919342,27.05940869,14.74506772,0.603759699,4.420307462,S7,C2,47.81989388489209,-122.46678863309353,29.74151726618705,9.693851798561152,2.1948971223021583,0.4426172661870504,1.609541726618705
S3_C1_D1,S3_C1_D1_C,230,3,1,9.936045565386048e-6,9.45305518513886e-6,9.936045565386049,9.45305518513886,2.313618584,39.81638677,30.83911476,0.263907771,0.594765209,S3,C1,48.49990231818182,-123.17906627272727,31.64617090909091,8.597121818181819,1.6999081818181818,0.3238163636363636,0.3990013636363636
S2_C2_D1,S2_C2_D1_C,135,2,2,5.658617057131098e-6,5.679646701191582e-6,5.658617057131098,5.679646701191581,2.319754965,38.42694877,31.97970477,0.218624471,0.398742256,S2,C2,48.24893992063492,-122.9912607936508,31.959780952380953,8.4237,1.659218253968254,0.25770396825396824,0.5264484126984127
S6_C2_D4,S6_C2_D4_C,28,6,2,1.5744686316741926e-5,2.115388735440005e-5,15.744686316741927,21.15388735440005,2.203631684,43.07601613,23.9471005,0.647227793,2.611306364,S6,C2,48.243226301369866,-122.55293438356165,29.085261643835615,9.037383561643836,1.897095890410959,0.5342123287671233,0.7513465753424657
S2_C1_SRF,S2_C1_SRF_B,3,2,1,1.0583697214593873e-5,8.251090432915636e-6,10.583697214593872,8.251090432915637,1.871976475,27.85371361,22.13376399,0.455394765,2.300065475,S2,C1,48.248553939393936,-122.99288545454546,32.34490075757576,8.087983333333334,1.5462189393939394,0.3639310606060606,0.33618030303030305
S5_C3_D3,S5_C3_D3_B,4,5,3,5.27174393372152e-5,1.1890401607110187e-5,52.7174393372152,11.890401607110187,0.271911516,18.09762112,1.103233428,0.081579992,1.562719408,S5,C3,48.8234477852349,-122.89724476510067,30.423709395973155,9.190297986577182,1.9507744966442953,0.4983630872483221,1.0473422818791946
S5_C3_D1,S5_C3_D1_C,30,5,3,5.724736238925868e-5,1.1878914541711008e-5,57.24736238925868,11.878914541711008,1.834866669,33.93810875,21.68691564,0.537420522,1.135977223,S5,C3,48.8234477852349,-122.89724476510067,30.423709395973155,9.190297986577182,1.9507744966442953,0.4983630872483221,1.0473422818791946
S5_C3_D2,S5_C3_D2_C,9,5,3,6.485908851365624e-5,1.259528971115074e-5,64.85908851365625,12.595289711150741,0.599767354,21.29349339,6.577668495,0.225548666,1.485580707,S5,C3,48.8234477852349,-122.89724476510067,30.423709395973155,9.190297986577182,1.9507744966442953,0.4983630872483221,1.0473422818791946
S7_C3_D6,S7_C3_D6_C,3,7,3,1.090626813450829e-4,2.590548067341538e-5,109.0626813450829,25.90548067341538,0.471054571,5.65231,1.572558865,0.131746776,1.046956212,S7,C2,47.81989388489209,-122.46678863309353,29.74151726618705,9.693851798561152,2.1948971223021583,0.4426172661870504,1.609541726618705
S7_C2_D4,S7_C2_D4_B,15,7,2,2.734820594175501e-5,1.2164513805760668e-5,27.34820594175501,12.164513805760668,1.583220752,26.99433372,14.76772303,0.590731187,4.543966487,S7,C2,47.81989388489209,-122.46678863309353,29.74151726618705,9.693851798561152,2.1948971223021583,0.4426172661870504,1.609541726618705
