SampID,Batch,Organism,Compound,Area,min.area.flag,blk.flag,smp.remove
220111_Smp_SA16_A_pos,Bacteria,SA16,Dimethylsulfonioacetate,0,Flag,NA,Smp_Remove
220111_Smp_SA16_B_pos,Bacteria,SA16,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA16_C_pos,Bacteria,SA16,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA36_A_pos,Bacteria,SA36,Dimethylsulfonioacetate,0,Flag,NA,Smp_Remove
220111_Smp_SA36_B_pos,Bacteria,SA36,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA36_C_pos,Bacteria,SA36,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA42_A_pos,Bacteria,SA42,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA44_B_pos,Bacteria,SA44,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA44_C_pos,Bacteria,SA44,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA48_A_pos,Bacteria,SA48,Dimethylsulfonioacetate,0,Flag,NA,Smp_Remove
220111_Smp_SA48_B_pos,Bacteria,SA48,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA48_C_pos,Bacteria,SA48,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA53_A_pos,Bacteria,SA53,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA53_B_pos,Bacteria,SA53,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA53_C_pos,Bacteria,SA53,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA55_A_pos,Bacteria,SA55,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA55_B_pos,Bacteria,SA55,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA55_C_pos,Bacteria,SA55,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA59_A_pos,Bacteria,SA59,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA59_B_pos,Bacteria,SA59,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA59_C_pos,Bacteria,SA59,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA60_A_pos,Bacteria,SA60,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SA60_B_pos,Bacteria,SA60,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_Exp1_pos,Bacteria,Nmar,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_Exp2_pos,Bacteria,Nmar,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_Exp3_pos,Bacteria,Nmar,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_St1_pos,Bacteria,Nmar,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_St2_pos,Bacteria,Nmar,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_St3_pos,Bacteria,Nmar,Dimethylsulfonioacetate,0,Flag,Flag,Smp_Remove
220111_Smp_SCM1_St4_pos,Bacteria,Nmar,Dimethylsulfonioacetate,0,Flag,NA,Smp_Remove
220111_Smp_DSS3_A_pos,Bacteria,DSS3,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_DSS3_B_pos,Bacteria,DSS3,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_DSS3_C_pos,Bacteria,DSS3,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_Och_A_pos,Bacteria,OCh114,Dimethylsulfoniopropionate,0,Flag,NA,Smp_Remove
220111_Smp_Och_B_pos,Bacteria,OCh114,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_Och_C_pos,Bacteria,OCh114,Dimethylsulfoniopropionate,0,Flag,NA,Smp_Remove
220111_Smp_SA7_A_pos,Bacteria,SA7,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA7_B_pos,Bacteria,SA7,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA7_C_pos,Bacteria,SA7,Dimethylsulfoniopropionate,0,Flag,Flag,Smp_Remove
220111_Smp_SA11_A_pos,Bacteria,SA11,Dimethylsulfoniopropionate,347411,NA,NA,NA
220111_Smp_SA11_B_pos,Bacteria,SA11,Dimethylsulfoniopropionate,1385408,NA,NA,NA
220111_Smp_SA11_C_pos,Bacteria,SA11,Dimethylsulfoniopropionate,811460,NA,NA,NA
