exp,Fragment_mz,intercept,std.error.intercept,TT
KM1906_UKG1,62.8977,1.6018683974267236,0.06293544789783323,39.982357441456784
KM1906_UKG2,62.8977,0.8820756732735412,0.06246331174972432,7.622118094053832
RC078_UKG1,62.8977,0.7060983107938463,0.08462300183016654,5.082744871101179
RC104_UKG1,62.8977,1.2022741042130007,0.13400645809334355,15.932139640357667
TN412_UKG,62.8977,0.9870359201956149,0.02766383047413799,9.705902407719167
RC078_UKH1,78.0399,2.083656636304729,0.078604567760369,121.2429895101905
RC078_UKH2,78.0399,2.33892158165733,0.09973153663972481,218.23358230001702
RC104_UKH1,78.0399,1.7337732998106044,0.13200554183448585,54.17180416759177
TN397_UKH1,78.0399,2.1340231965254297,0.05824902599917059,136.15174018555
TN397_UKH2,78.0399,2.4748749827940797,0.0774702397542967,298.4523362133331
TN397_UKH3,78.0399,2.5113354633869203,0.07731897694225613,324.59024475501803
TN397_UKH4,78.0399,2.1227589751598677,0.05036874964413172,132.66579844658372
TN397_UKH5,78.0399,2.045668668163631,0.04957149149103331,111.08838886507361
