Part.Rep,SampID,replicate,Cruise,Diss.Rep
220902_Smp_TN397_S9_600_U_B,S9_600,B,TN397,220602_Smp_TN397_S9_600_U_B
220902_Smp_TN397_S9_600_U_C,S9_600,C,TN397,220602_Smp_TN397_S9_600_U_C
220902_Smp_TN397_S9_1800_U_A,S9_1800,A,TN397,220602_Smp_TN397_S9_1800_U_A
220902_Smp_TN397_S9_1800_U_B,S9_1800,B,TN397,220602_Smp_TN397_S9_1800_U_B
220902_Smp_TN397_S9_1800_U_C,S9_1800,C,TN397,220602_Smp_TN397_S9_1800_U_C
220902_Smp_TN397_S9_BB_A,S9_BB,A,TN397,NA
220902_Smp_TN397_S9_BB_B,S9_BB,B,TN397,NA
220902_Smp_TN397_S10_U_A,S10,A,TN397,220602_Smp_TN397_S10_U_A
220902_Smp_TN397_S10_U_B,S10,B,TN397,220602_Smp_TN397_S10_U_B
220902_Smp_TN397_S10_U_C,S10,C,TN397,220602_Smp_TN397_S10_U_C
220902_Smp_TN397_S11_600_U_A,S11_600,A,TN397,220602_Smp_TN397_S11_600_U_A
220902_Smp_TN397_S11_600_U_B,S11_600,B,TN397,220602_Smp_TN397_S11_600_U_B
220902_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,220602_Smp_TN397_S11_1800_U_A
220902_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,220602_Smp_TN397_S11_1800_U_B
220902_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,220602_Smp_TN397_S11_1800_U_C
220902_Smp_TN397_S12_600_U_A,S12_600,A,TN397,220602_Smp_TN397_S12_600_U_A
220902_Smp_TN397_S12_600_U_B,S12_600,B,TN397,220602_Smp_TN397_S12_600_U_B
220902_Smp_TN397_S12_600_U_C,S12_600,C,TN397,220602_Smp_TN397_S12_600_U_C
220902_Smp_TN397_S12_800_U_A,S12_800,A,TN397,220602_Smp_TN397_S12_800_U_A
220902_Smp_TN397_S12_800_U_B,S12_800,B,TN397,220602_Smp_TN397_S12_800_U_B
220902_Smp_TN397_S12_800_U_C,S12_800,C,TN397,220602_Smp_TN397_S12_800_U_C
220902_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,220602_Smp_TN397_S12_1800_U_A
220902_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,220602_Smp_TN397_S12_1800_U_B
220902_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,220602_Smp_TN397_S12_1800_U_C
220902_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,220602_Smp_TN397_S13_1800_U_A
220902_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,220602_Smp_TN397_S13_1800_U_B
220902_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,220602_Smp_TN397_S13_1800_U_C
220902_Smp_TN397_S14_U_A,S14,A,TN397,220602_Smp_TN397_S14_U_A
220902_Smp_TN397_S14_U_B,S14,B,TN397,220602_Smp_TN397_S14_U_B
220902_Smp_TN397_S14_U_C,S14,C,TN397,220602_Smp_TN397_S14_U_C
220902_Smp_TN397_S15_U_A,S15,A,TN397,220602_Smp_TN397_S15_U_A
220902_Smp_TN397_S15_U_B,S15,B,TN397,220602_Smp_TN397_S15_U_B
220902_Smp_TN397_S15_U_C,S15,C,TN397,220602_Smp_TN397_S15_U_C
220902_Smp_TN397_S16_U_A,S16,A,TN397,220602_Smp_TN397_S16_U_A
220902_Smp_TN397_S16_U_B,S16,B,TN397,220602_Smp_TN397_S16_U_B
220902_Smp_TN397_S16_U_C,S16,C,TN397,220602_Smp_TN397_S16_U_C
220902_Smp_TN397_S17_U_A,S17,A,TN397,220602_Smp_TN397_S17_U_A
220902_Smp_TN397_S17_U_B,S17,B,TN397,220602_Smp_TN397_S17_U_B
220902_Smp_TN397_S17_U_C,S17,C,TN397,220602_Smp_TN397_S17_U_C
220902_Smp_TN397_S18_U_A,S18,A,TN397,NA
220902_Smp_TN397_S18_U_B,S18,B,TN397,NA
220902_Smp_TN397_S18_U_C,S18,C,TN397,NA
220902_Smp_TN397_U1_A,U1,A,TN397,220602_Smp_TN397_U1_A
220902_Smp_TN397_U1_B,U1,B,TN397,220602_Smp_TN397_U1_B
220902_Smp_TN397_U1_C,U1,C,TN397,220602_Smp_TN397_U1_C
220902_Smp_TN397_U2_A,U2,A,TN397,220602_Smp_TN397_U2_A
220902_Smp_TN397_U2_B,U2,B,TN397,220602_Smp_TN397_U2_B
220902_Smp_TN397_U2_C,U2,C,TN397,220602_Smp_TN397_U2_C
220902_Smp_TN397_U3_A,U3,A,TN397,220602_Smp_TN397_U3_A
220902_Smp_TN397_U3_B,U3,B,TN397,220602_Smp_TN397_U3_B
220902_Smp_TN397_U3_C,U3,C,TN397,220602_Smp_TN397_U3_C
220902_Smp_TN397_U4_A,U4,A,TN397,220602_Smp_TN397_U4_A
220902_Smp_TN397_U4_B,U4,B,TN397,220602_Smp_TN397_U4_B
220902_Smp_TN397_U4_C,U4,C,TN397,220602_Smp_TN397_U4_C
220902_Smp_TN397_U5_A,U5,A,TN397,220602_Smp_TN397_U5_A
220902_Smp_TN397_U5_B,U5,B,TN397,220602_Smp_TN397_U5_B
220902_Smp_TN397_U5_C,U5,C,TN397,220602_Smp_TN397_U5_C
220902_Smp_TN397_U6_A,U6,A,TN397,220602_Smp_TN397_U6_A
220902_Smp_TN397_U6_B,U6,B,TN397,220602_Smp_TN397_U6_B
220902_Smp_TN397_U6_C,U6,C,TN397,220602_Smp_TN397_U6_C
220902_Smp_TN397_U7_A,U7,A,TN397,NA
220902_Smp_TN397_U7_B,U7,B,TN397,NA
220902_Smp_TN397_U7_C,U7,C,TN397,NA
220902_Smp_TN397_U8_BB,U8_BB,NA,TN397,NA
220902_Smp_TN397_U9_A,U9,A,TN397,220602_Smp_TN397_U9_A
220902_Smp_TN397_U9_B,U9,B,TN397,220602_Smp_TN397_U9_B
220902_Smp_TN397_U9_C,U9,C,TN397,220602_Smp_TN397_U9_C
220902_Smp_TN397_U10_A,U10,A,TN397,220602_Smp_TN397_U10_A
220902_Smp_TN397_U10_B,U10,B,TN397,220602_Smp_TN397_U10_B
220902_Smp_TN397_U10_C,U10,C,TN397,220602_Smp_TN397_U10_C
220902_Smp_TN397_U11_A,U11,A,TN397,220602_Smp_TN397_U11_A
220902_Smp_TN397_U11_B,U11,B,TN397,220602_Smp_TN397_U11_B
220902_Smp_TN397_U11_C,U11,C,TN397,220602_Smp_TN397_U11_C
220902_Smp_TN397_U12_A,U12,A,TN397,220602_Smp_TN397_U12_A
220902_Smp_TN397_U12_B,U12,B,TN397,220602_Smp_TN397_U12_B
220902_Smp_TN397_U12_C,U12,C,TN397,220602_Smp_TN397_U12_C
220902_Smp_TN397_U13_A,U13,A,TN397,220602_Smp_TN397_U13_A
220902_Smp_TN397_U13_B,U13,B,TN397,220602_Smp_TN397_U13_B
220902_Smp_TN397_U13_C,U13,C,TN397,220602_Smp_TN397_U13_C
221006_Smp_S1_C1_5m_A,S1_C1_5m,A,RC078,NA
221006_Smp_S1_C1_5m_B,S1_C1_5m,B,RC078,NA
221006_Smp_S1_C1_5m_C,S1_C1_5m,C,RC078,NA
221006_Smp_S1_C1_DCM_A,S1_C1_DCM,A,RC078,NA
221006_Smp_S1_C1_DCM_B,S1_C1_DCM,B,RC078,NA
221006_Smp_S1_C1_DCM_C,S1_C1_DCM,C,RC078,NA
221006_Smp_S2_C1_SRF_A,S2_C1_SRF,A,RC078,NA
221006_Smp_S2_C1_SRF_B,S2_C1_SRF,B,RC078,NA
221006_Smp_S2_C1_SRF_C,S2_C1_SRF,C,RC078,NA
221006_Smp_S2_C2_D1_A,S2_C2_D1,A,RC078,NA
221006_Smp_S2_C2_D1_B,S2_C2_D1,B,RC078,NA
221006_Smp_S2_C2_D1_C,S2_C2_D1,C,RC078,NA
221006_Smp_S2_C2_D2_A,S2_C2_D2,A,RC078,NA
221006_Smp_S2_C2_D2_B,S2_C2_D2,B,RC078,NA
221006_Smp_S2_C2_D2_C,S2_C2_D2,C,RC078,NA
221006_Smp_S2_C3_D3_A,S2_C3_D3,A,RC078,NA
221006_Smp_S2_C3_D3_B,S2_C3_D3,B,RC078,NA
221006_Smp_S2_C3_D3_C,S2_C3_D3,C,RC078,NA
221006_Smp_S2_C3_D4_A,S2_C3_D4,A,RC078,NA
221006_Smp_S2_C3_D4_B,S2_C3_D4,B,RC078,NA
221006_Smp_S2_C3_D4_C,S2_C3_D4,C,RC078,NA
221006_Smp_S2_C4_D5_A,S2_C4_D5,A,RC078,240415_Smp_S2_C4_D5_A
221006_Smp_S2_C4_D5_B,S2_C4_D5,B,RC078,240415_Smp_S2_C4_D5_B
221006_Smp_S2_C4_D5_C,S2_C4_D5,C,RC078,240415_Smp_S2_C4_D5_C
221006_Smp_S2_C4_D6_A,S2_C4_D6,A,RC078,240415_Smp_S2_C4_D6_A
221006_Smp_S2_C4_D6_B,S2_C4_D6,B,RC078,240415_Smp_S2_C4_D6_B
221006_Smp_S2_C4_D6_C,S2_C4_D6,C,RC078,240415_Smp_S2_C4_D6_C
221006_Smp_S3_C1_D1_A,S3_C1_D1,A,RC078,NA
221006_Smp_S3_C1_D1_B,S3_C1_D1,B,RC078,NA
221006_Smp_S3_C1_D1_C,S3_C1_D1,C,RC078,NA
221006_Smp_S3_C1_D2_A,S3_C1_D2,A,RC078,NA
221006_Smp_S3_C1_D2_B,S3_C1_D2,B,RC078,NA
221006_Smp_S3_C1_D2_C,S3_C1_D2,C,RC078,NA
221006_Smp_S3_C2_D3_A,S3_C2_D3,A,RC078,240415_Smp_S3_C2_D3_A
221006_Smp_S3_C2_D3_B,S3_C2_D3,B,RC078,240415_Smp_S3_C2_D3_B
221006_Smp_S3_C2_D3_C,S3_C2_D3,C,RC078,240415_Smp_S3_C2_D3_C
221006_Smp_S3_C2_D4_A,S3_C2_D4,A,RC078,240415_Smp_S3_C2_D4_A
221006_Smp_S3_C2_D4_B,S3_C2_D4,B,RC078,240415_Smp_S3_C2_D4_B
221006_Smp_S3_C2_D4_C,S3_C2_D4,C,RC078,240415_Smp_S3_C2_D4_C
221006_Smp_S4_C1_D1_A,S4_C1_D1,A,RC078,NA
221006_Smp_S4_C1_D1_B,S4_C1_D1,B,RC078,NA
221006_Smp_S4_C1_D1_C,S4_C1_D1,C,RC078,NA
221006_Smp_S4_C1_D2_A,S4_C1_D2,A,RC078,NA
221006_Smp_S4_C1_D2_B,S4_C1_D2,B,RC078,NA
221006_Smp_S4_C1_D2_C,S4_C1_D2,C,RC078,NA
221006_Smp_S4_C2_D3_A,S4_C2_D3,A,RC078,NA
221006_Smp_S4_C2_D3_B,S4_C2_D3,B,RC078,NA
221006_Smp_S4_C2_D3_C,S4_C2_D3,C,RC078,NA
221006_Smp_S4_C2_D4_A,S4_C2_D4,A,RC078,NA
221006_Smp_S4_C2_D4_B,S4_C2_D4,B,RC078,NA
221006_Smp_S4_C2_D4_C,S4_C2_D4,C,RC078,NA
221006_Smp_S5_C3_D1_A,S5_C3_D1,A,RC078,NA
221006_Smp_S5_C3_D1_B,S5_C3_D1,B,RC078,NA
221006_Smp_S5_C3_D1_C,S5_C3_D1,C,RC078,NA
221006_Smp_S5_C3_D2_A,S5_C3_D2,A,RC078,240415_Smp_S5_C3_D2_A
221006_Smp_S5_C3_D2_B,S5_C3_D2,B,RC078,240415_Smp_S5_C3_D2_B
221006_Smp_S5_C3_D2_C,S5_C3_D2,C,RC078,240415_Smp_S5_C3_D2_C
221006_Smp_S5_C3_D3_A,S5_C3_D3,A,RC078,240415_Smp_S5_C3_D3_A
221006_Smp_S5_C3_D3_B,S5_C3_D3,B,RC078,240415_Smp_S5_C3_D3_B
221006_Smp_S5_C3_D3_C,S5_C3_D3,C,RC078,240415_Smp_S5_C3_D3_C
221006_Smp_S6_C1_D1_A,S6_C1_D1,A,RC078,240415_Smp_S6_C1_D1_A
221006_Smp_S6_C1_D1_B,S6_C1_D1,B,RC078,240415_Smp_S6_C1_D1_B
221006_Smp_S6_C1_D1_C,S6_C1_D1,C,RC078,240415_Smp_S6_C1_D1_C
221006_Smp_S6_C1_D2_A,S6_C1_D2,A,RC078,240415_Smp_S6_C1_D2_A
221006_Smp_S6_C1_D2_B,S6_C1_D2,B,RC078,240415_Smp_S6_C1_D2_B
221006_Smp_S6_C1_D2_C,S6_C1_D2,C,RC078,240415_Smp_S6_C1_D2_C
221006_Smp_S6_C2_D3_A,S6_C2_D3,A,RC078,NA
221006_Smp_S6_C2_D3_B,S6_C2_D3,B,RC078,NA
221006_Smp_S6_C2_D3_C,S6_C2_D3,C,RC078,NA
221006_Smp_S6_C2_D4_A,S6_C2_D4,A,RC078,NA
221006_Smp_S6_C2_D4_B,S6_C2_D4,B,RC078,NA
221006_Smp_S6_C2_D4_C,S6_C2_D4,C,RC078,NA
221006_Smp_S7_C1_D1_B,S7_C1_D1,B,RC078,NA
221006_Smp_S7_C1_D1_C,S7_C1_D1,C,RC078,NA
221006_Smp_S7_C1_D2_A,S7_C1_D2,A,RC078,NA
221006_Smp_S7_C1_D2_B,S7_C1_D2,B,RC078,NA
221006_Smp_S7_C1_D2_C,S7_C1_D2,C,RC078,NA
221006_Smp_S7_C2_D3_A,S7_C2_D3,A,RC078,NA
221006_Smp_S7_C2_D3_B,S7_C2_D3,B,RC078,NA
221006_Smp_S7_C2_D3_C,S7_C2_D3,C,RC078,NA
221006_Smp_S7_C2_D4_A,S7_C2_D4,A,RC078,NA
221006_Smp_S7_C2_D4_B,S7_C2_D4,B,RC078,NA
221006_Smp_S7_C2_D4_C,S7_C2_D4,C,RC078,NA
221006_Smp_S7_C3_D5_A,S7_C3_D5,A,RC078,240415_Smp_S7_C3_D5_A
221006_Smp_S7_C3_D5_B,S7_C3_D5,B,RC078,240415_Smp_S7_C3_D5_B
221006_Smp_S7_C3_D5_C,S7_C3_D5,C,RC078,240415_Smp_S7_C3_D5_C
221006_Smp_S7_C3_D6_A,S7_C3_D6,A,RC078,240415_Smp_S7_C3_D6_A
221006_Smp_S7_C3_D6_B,S7_C3_D6,B,RC078,240415_Smp_S7_C3_D6_B
221006_Smp_S7_C3_D6_C,S7_C3_D6,C,RC078,240415_Smp_S7_C3_D6_C
221006_Smp_S8_C1_D1_A_2L,S8_C1_D1_A_2L,NA,RC078,NA
221006_Smp_S8_C1_D1_A_4L,S8_C1_D1_A_4L,NA,RC078,NA
221006_Smp_S8_C1_D2_A,S8_C1_D2,A,RC078,NA
NA,MU12,A,KM1906,220623_Smp_MU12_A
NA,MU12,B,KM1906,220623_Smp_MU12_B
NA,MU12,C,KM1906,220623_Smp_MU12_C
NA,MU13,A,KM1906,220623_Smp_MU13_A
NA,MU13,B,KM1906,220623_Smp_MU13_B
NA,MU13,C,KM1906,220623_Smp_MU13_C
NA,KM1906_GBT_F2_T0,A,TN397,220602_Smp_KM1906_GBT_F2_T0_A
NA,KM1906_GBT_F2_T0,B,TN397,220602_Smp_KM1906_GBT_F2_T0_B
NA,KM1906_GBT_F2_T0,C,TN397,220602_Smp_KM1906_GBT_F2_T0_C
NA,KM1906_GBTK1_0nM,A,TN397,220602_Smp_KM1906_GBTK1_0nM_A
NA,KM1906_GBTK1_0nM,B,TN397,220602_Smp_KM1906_GBTK1_0nM_B
NA,KM1906_GBTK1_0nM,C,TN397,220602_Smp_KM1906_GBTK1_0nM_C
NA,S11_600,C,TN397,220602_Smp_TN397_S11_600_U_C
NA,UCH1_Gluc,A,TN397,220602_Smp_TN397_UCH1_Gluc_A
NA,UCH1_Gluc,B,TN397,220602_Smp_TN397_UCH1_Gluc_B
NA,UCH1_Gluc,C,TN397,220602_Smp_TN397_UCH1_Gluc_C
NA,UKH1_0nM,A,TN397,220602_Smp_TN397_UKH1_0nM_A
NA,UKH1_0nM,B,TN397,220602_Smp_TN397_UKH1_0nM_B
NA,UKH1_0nM,C,TN397,220602_Smp_TN397_UKH1_0nM_C
NA,UKH2_0nM,A,TN397,220602_Smp_TN397_UKH2_0nM_A
NA,UKH2_0nM,B,TN397,220602_Smp_TN397_UKH2_0nM_B
NA,UKH2_0nM,C,TN397,220602_Smp_TN397_UKH2_0nM_C
NA,UKH3_0nM,A,TN397,220602_Smp_TN397_UKH3_0nM_A
NA,UKH3_0nM,B,TN397,220602_Smp_TN397_UKH3_0nM_B
NA,UKH3_0nM,C,TN397,220602_Smp_TN397_UKH3_0nM_C
NA,UKH4_0nM,A,TN397,220602_Smp_TN397_UKH4_0nM_A
NA,UKH4_0nM,B,TN397,220602_Smp_TN397_UKH4_0nM_B
NA,UKH4_0nM,C,TN397,220602_Smp_TN397_UKH4_0nM_C
NA,UKH5_0nM,A,TN397,220602_Smp_TN397_UKH5_0nM_A
NA,UKH5_0nM,B,TN397,220602_Smp_TN397_UKH5_0nM_B
NA,UKH5_0nM,C,TN397,220602_Smp_TN397_UKH5_0nM_C
NA,UKT1_0nM,A,TN397,220602_Smp_TN397_UKT1_0nM_A
NA,UKT1_0nM,B,TN397,220602_Smp_TN397_UKT1_0nM_B
NA,UKT1_0nM,C,TN397,220602_Smp_TN397_UKT1_0nM_C
NA,UKT2_0nM,A,TN397,220602_Smp_TN397_UKT2_0nM_A
NA,UKT2_0nM,B,TN397,220602_Smp_TN397_UKT2_0nM_B
NA,UKT2_0nM,C,TN397,220602_Smp_TN397_UKT2_0nM_C
NA,UKT3_0nM,A,TN397,220602_Smp_TN397_UKT3_0nM_A
NA,UKT3_0nM,B,TN397,220602_Smp_TN397_UKT3_0nM_B
NA,UKT3_0nM,C,TN397,220602_Smp_TN397_UKT3_0nM_C
NA,UKT4_0nM,A,TN397,220602_Smp_TN397_UKT4_0nM_A
NA,UKT4_0nM,B,TN397,220602_Smp_TN397_UKT4_0nM_B
NA,UKT4_0nM,C,TN397,220602_Smp_TN397_UKT4_0nM_C
NA,UKT5_0nM,A,TN397,220602_Smp_TN397_UKT5_0nM_A
NA,UKT5_0nM,B,TN397,220602_Smp_TN397_UKT5_0nM_B
NA,UKT5_0nM,C,TN397,220602_Smp_TN397_UKT5_0nM_C
NA,UnfiltMQ1,A,TN397,220602_Smp_TN397_UnfiltMQ1_A
NA,UnfiltMQ1,B,TN397,220602_Smp_TN397_UnfiltMQ1_B
NA,UnfiltMQ1,C,TN397,220602_Smp_TN397_UnfiltMQ1_C
NA,G5_Mix1_Kin,A,KinExp,240102_Smp_G5_Mix1_Kin_A
NA,G5_Mix1_Kin,B,KinExp,240102_Smp_G5_Mix1_Kin_B
NA,G5_Mix1_Kin,C,KinExp,240102_Smp_G5_Mix1_Kin_C
NA,G5_Mix1iN_Kin,A,KinExp,240102_Smp_G5_Mix1iN_Kin_A
NA,G5_Mix1iN_Kin,B,KinExp,240102_Smp_G5_Mix1iN_Kin_B
NA,G5_Mix1iN_Kin,C,KinExp,240102_Smp_G5_Mix1iN_Kin_C
NA,G5_Mix2_Kin,A,KinExp,240102_Smp_G5_Mix2_Kin_A
NA,G5_Mix2_Kin,B,KinExp,240102_Smp_G5_Mix2_Kin_B
NA,G5_Mix2_Kin,C,KinExp,240102_Smp_G5_Mix2_Kin_C
NA,G5_Mix2iN_Kin,A,KinExp,240102_Smp_G5_Mix2iN_Kin_A
NA,G5_Mix2iN_Kin,B,KinExp,240102_Smp_G5_Mix2iN_Kin_B
NA,G5_Mix2iN_Kin,C,KinExp,240102_Smp_G5_Mix2iN_Kin_C
NA,G5_UKG1,A,KinExp,240102_Smp_G5_UKG1_A
NA,G5_UKG1,B,KinExp,240102_Smp_G5_UKG1_B
NA,G5_UKG1,C,KinExp,240102_Smp_G5_UKG1_C
NA,RC078_CXBLK,A,KinExp,240102_Smp_RC078_CXBLK_A
NA,RC078_CXBLK,B,KinExp,240102_Smp_RC078_CXBLK_B
NA,RC078_CXBLK,C,KinExp,240102_Smp_RC078_CXBLK_C
NA,RC078_S7_C3_D6,A,KinExp,240102_Smp_RC078_S7_C3_D6_A
NA,RC078_S7_C3_D6,B,KinExp,240102_Smp_RC078_S7_C3_D6_B
NA,RC078_S7_C3_D6,C,KinExp,240102_Smp_RC078_S7_C3_D6_C
NA,RC078_UKH1,A,KinExp,240102_Smp_RC078_UKH1_A
NA,RC078_UKH1,B,KinExp,240102_Smp_RC078_UKH1_B
