Name,Cruise,Samp_ID,EE.adjust.conc,SampID,Vol_L,umol.in.vial.ave,nM.in.smp,nM_C,nM_N,Local_Date,Local_Time,Lat,Long,perc.diss,Region
Betonicine,KM1906,KM1906_MU1_A,0.0350012193859678,220628_Smp_MU1_A,10,0.16843551799527934,0.00673742071981117,0.04716194503867821,0.00673742071981117,4/10/19,05:30:00,22.24,-158,0.8385807323205451,Gyre
Betonicine,KM1906,KM1906_MU1_B,0.0203545602214027,220628_Smp_MU1_B,10,0.18832055257392555,0.00753282210295702,0.05272975472069915,0.00753282210295702,4/10/19,05:30:00,22.24,-158,0.7298842173373484,Gyre
Betonicine,KM1906,KM1906_MU1_C,0.03321095294540959,220628_Smp_MU1_C,10,0.18043714021957463,0.00721748560878298,0.05052239926148091,0.00721748560878298,4/10/19,05:30:00,22.24,-158,0.8214750342359067,Gyre
Betonicine,KM1906,KM1906_MU10_A,0.04880327895758468,220628_Smp_MU10_A,10,0.08596977432724667,0.00343879097308986,0.02407153681162906,0.00343879097308986,4/14/19,18:20:00,36.57,-158,0.934175828452947,NPTZ
Betonicine,KM1906,KM1906_MU10_B,0.07615320103855877,220628_Smp_MU10_B,10,0.09915268115606844,0.00396610724624273,0.02776275072369916,0.00396610724624273,4/14/19,18:20:00,36.57,-158,0.9504974851736819,NPTZ
Betonicine,KM1906,KM1906_MU10_C,0.0844180720053959,220628_Smp_MU10_C,10,0.05172879316943633,0.00206915172677745,0.01448406208744217,0.00206915172677745,4/14/19,18:20:00,36.57,-158,0.9760756371000527,NPTZ
Betonicine,KM1906,KM1906_MU11_A,0.05220527023311314,220628_Smp_MU11_A,10,0.6480601511750789,0.02592240604700315,0.18145684232902204,0.02592240604700315,4/15/19,05:30:00,38.58,-158,0.6682045687105573,NPTZ
Betonicine,KM1906,KM1906_MU11_B,0.07299834213456247,220628_Smp_MU11_B,10,1.1433466964153869,0.04573386785661546,0.3201370749963082,0.04573386785661546,4/15/19,05:30:00,38.58,-158,0.6148149869356127,NPTZ
Betonicine,KM1906,KM1906_MU11_C,0.07126224710984408,220628_Smp_MU11_C,10,0.6390290070271718,0.02556116028108687,0.17892812196760807,0.02556116028108687,4/15/19,05:30:00,38.58,-158,0.7360022646395619,NPTZ
Betonicine,KM1906,KM1906_MU14_A,0.08187404524146809,220628_Smp_MU14_A,10,0.2078365802182524,0.00831346320873009,0.05819424246111068,0.00831346320873009,4/23/19,12:00:00,37.38,-158,0.9078202363986936,NPTZ
Betonicine,KM1906,KM1906_MU14_B,0.07218677260684409,220628_Smp_MU14_B,10,0.29110039617676503,0.0116440158470706,0.08150811092949421,0.0116440158470706,4/23/19,12:00:00,37.38,-158,0.8611009622858098,NPTZ
Betonicine,KM1906,KM1906_MU14_C,0.03688793994358586,220628_Smp_MU14_C,10,0.2663874561360492,0.01065549824544196,0.07458848771809377,0.01065549824544196,4/23/19,12:00:00,37.38,-158,0.7758786774512016,NPTZ
Betonicine,KM1906,KM1906_MU15_A,0.01331253977008603,220628_Smp_MU15_A,10,0.2633468205006699,0.01053387282002679,0.07373710974018757,0.01053387282002679,4/23/19,18:25:00,38.45,-158,0.5582617393614026,NPTZ
Betonicine,KM1906,KM1906_MU15_B,0.07354688373661175,220628_Smp_MU15_B,10,0.4125041029893471,0.01650016411957388,0.11550114883701718,0.01650016411957388,4/23/19,18:25:00,38.45,-158,0.816760632220544,NPTZ
Betonicine,KM1906,KM1906_MU15_C,0.03299624434102248,220628_Smp_MU15_C,10,0.25913370463674085,0.01036534818546963,0.07255743729828742,0.01036534818546963,4/23/19,18:25:00,38.45,-158,0.7609555465672337,NPTZ
Betonicine,KM1906,KM1906_MU16_A,0.06193432471401752,220628_Smp_MU16_A,10,0.24070634917989095,0.00962825396719563,0.06739777777036947,0.00962825396719563,4/24/19,06:00:00,40.53,-158,0.8654568610490379,NPTZ
Betonicine,KM1906,KM1906_MU16_B,0.03667241415482353,220628_Smp_MU16_B,10,0.3881698805917485,0.01552679522366993,0.10868756656568956,0.01552679522366993,4/24/19,06:00:00,40.53,-158,0.702547310418324,NPTZ
Betonicine,KM1906,KM1906_MU16_C,0.03398957149025701,220628_Smp_MU16_C,10,0.3165959268636488,0.01266383707454595,0.08864685952182166,0.01266383707454595,4/24/19,06:00:00,40.53,-158,0.7285549445555407,NPTZ
Betonicine,KM1906,KM1906_MU17_A,0.03842754166724817,220628_Smp_MU17_A,10,0.19119993495349555,0.00764799739813982,0.05353598178697874,0.00764799739813982,4/24/19,14:20:00,42.334,-158,0.8340117651735733,NPTZ
Betonicine,KM1906,KM1906_MU17_B,0.04379148718448564,220628_Smp_MU17_B,10,0.2466146218613419,0.00986458487445367,0.06905209412117572,0.00986458487445367,4/24/19,14:20:00,42.334,-158,0.8161515650340977,NPTZ
Betonicine,KM1906,KM1906_MU2_A,0.03216121371349998,220628_Smp_MU2_A,10,0.13973874579779344,0.00558954983191173,0.03912684882338217,0.00558954983191173,4/10/19,18:40:00,24.1,-158,0.851935449591957,Gyre
Betonicine,KM1906,KM1906_MU2_B,0.03237410342363262,220628_Smp_MU2_B,10,0.17718383081322775,0.0070873532325291,0.04961147262770376,0.0070873532325291,4/10/19,18:40:00,24.1,-158,0.8203980837736652,Gyre
Betonicine,KM1906,KM1906_MU2_C,0.04560542561113834,220628_Smp_MU2_C,10,0.18069024753231777,0.00722760990129271,0.05059326930904897,0.00722760990129271,4/10/19,18:40:00,24.1,-158,0.8631990414483731,Gyre
