time,sst,sss,lat,lon,chla,N_N,pp_13c,chla_interp,N_N_interp,pp_13c_interp
2023-01-22T17:00:00Z,NA,NA,32.706210708618165,-117.23570810953774,NA,NA,NA,NA,NA,NA
2023-01-22T18:00:00Z,NA,NA,32.68319136301676,-117.2314130147298,NA,NA,NA,NA,NA,NA
2023-01-22T19:00:00Z,NA,NA,32.562156740824385,-117.33165791829425,NA,NA,NA,NA,NA,NA
2023-01-22T20:00:00Z,14.945666551589966,33.372500038146974,32.43852653503418,-117.53533477783203,NA,NA,NA,NA,NA,NA
2023-01-22T21:00:00Z,15.182999992370606,33.39900010426839,32.32130680084229,-117.73549626668296,NA,NA,NA,NA,NA,NA
2023-01-22T22:00:00Z,15.15150008201599,33.413499959309895,32.2538984298706,-117.9460334777832,NA,NA,NA,NA,NA,NA
2023-01-22T23:00:00Z,14.940333350499468,33.383833758036296,32.21600507100423,-118.15868733723958,NA,NA,NA,NA,NA,NA
2023-01-23T00:00:00Z,14.818833351135254,33.3603328704834,32.163628323872885,-118.32389882405599,NA,NA,NA,NA,NA,NA
2023-01-23T01:00:00Z,14.88949998219808,33.378166580200194,32.11692498524984,-118.49093500773112,NA,NA,NA,NA,NA,NA
2023-01-23T02:00:00Z,15.174166663487751,33.27650006612142,32.03221317927043,-118.66172841389974,NA,NA,NA,NA,NA,NA
2023-01-23T03:00:00Z,15.28866662979126,33.295000076293945,31.924278418223064,-118.82400588989258,NA,NA,NA,NA,NA,NA
2023-01-23T04:00:00Z,15.140166632334392,33.173499743143715,31.821950022379557,-118.99295120239258,NA,NA,NA,NA,NA,NA
2023-01-23T05:00:00Z,15.018833367029824,33.14083347320557,31.717038345336913,-119.1639518737793,NA,NA,NA,NA,NA,NA
2023-01-23T06:00:00Z,15.559833335876466,33.12216644287109,31.61243340174357,-119.33724644978841,NA,NA,NA,NA,NA,NA
2023-01-23T07:00:00Z,16.35849992434184,33.14933338165283,31.506854915618895,-119.51179962158203,NA,NA,NA,NA,NA,NA
2023-01-23T08:00:00Z,16.703333695729576,33.168999735514326,31.40482498804728,-119.68758138020833,NA,NA,NA,NA,NA,NA
2023-01-23T09:00:00Z,16.64533322652181,33.18483327229818,31.30516834259033,-119.86371231079102,NA,NA,NA,NA,NA,NA
2023-01-23T10:00:00Z,16.71099983851115,33.21216640472412,31.194836584726968,-120.03547490437825,NA,NA,NA,NA,NA,NA
2023-01-23T11:00:00Z,16.779333464304607,33.25716641743978,31.084186585744224,-120.21070404052735,NA,NA,NA,NA,NA,NA
2023-01-23T12:00:00Z,16.714166736602785,33.234666379292804,30.973625087738036,-120.3903330485026,NA,NA,NA,NA,NA,NA
2023-01-23T13:00:00Z,16.727999877929687,33.184333419799806,30.860681692759197,-120.57123870849608,NA,NA,NA,NA,NA,NA
2023-01-23T14:00:00Z,16.64483331044515,33.13300050099691,30.748833401997885,-120.74870961507162,NA,NA,NA,NA,NA,NA
2023-01-23T15:00:00Z,16.644166723887125,33.15900001525879,30.638433297475178,-120.92412948608398,NA,NA,NA,NA,NA,NA
2023-01-23T16:00:00Z,16.850833034515382,33.19116681416829,30.525036811828613,-121.10265324910482,NA,NA,NA,NA,NA,NA
2023-01-23T17:00:00Z,16.992666880289715,33.2348336537679,30.411249955495197,-121.28429743448893,NA,NA,NA,NA,NA,NA
2023-01-23T18:00:00Z,17.164655192144988,33.281034864228346,30.35769140309301,-121.41816211568899,NA,NA,NA,NA,NA,NA
2023-01-23T19:00:00Z,17.192999903361002,33.2688330968221,30.340221659342447,-121.52133382161459,NA,NA,NA,NA,NA,NA
2023-01-23T20:00:00Z,17.322499752044678,33.31566740671794,30.229859924316408,-121.6989522298177,NA,NA,NA,NA,NA,NA
2023-01-23T21:00:00Z,17.296833101908366,33.29850018819173,30.10727491378784,-121.88622436523437,NA,NA,NA,NA,NA,NA
2023-01-23T22:00:00Z,17.143499851226807,33.26283353169759,29.97371498743693,-122.08211593627931,NA,NA,NA,NA,NA,NA
2023-01-23T23:00:00Z,17.277333354949953,33.27949943542481,29.836445077260336,-122.27676188151041,NA,NA,NA,NA,NA,NA
2023-01-24T00:00:00Z,17.222166538238525,33.26083196004232,29.715416653951007,-122.44450200398764,NA,NA,NA,NA,NA,NA
2023-01-24T01:00:00Z,17.22699947357178,33.26066513061524,29.699440161387123,-122.47069931030272,NA,NA,NA,NA,NA,NA
2023-01-24T02:00:00Z,17.13016659418742,33.25066649119059,29.6247766494751,-122.58653182983397,NA,0.03838970881870629,NA,NA,0.03838970881870629,NA
2023-01-24T03:00:00Z,16.990666802724203,33.186332766215,29.49200661977132,-122.78667500813802,NA,NA,NA,NA,0.03241360853325913,NA
2023-01-24T04:00:00Z,17.24383316040039,33.265833663940434,29.36394500732422,-122.98582102457682,NA,NA,NA,NA,0.0269892790536522,NA
2023-01-24T05:00:00Z,17.117499987284344,33.23616752624512,29.2385098139445,-123.18130493164062,NA,NA,NA,NA,0.022116720379885484,NA
2023-01-24T06:00:00Z,17.71399997075399,33.40083300272624,29.11278508504232,-123.37539596557617,NA,NA,NA,NA,0.017795932511959007,NA
2023-01-24T07:00:00Z,17.884499963124593,33.433999888102214,28.987426821390788,-123.57225672403972,NA,NA,NA,NA,0.014026915449872755,NA
2023-01-24T08:00:00Z,18.276833470662435,33.49833316802979,28.861838340759277,-123.7676612854004,NA,NA,NA,NA,0.010809669193626728,NA
2023-01-24T09:00:00Z,18.20200004577637,33.4663330078125,28.740728441874186,-123.96428375244142,NA,NA,NA,NA,0.008144193743220927,NA
