Exp,Treatment,Samp_ID,Vol_Filt_L,Spike_time,Filt_time_start,Filt_time_end,Local_Date,Cruise
UKH1,1000nM,TN397_UKH1_1000nM_C,2,2021-11-26T14:39:00Z,2021-11-26T15:15:00Z,2021-11-26T15:30:00Z,26/11/2021,TN397
UKT1,0nM,TN397_UKT1_0nM_A,2,2021-11-27T12:48:00Z,2021-11-27T13:19:00Z,2021-11-27T13:30:00Z,27/11/2021,TN397
UKT1,0nM,TN397_UKT1_0nM_B,2,2021-11-27T12:48:00Z,2021-11-27T13:19:00Z,2021-11-27T13:30:00Z,27/11/2021,TN397
UKT1,0nM,TN397_UKT1_0nM_C,2,2021-11-27T12:48:00Z,2021-11-27T13:19:00Z,2021-11-27T13:30:00Z,27/11/2021,TN397
UKT1,2nM,TN397_UKT1_2nM_A,2,2021-11-27T12:48:00Z,2021-11-27T13:21:00Z,2021-11-27T13:30:00Z,27/11/2021,TN397
UKT1,2nM,TN397_UKT1_2nM_B,2,2021-11-27T12:48:00Z,2021-11-27T13:21:00Z,2021-11-27T13:31:00Z,27/11/2021,TN397
UKT1,2nM,TN397_UKT1_2nM_C,2,2021-11-27T12:48:00Z,2021-11-27T13:21:00Z,2021-11-27T13:30:00Z,27/11/2021,TN397
UKT1,5nM,TN397_UKT1_5nM_A,2,2021-11-27T13:18:00Z,2021-11-27T13:50:00Z,2021-11-27T13:59:00Z,27/11/2021,TN397
UKT1,5nM,TN397_UKT1_5nM_B,2,2021-11-27T13:18:00Z,2021-11-27T13:50:00Z,2021-11-27T14:03:00Z,27/11/2021,TN397
UKT1,5nM,TN397_UKT1_5nM_C,2,2021-11-27T13:18:00Z,2021-11-27T13:50:00Z,2021-11-27T14:07:00Z,27/11/2021,TN397
UKT1,10nM,TN397_UKT1_10nM_A,2,2021-11-27T13:26:00Z,2021-11-27T13:58:00Z,2021-11-27T14:04:00Z,27/11/2021,TN397
UKT1,10nM,TN397_UKT1_10nM_B,2,2021-11-27T13:26:00Z,2021-11-27T13:58:00Z,2021-11-27T14:10:00Z,27/11/2021,TN397
UKT1,10nM,TN397_UKT1_10nM_C,2,2021-11-27T13:26:00Z,2021-11-27T13:58:00Z,2021-11-27T14:05:00Z,27/11/2021,TN397
UKT1,50nM,TN397_UKT1_50nM_A,2,2021-11-27T13:52:00Z,2021-11-27T14:25:00Z,2021-11-27T14:31:00Z,27/11/2021,TN397
UKT1,50nM,TN397_UKT1_50nM_B,2,2021-11-27T13:52:00Z,2021-11-27T14:25:00Z,2021-11-27T14:32:00Z,27/11/2021,TN397
UKT1,50nM,TN397_UKT1_50nM_C,2,2021-11-27T13:52:00Z,2021-11-27T14:25:00Z,2021-11-27T14:35:00Z,27/11/2021,TN397
UKT1,200nM,TN397_UKT1_200nM_A,2,2021-11-27T14:03:00Z,2021-11-27T14:35:00Z,2021-11-27T14:44:00Z,27/11/2021,TN397
UKT1,200nM,TN397_UKT1_200nM_B,2,2021-11-27T14:03:00Z,2021-11-27T14:35:00Z,2021-11-27T14:44:00Z,27/11/2021,TN397
UKT1,200nM,TN397_UKT1_200nM_C,2,2021-11-27T14:03:00Z,2021-11-27T14:35:00Z,2021-11-27T14:44:00Z,27/11/2021,TN397
UKT1,1000nM,TN397_UKT1_1000nM_A,2,2021-11-27T14:21:00Z,2021-11-27T14:59:00Z,2021-11-27T15:04:00Z,27/11/2021,TN397
UKT1,1000nM,TN397_UKT1_1000nM_B,1.8,2021-11-27T14:21:00Z,2021-11-27T14:59:00Z,2021-11-27T15:05:00Z,27/11/2021,TN397
UKT1,1000nM,TN397_UKT1_1000nM_C,2,2021-11-27T14:21:00Z,2021-11-27T14:59:00Z,2021-11-27T15:09:00Z,27/11/2021,TN397
UKT1,5nM_Blk,TN397_UKT1_5nM_Blk,NA,NA,NA,NA,27/11/2021,TN397
UKT1,50nM_Blk,TN397_UKT1_50nM_Blk,NA,NA,NA,NA,27/11/2021,TN397
UKT1,1000nM_Blk,TN397_UKT1_1000nM_Blk,NA,NA,NA,NA,27/11/2021,TN397
UKH2,0nM,TN397_UKH2_0nM_A,2,2021-11-28T13:11:00Z,2021-11-28T13:42:00Z,2021-11-28T13:50:00Z,28/11/2021,TN397
