MF,FinalBMIS,Orig_RSD,Batch,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Full1,170706,Poo,TruePoo,Full1,142560080,142560080
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Full2,170706,Poo,TruePoo,Full2,155453872,155453872
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Full3,170706,Poo,TruePoo,Full3,139980848,139980848
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Full4,170706,Poo,TruePoo,Full4,137458976,137458976
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Full5,170706,Poo,TruePoo,Full5,157165200,157165200
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Full6,170706,Poo,TruePoo,Full6,175601232,175601232
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Full7,170706,Poo,TruePoo,Full7,172630176,172630176
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Half1,170706,Poo,TruePoo,Half1,71332112,142664224
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Half2,170706,Poo,TruePoo,Half2,74984504,149969008
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Half3,170706,Poo,TruePoo,Half3,68256104,136512208
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Half4,170706,Poo,TruePoo,Half4,73537088,147074176
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Half5,170706,Poo,TruePoo,Half5,82146152,164292304
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Half6,170706,Poo,TruePoo,Half6,79654440,159308880
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Poo_TruePoo_Half7,170706,Poo,TruePoo,Half7,79552888,159105776
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S3E15D15_A,170706,Smp,S3E15D15,A,171291440,171291440
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S3E15D15_B,170706,Smp,S3E15D15,B,74463592,74463592
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S3E15D15_C,170706,Smp,S3E15D15,C,110242696,110242696
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S3E15E15_Ds,170706,Smp,S3E15E15,Ds,47497088,47497088
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S4E16D15_A,170706,Smp,S4E16D15,A,70887432,70887432
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S4E16D15_B,170706,Smp,S4E16D15,B,98067120,98067120
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S4E16D15_C,170706,Smp,S4E16D15,C,63455768,63455768
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S4E16D15_Ds,170706,Smp,S4E16D15,Ds,43659876,43659876
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S5E28D15_A,170706,Smp,S5E28D15,A,33839720,33839720
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S5E28D15_B,170706,Smp,S5E28D15,B,34398288,34398288
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S5E28D15_C,170706,Smp,S5E28D15,C,40962976,40962976
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S5E28D15_Ds,170706,Smp,S5E28D15,Ds,22964980,22964980
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S6E37D15_A,170706,Smp,S6E37D15,A,641761344,641761344
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S6E37D15_B,170706,Smp,S6E37D15,B,414218720,414218720
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S6E37D15_C,170706,Smp,S6E37D15,C,343862400,343862400
Betonicine,Inj_vol,0.08249613703996862,G2,0.08249613703996862,170706_Smp_S6E37D15_Ds,170706,Smp,S6E37D15,Ds,181767280,181767280
Dimethylsulfonioacetate,Inj_vol,0.049706946234065186,G2,0.049706946234065186,170706_Poo_TruePoo_Full1,170706,Poo,TruePoo,Full1,1172624640,1172624640
Dimethylsulfonioacetate,Inj_vol,0.049706946234065186,G2,0.049706946234065186,170706_Poo_TruePoo_Full2,170706,Poo,TruePoo,Full2,1101320192,1101320192
Dimethylsulfonioacetate,Inj_vol,0.049706946234065186,G2,0.049706946234065186,170706_Poo_TruePoo_Full3,170706,Poo,TruePoo,Full3,1109964288,1109964288
Dimethylsulfonioacetate,Inj_vol,0.049706946234065186,G2,0.049706946234065186,170706_Poo_TruePoo_Full4,170706,Poo,TruePoo,Full4,1033540544,1033540544
Dimethylsulfonioacetate,Inj_vol,0.049706946234065186,G2,0.049706946234065186,170706_Poo_TruePoo_Full5,170706,Poo,TruePoo,Full5,1148848896,1148848896
Dimethylsulfonioacetate,Inj_vol,0.049706946234065186,G2,0.049706946234065186,170706_Poo_TruePoo_Full6,170706,Poo,TruePoo,Full6,1137913728,1137913728
Dimethylsulfonioacetate,Inj_vol,0.049706946234065186,G2,0.049706946234065186,170706_Poo_TruePoo_Full7,170706,Poo,TruePoo,Full7,1155559040,1155559040
Dimethylsulfonioacetate,Inj_vol,0.049706946234065186,G2,0.049706946234065186,170706_Poo_TruePoo_Half1,170706,Poo,TruePoo,Half1,558042240,1116084480
Dimethylsulfonioacetate,Inj_vol,0.049706946234065186,G2,0.049706946234065186,170706_Poo_TruePoo_Half2,170706,Poo,TruePoo,Half2,559476800,1118953600
Dimethylsulfonioacetate,Inj_vol,0.049706946234065186,G2,0.049706946234065186,170706_Poo_TruePoo_Half3,170706,Poo,TruePoo,Half3,563592320,1127184640
Dimethylsulfonioacetate,Inj_vol,0.049706946234065186,G2,0.049706946234065186,170706_Poo_TruePoo_Half4,170706,Poo,TruePoo,Half4,572934080,1145868160
