Cruise,exp,Compound,Mean.Diss.Conc.nM,SD.Diss.Conc.nM
KM1906,UKG1,Betonicine,0.0642502026415092,0.00897470239702298
KM1906,UKG1,Dimethylsulfonioacetate,1.8274126812479519,0.33552767372541126
KM1906,UKG1,Dimethylsulfoniopropionate,10.88590648276983,3.136219400534512
KM1906,UKG1,Glycine betaine,6.630064484443375,0.4648804613486325
KM1906,UKG1,Gonyol,0.8360389539282952,0.2588561807329619
KM1906,UKG1,Homarine,1.379600186805056,0.19441745938623922
KM1906,UKG1,Proline betaine,0.045274014066180264,0.004576762349062539
KM1906,UKG1,Trigonelline,0.333828843901245,0.03617786123999975
KM1906,UKG1,Trimethylamine N-oxide,6.614407467458927,2.0491628809160836
KM1906,UKG1,beta-Alaninebetaine,0.5416503129673491,0.05353974569073752
KM1906,UKG2,Betonicine,0.06122717111762735,0.031319442623776825
KM1906,UKG2,Dimethylsulfonioacetate,3.2133737723214058,0.957840936457004
KM1906,UKG2,Dimethylsulfoniopropionate,10.08659192785746,1.3648998066476405
KM1906,UKG2,Glycine betaine,12.238676056659411,5.828699863749423
KM1906,UKG2,Gonyol,0.6040868439292936,0.37841432215190096
KM1906,UKG2,Homarine,2.7391454531519956,1.2275759140073255
KM1906,UKG2,Proline betaine,0.08537206144435965,0.052716191045262206
KM1906,UKG2,Trigonelline,0.5343775202256015,0.29492574008180855
KM1906,UKG2,Trimethylamine N-oxide,6.616543539018415,3.1925675511016993
KM1906,UKG2,beta-Alaninebetaine,1.0238341827131816,0.4646521146470252
RC078,UKG1,Betonicine,2.29859417525508,0.1328840914653644
RC078,UKG1,Dimethylsulfonioacetate,4.621747708938675,0.6184504414747961
RC078,UKG1,Dimethylsulfoniopropionate,2.395345242844573,3.295769917901968
RC078,UKG1,Glycine betaine,55.98668335355126,9.190571956899431
RC078,UKG1,Gonyol,4.268404224032337,1.3770140694364
RC078,UKG1,Homarine,12.229504631644119,2.370211176383174
RC078,UKG1,Proline betaine,0.34501300700003623,0.08393178364066149
RC078,UKG1,Trigonelline,1.9450016490630675,0.5165986442573173
RC078,UKG1,Trimethylamine N-oxide,18.06876343326048,7.122492163934899
RC078,UKG1,beta-Alaninebetaine,30.541256507149832,12.564655426939295
RC078,UKH1,Betonicine,0.04666457731294193,0.011676409483068645
RC078,UKH1,Dimethylsulfonioacetate,3.423011084237822,0.401325678514792
RC078,UKH1,Dimethylsulfoniopropionate,8.184829882993036,1.8201027211739054
RC078,UKH1,Glycine betaine,26.490027659526035,2.6480895684060153
RC078,UKH1,Gonyol,0.5281450629505857,0.2671413460551376
RC078,UKH1,Homarine,13.394020063413016,2.3638953145655623
RC078,UKH1,Proline betaine,0.10736886786843501,0.03510629155369293
RC078,UKH1,Trigonelline,0.6659541756649122,0.18032232665022938
RC078,UKH1,Trimethylamine N-oxide,5.126364712184725,6.68437482436312
RC078,UKH1,beta-Alaninebetaine,5.887541500326408,1.446021537114261
RC078,UKH2,Betonicine,0.1215475349800543,0.016560521021849642
RC078,UKH2,Dimethylsulfonioacetate,5.213666807799282,0.5141701824756819
RC078,UKH2,Dimethylsulfoniopropionate,5.976495173052182,1.3022116638974803
RC078,UKH2,Glycine betaine,50.233656199764354,2.7132301974556388
RC078,UKH2,Gonyol,4.892604259475945,1.3435336702051839
RC078,UKH2,Homarine,12.361363970511507,0.374719644005147
RC078,UKH2,Proline betaine,0.46657127246418295,0.06284475605277155
RC078,UKH2,Trigonelline,3.8437164014320757,0.7427857227088114
RC078,UKH2,Trimethylamine N-oxide,8.7015810131457,0.8391080320321128
RC078,UKH2,beta-Alaninebetaine,58.643898545265174,13.060360947101822
RC104,UKG1,Betonicine,0.025216455568755892,0.004944070078945005
RC104,UKG1,Dimethylsulfonioacetate,2.19410976796235,0.24025415272099573
RC104,UKG1,Dimethylsulfoniopropionate,8.76072405972061,0.5016264687105867
RC104,UKG1,Glycine betaine,10.49989606849078,1.0002203487606312
RC104,UKG1,Gonyol,0.4806010923674133,0.008584206385702823
RC104,UKG1,Homarine,2.6896022097739243,0.1688478180817174
RC104,UKG1,Proline betaine,0.027988422337058054,0.01313683360519504
RC104,UKG1,Trigonelline,0.5424192748106182,0.04628326380667135
RC104,UKG1,Trimethylamine N-oxide,1.184158700816493,0.15018890068214685
RC104,UKG1,beta-Alaninebetaine,1.0455545905969508,0.05985396953991387
RC104,UKH1,Betonicine,0.023784081321535543,0.0015202744320030068
RC104,UKH1,Dimethylsulfonioacetate,1.200748855242,0.13509980866777158
RC104,UKH1,Dimethylsulfoniopropionate,5.610842895044511,0.9134848096382812
RC104,UKH1,Glycine betaine,8.478897428036731,1.9437498159542512
RC104,UKH1,Gonyol,0.5313349186295004,0.1322220683000449
