Cruise,exp,Compound,Mean.Diss.Conc.nM,SD.Diss.Conc.nM
TN397,UKH3,beta-Alaninebetaine,2.65446363553911,0.3918686438895781
TN397,UKH4,Betonicine,0.04832236691717166,0.010850971743225387
TN397,UKH4,Dimethylsulfonioacetate,0.5925678750502603,0.1511074780605319
TN397,UKH4,Dimethylsulfoniopropionate,9.503498987030422,1.720017415427334
TN397,UKH4,Glycine betaine,7.118781866720865,1.2156517958393815
TN397,UKH4,Gonyol,2.2995392897207396,0.22349465901018828
TN397,UKH4,Homarine,0.8872457607286982,0.08374415392284056
TN397,UKH4,Proline betaine,0.024163054279804228,0.007858325056835973
TN397,UKH4,Trigonelline,0.1561978351795828,0.030309709418425774
TN397,UKH4,Trimethylamine N-oxide,6.723777756520262,2.2794885393219135
TN397,UKH4,beta-Alaninebetaine,1.8656549255485593,0.4640540594955105
TN397,UKH5,Betonicine,0.04699750401944587,0.010614832897506445
TN397,UKH5,Dimethylsulfonioacetate,0.17270816646225684,0.0984450808795402
TN397,UKH5,Dimethylsulfoniopropionate,3.804075732776053,1.5073668328526746
TN397,UKH5,Glycine betaine,2.9793338473649684,1.0527845144202719
TN397,UKH5,Gonyol,2.067896978497192,0.959786981568476
TN397,UKH5,Homarine,0.2996794442321827,0.03635968978384228
TN397,UKH5,Proline betaine,0.019123009454474867,0.0029809567858728367
TN397,UKH5,Trigonelline,0.05416580549753988,0.011661377979715773
TN397,UKH5,Trimethylamine N-oxide,5.759391103468697,2.40427503108138
TN397,UKH5,beta-Alaninebetaine,2.1353768811104934,0.9833510414685788
TN412,UKG,Betonicine,0.01834841770157222,0.005034949417398657
TN412,UKG,Dimethylsulfonioacetate,0.36300609033940834,0.08291678209468231
TN412,UKG,Dimethylsulfoniopropionate,2.4583692003600426,0.4462042625706558
TN412,UKG,Glycine betaine,0.47182269919617914,0.1499356858849096
TN412,UKG,Gonyol,0.19397556885253212,0.042333142962254294
TN412,UKG,Homarine,0.031119583182680356,0.00743671230417357
TN412,UKG,Proline betaine,0.010195956654528684,0.005655418246305924
TN412,UKG,Trigonelline,0.08275805620775756,0.02337109453304212
TN412,UKG,Trimethylamine N-oxide,0.8147253189457253,0.280050271497192
TN412,UKG,beta-Alaninebetaine,0.07301688055470272,0.0053140878481511625
