Rep,Compound,Area,Cruise
220623_Std_4uMStdsMix1InMatrix_1,Betonicine,1096528,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Betonicine,145199,KM1906
220623_Std_4uMStdsMix2InH2O_1,Betonicine,1362755328,KM1906
220623_Std_4uMStdsMix2InH2O_2,Betonicine,1988964096,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Betonicine,1429038336,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Betonicine,1955021568,KM1906
220623_Std_H2OinMatrix_1,Betonicine,1196565,KM1906
220623_Std_H2OinMatrix_2,Betonicine,1075801,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Betonicine,2108213,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Betonicine,2185447,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Betonicine,1955398,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Betonicine,912356,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Betonicine,1094002,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Betonicine,1263436,KM1906
220623_Smp_CXSPE_Blk1_A,Betonicine,50522,KM1906
220623_Smp_CXSPE_Blk1_B,Betonicine,77990,KM1906
220623_Smp_CXSPE_Blk1_C,Betonicine,169295,KM1906
220623_Smp_CXSPE_Blk2_A,Betonicine,64288,KM1906
220623_Smp_CXSPE_Blk2_B,Betonicine,70184,KM1906
220623_Smp_CXSPE_Blk2_C,Betonicine,45674,KM1906
220623_Smp_CXSPE_Blk3_A,Betonicine,73751,KM1906
220623_Smp_CXSPE_Blk3_B,Betonicine,81128,KM1906
220623_Smp_CXSPE_Blk3_C,Betonicine,19424,KM1906
220623_Smp_CXSPE_Blk4_A,Betonicine,47442,KM1906
220623_Smp_CXSPE_Blk4_B,Betonicine,33684,KM1906
220623_Smp_CXSPE_Blk4_C,Betonicine,89370,KM1906
220623_Smp_MQBlk_1,Betonicine,261801,KM1906
220623_Smp_MQBlk_2,Betonicine,119229,KM1906
220623_Smp_MQBlk_3,Betonicine,37225,KM1906
220623_Smp_MQBlk_4,Betonicine,95268,KM1906
220623_Smp_MQBlk_5,Betonicine,365909,KM1906
220623_Smp_MQBlk_6,Betonicine,201704,KM1906
220623_Smp_MU1_A,Betonicine,1327776,KM1906
220623_Smp_MU1_B,Betonicine,772153,KM1906
220623_Smp_MU1_C,Betonicine,1259862,KM1906
220623_Smp_MU10_A,Betonicine,1851359,KM1906
220623_Smp_MU10_B,Betonicine,2888882,KM1906
220623_Smp_MU10_C,Betonicine,3202411,KM1906
220623_Smp_MU11_A,Betonicine,1980414,KM1906
220623_Smp_MU11_B,Betonicine,2769202,KM1906
220623_Smp_MU11_C,Betonicine,2703343,KM1906
220623_Smp_MU12_A,Betonicine,17582312,KM1906
220623_Smp_MU12_B,Betonicine,4551121,KM1906
220623_Smp_MU12_C,Betonicine,14265465,KM1906
220623_Smp_MU13_A,Betonicine,1138083,KM1906
220623_Smp_MU13_B,Betonicine,983907,KM1906
220623_Smp_MU13_C,Betonicine,801844,KM1906
220623_Smp_MU14_A,Betonicine,3105903,KM1906
220623_Smp_MU14_B,Betonicine,2738415,KM1906
220623_Smp_MU14_C,Betonicine,1399349,KM1906
220623_Smp_MU15_A,Betonicine,505013,KM1906
220623_Smp_MU15_B,Betonicine,2790011,KM1906
220623_Smp_MU15_C,Betonicine,1251717,KM1906
220623_Smp_MU16_A,Betonicine,2349487,KM1906
220623_Smp_MU16_B,Betonicine,1391173,KM1906
220623_Smp_MU16_C,Betonicine,1289399,KM1906
220623_Smp_MU17_A,Betonicine,1457754,KM1906
220623_Smp_MU17_B,Betonicine,1661236,KM1906
220623_Smp_MU2_A,Betonicine,1220040,KM1906
220623_Smp_MU2_B,Betonicine,1228116,KM1906
220623_Smp_MU2_C,Betonicine,1730048,KM1906
220623_Smp_MU3_A,Betonicine,1082911,KM1906
220623_Smp_MU3_B,Betonicine,1289157,KM1906
220623_Smp_MU3_C,Betonicine,2117953,KM1906
220623_Smp_MU4_A,Betonicine,1223106,KM1906
220623_Smp_MU4_B,Betonicine,1409376,KM1906
220623_Smp_MU4_C,Betonicine,1389814,KM1906
220623_Smp_MU5_A,Betonicine,1050522,KM1906
220623_Smp_MU5_B,Betonicine,1199075,KM1906
220623_Smp_MU5_C,Betonicine,1502540,KM1906
220623_Smp_MU6_A,Betonicine,1045117,KM1906
220623_Smp_MU6_B,Betonicine,1673637,KM1906
220623_Smp_MU6_C,Betonicine,1416361,KM1906
220623_Smp_MU7_A,Betonicine,1326077,KM1906
220623_Smp_MU7_B,Betonicine,1864491,KM1906
220623_Smp_MU7_C,Betonicine,2220111,KM1906
220623_Smp_MU8_A,Betonicine,3594199,KM1906
220623_Smp_MU8_B,Betonicine,1644412,KM1906
220623_Smp_MU8_C,Betonicine,1495459,KM1906
220623_Smp_MU9_A,Betonicine,1140872,KM1906
220623_Smp_MU9_B,Betonicine,1086742,KM1906
220623_Smp_MU9_C,Betonicine,1219686,KM1906
220623_Std_4uMStdsMix1InH2O_1,Dimethylsulfonioacetate,NA,KM1906
220623_Std_4uMStdsMix1InH2O_2,Dimethylsulfonioacetate,14999,KM1906
220623_Std_4uMStdsMix1InMatrix_1,Dimethylsulfonioacetate,11661007,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Dimethylsulfonioacetate,13633034,KM1906
220623_Std_4uMStdsMix2InH2O_1,Dimethylsulfonioacetate,614412992,KM1906
220623_Std_4uMStdsMix2InH2O_2,Dimethylsulfonioacetate,856265408,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Dimethylsulfonioacetate,646820096,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Dimethylsulfonioacetate,861243456,KM1906
220623_Std_H2OinMatrix_1,Dimethylsulfonioacetate,11868570,KM1906
220623_Std_H2OinMatrix_2,Dimethylsulfonioacetate,13407595,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Dimethylsulfonioacetate,20589488,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Dimethylsulfonioacetate,21366516,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Dimethylsulfonioacetate,26790420,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Dimethylsulfonioacetate,9842702,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Dimethylsulfonioacetate,10779750,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Dimethylsulfonioacetate,13391003,KM1906
220623_Smp_CXSPE_Blk1_A,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk1_B,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk1_C,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk2_A,Dimethylsulfonioacetate,12660,KM1906
220623_Smp_CXSPE_Blk2_B,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk2_C,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk3_A,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk3_B,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk3_C,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk4_A,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk4_B,Dimethylsulfonioacetate,0,KM1906
220623_Smp_CXSPE_Blk4_C,Dimethylsulfonioacetate,0,KM1906
220623_Smp_MQBlk_1,Dimethylsulfonioacetate,366901,KM1906
220623_Smp_MQBlk_2,Dimethylsulfonioacetate,767926,KM1906
220623_Smp_MQBlk_3,Dimethylsulfonioacetate,144894,KM1906
220623_Smp_MQBlk_4,Dimethylsulfonioacetate,73309,KM1906
220623_Smp_MQBlk_5,Dimethylsulfonioacetate,63471,KM1906
220623_Smp_MQBlk_6,Dimethylsulfonioacetate,108342,KM1906
220623_Smp_MU1_A,Dimethylsulfonioacetate,5149799,KM1906
220623_Smp_MU1_B,Dimethylsulfonioacetate,3870351,KM1906
220623_Smp_MU1_C,Dimethylsulfonioacetate,4252157,KM1906
220623_Smp_MU10_A,Dimethylsulfonioacetate,38162240,KM1906
220623_Smp_MU10_B,Dimethylsulfonioacetate,54648584,KM1906
220623_Smp_MU10_C,Dimethylsulfonioacetate,70545208,KM1906
220623_Smp_MU11_A,Dimethylsulfonioacetate,43209380,KM1906
220623_Smp_MU11_B,Dimethylsulfonioacetate,68313688,KM1906
220623_Smp_MU11_C,Dimethylsulfonioacetate,55303228,KM1906
220623_Smp_MU12_A,Dimethylsulfonioacetate,152873184,KM1906
220623_Smp_MU12_B,Dimethylsulfonioacetate,54798988,KM1906
220623_Smp_MU12_C,Dimethylsulfonioacetate,137647680,KM1906
220623_Smp_MU13_A,Dimethylsulfonioacetate,13606572,KM1906
220623_Smp_MU13_B,Dimethylsulfonioacetate,13740322,KM1906
220623_Smp_MU13_C,Dimethylsulfonioacetate,10763138,KM1906
220623_Smp_MU14_A,Dimethylsulfonioacetate,41426452,KM1906
220623_Smp_MU14_B,Dimethylsulfonioacetate,32689038,KM1906
220623_Smp_MU14_C,Dimethylsulfonioacetate,25308170,KM1906
220623_Smp_MU15_A,Dimethylsulfonioacetate,15030404,KM1906
220623_Smp_MU15_B,Dimethylsulfonioacetate,31978716,KM1906
220623_Smp_MU15_C,Dimethylsulfonioacetate,21936020,KM1906
