cruise_exp,Cruise,exp,Compound,Mean.Diss.Conc.nM,SD.Diss.Conc.nM,v_insitu,v_insitu_sd,mm_tt,mm_tt_sd,mm_flux_nM_day,mm_flux_sd_nM_day,wh_mean_tt,wh_sd_tt,wh_flux_nM_day,wh_flux_sd_nM_day,mean_ks,median_ks,sd_ks,max_ks,min_ks,mean_vmax,sd_vamx,max_vmax,min_vmax,mean_s,sd_s
KM1906_UKG1,KM1906,UKG1,GBT,6.630064484443375,0.4648804613486325,0.02197521466839793,0.00470216761210194,301.7064717905998,67.93563500970643,0.5274051520415504,0.12438099713305448,42.46780693387277,5.504746422564802,3.7468746119716383,0.5521800771389128,105.12015369114046,103.44272272841556,20.046153429994774,193.2398019369841,51.75785824491789,0.3703938384627838,0.02485716600837647,0.44396418222547707,0.2939951822240565,6.624755727200513,0.459627380440307
KM1906_UKG2,KM1906,UKG2,GBT,8.98184791416481,2.075067927773951,0.12222983810688703,0.04029358403836228,73.48326769696283,29.58067504150517,2.9335161145652897,1.3615458453285632,8.22981577743429,1.1563210238686268,26.19309541910054,7.082594036707728,37.76394620370894,36.89593343035769,8.614266149361164,83.37014541577774,17.204627303010238,0.6361420168554347,0.03634443567243121,0.7679427133386335,0.5231959022429897,8.987535096928282,2.089604606499953
RC078_UKG1,RC078,UKG1,GBT,55.98668335355126,9.190571956899433,0.6491338509650253,0.1451754223575986,86.24828803846769,23.92738396173295,15.579212423160609,5.022010467092517,4.968138425903409,0.4112593689268223,270.45953338969105,49.723192830433675,298.9921901561654,297.80840793344464,42.83123900595738,497.9395775465041,170.72402985898557,4.115778777561268,0.20777708794144048,4.814642393087487,3.447188669795413,55.84213229253088,9.231057893437525
RC078_UKH1,RC078,UKH1,Homarine,13.394020063413016,2.3638953145655623,0.01465722080001791,0.0046778851643243,913.8171721747306,333.2696153228531,0.35177329920043005,0.14252454581495969,121.3880530177118,12.62066336391081,2.6481723162246324,0.5424423258330553,147.8244189593317,141.64626581265097,36.83707037604104,407.5204538839606,76.49702353567946,0.17642307885183647,0.01637204372675273,0.24831291307414863,0.13483842578270758,13.269908786067012,2.410487904828699
RC078_UKH2,RC078,UKH2,Homarine,12.361363970511508,0.374719644005147,0.01093365625718721,0.00365841813673523,1130.579165810686,379.84281854933505,0.2624077501724931,0.08851975924600111,182.2644606845099,21.103084376384466,1.6277047877468602,0.19481236470356175,547.8119604358726,516.2108401715252,162.3109353048549,1566.1904091688716,252.93912737373736,0.49547465701325727,0.07555263742821879,0.8638026801177215,0.3304318846730538,12.352373374029268,0.37385333260184667
RC104_UKG1,RC104,UKG1,GBT,10.49989606849078,1.0002203487606312,0.0451561433897256,0.01326364777016002,232.5241989305895,71.80101912406666,1.0837474413534145,0.3502121020690398,16.363572258698802,2.3452050308674477,15.399907896628012,2.6501584497487376,98.51674441908476,94.54911460268973,26.501429946675643,261.21183412929435,50.18882216383132,0.4688399787590192,0.03261271393032299,0.6033661138505886,0.3778063930382629,10.521402542226864,1.0136317609959922
RC104_UKH1,RC104,UKH1,Homarine,4.10233899264348,1.3976235970254405,0.00617090314802766,0.00219775762419178,664.7874539976635,327.64717221077893,0.14810167555266401,0.08873506902642408,55.80133540971572,2.804260479897566,1.7644046526940476,0.6076185393283967,194.62444306773872,192.52695480809615,19.25523178924008,264.02626225470044,141.39828447336234,0.2989328105778011,0.00937823321509373,0.3339843285026167,0.2723513579657567,4.13099734886348,1.402451850061586
TN397_UKH1,TN397,UKH1,Homarine,0.05927419049017598,0.02504021359053715,1.1574787551103592e-4,5.258893062153621e-5,512.0974378879595,317.70137158114005,0.00277794901226486,0.00208503231378542,144.85429633507036,7.876257484253953,0.00982076892268058,0.00418298010525814,37.87246301205554,37.56520839046263,5.8860143680188894,60.5818655947883,21.508491306281066,0.07407132782969461,0.00457158197365915,0.08830606487530354,0.05965978947875101,0.05722580417447999,0.02561259153564525
TN397_UKH2,TN397,UKH2,Homarine,0.185989057834502,0.07213310051456506,2.6770420404775e-4,1.3281157083855835e-4,694.755835068348,437.5000394340371,0.006424900897146,0.00475164968357125,308.46498437902454,25.2455885690238,0.0144708074305875,0.00573588833122103,35.59165636249873,33.28740815259757,10.508298902169338,112.55275841827763,16.822416579087783,0.05149671814820172,0.00475943066477186,0.07121369614895649,0.03840481127401463,0.18904456815212373,0.07294924081821261
TN397_UKH3,TN397,UKH3,Homarine,0.3867120226799825,0.11371992632312485,2.7759936435130234e-4,1.5177577892928768e-4,1393.0580265688145,864.8247482110605,0.00666238474443125,0.00457663569702291,338.8849212919999,38.400133421185224,0.02738713929476531,0.00863091770774003,231.9493384296726,211.01327134125177,100.94764274512536,991.6586197647844,70.31596703856297,0.1667813156531679,0.02531625231434549,0.31396684362132743,0.11022670811334792,0.3818343131983881,0.11573422220500112
TN397_UKH4,TN397,UKH4,Homarine,0.8872457607286982,0.08374415392284056,7.435366932217217e-4,1.295010245335643e-4,1193.2777074985895,236.38849962084043,0.01784488063732132,0.00391582358217338,132.3252872587416,4.487385503241402,0.16092085419661198,0.01613936531919781,312.39967053032774,310.22714898167413,42.15492057879663,462.9587813868915,205.3316952291865,0.26254317358176804,0.01489210175999125,0.3148960649854478,0.21690932029430535,0.8868699201825945,0.0847711174102596
