Rep,Compound,Area,Cruise
220628_Std_4uMStdsMix1InH2O_1,"Arsenobetaine, 13C2",NA,KM1906
220628_Std_4uMStdsMix1InH2O_2,"Arsenobetaine, 13C2",NA,KM1906
220628_Std_4uMStdsMix1InMatrix_1,"Arsenobetaine, 13C2",738467712,KM1906
220628_Std_4uMStdsMix1InMatrix_2,"Arsenobetaine, 13C2",637092352,KM1906
220628_Std_4uMStdsMix2InH2O_1,"Arsenobetaine, 13C2",586948,KM1906
220628_Std_4uMStdsMix2InH2O_2,"Arsenobetaine, 13C2",34793,KM1906
220628_Std_4uMStdsMix2InMatrix_1,"Arsenobetaine, 13C2",664421184,KM1906
220628_Std_4uMStdsMix2InMatrix_2,"Arsenobetaine, 13C2",595322304,KM1906
220628_Std_H2OinMatrix_1,"Arsenobetaine, 13C2",777677440,KM1906
220628_Std_H2OinMatrix_2,"Arsenobetaine, 13C2",618025856,KM1906
220628_Poo_TruePooG3_Full1,"Arsenobetaine, 13C2",1040343808,KM1906
220628_Poo_TruePooG3_Full2,"Arsenobetaine, 13C2",1036235520,KM1906
220628_Poo_TruePooG3_Full3,"Arsenobetaine, 13C2",1010036928,KM1906
220628_Poo_TruePooG3_Half1,"Arsenobetaine, 13C2",576841600,KM1906
220628_Poo_TruePooG3_Half2,"Arsenobetaine, 13C2",515391712,KM1906
220628_Poo_TruePooG3_Half3,"Arsenobetaine, 13C2",523644992,KM1906
220628_Smp_MBlk1_A,"Arsenobetaine, 13C2",879943808,KM1906
220628_Smp_MBlk1_B,"Arsenobetaine, 13C2",878421184,KM1906
220628_Smp_MMQBlk1_A,"Arsenobetaine, 13C2",1088482176,KM1906
220628_Smp_MMQBlk1_B,"Arsenobetaine, 13C2",1029858880,KM1906
220628_Smp_MU1_A,"Arsenobetaine, 13C2",1149347456,KM1906
220628_Smp_MU1_B,"Arsenobetaine, 13C2",1002364416,KM1906
220628_Smp_MU1_C,"Arsenobetaine, 13C2",1071443904,KM1906
220628_Smp_MU10_A,"Arsenobetaine, 13C2",1144437888,KM1906
220628_Smp_MU10_B,"Arsenobetaine, 13C2",1018015168,KM1906
220628_Smp_MU10_C,"Arsenobetaine, 13C2",929528960,KM1906
220628_Smp_MU11_A,"Arsenobetaine, 13C2",936296256,KM1906
220628_Smp_MU11_B,"Arsenobetaine, 13C2",953299072,KM1906
220628_Smp_MU11_C,"Arsenobetaine, 13C2",938956544,KM1906
220628_Smp_MU14_A,"Arsenobetaine, 13C2",958833152,KM1906
220628_Smp_MU14_B,"Arsenobetaine, 13C2",1021385984,KM1906
220628_Smp_MU14_C,"Arsenobetaine, 13C2",897794304,KM1906
220628_Smp_MU15_A,"Arsenobetaine, 13C2",897049152,KM1906
220628_Smp_MU15_B,"Arsenobetaine, 13C2",1037169408,KM1906
220628_Smp_MU15_C,"Arsenobetaine, 13C2",973805376,KM1906
220628_Smp_MU16_A,"Arsenobetaine, 13C2",1032081344,KM1906
220628_Smp_MU16_B,"Arsenobetaine, 13C2",1166298624,KM1906
220628_Smp_MU16_C,"Arsenobetaine, 13C2",1071001280,KM1906
220628_Smp_MU17_A,"Arsenobetaine, 13C2",917735936,KM1906
220628_Smp_MU17_B,"Arsenobetaine, 13C2",761564992,KM1906
220628_Smp_MU17_C,"Arsenobetaine, 13C2",911967488,KM1906
220628_Smp_MU18_A,"Arsenobetaine, 13C2",926837056,KM1906
220628_Smp_MU18_B,"Arsenobetaine, 13C2",1034328576,KM1906
220628_Smp_MU18_C,"Arsenobetaine, 13C2",868061632,KM1906
220628_Smp_MU19_A,"Arsenobetaine, 13C2",995650688,KM1906
220628_Smp_MU19_B,"Arsenobetaine, 13C2",965435072,KM1906
220628_Smp_MU19_C,"Arsenobetaine, 13C2",924659904,KM1906
220628_Smp_MU2_A,"Arsenobetaine, 13C2",1130059776,KM1906
220628_Smp_MU2_B,"Arsenobetaine, 13C2",856767424,KM1906
220628_Smp_MU2_C,"Arsenobetaine, 13C2",880987200,KM1906
220628_Smp_MU20_A,"Arsenobetaine, 13C2",892285888,KM1906
220628_Smp_MU20_B,"Arsenobetaine, 13C2",1017705792,KM1906
220628_Smp_MU20_C,"Arsenobetaine, 13C2",1042074816,KM1906
220628_Smp_MU21_A,"Arsenobetaine, 13C2",935933184,KM1906
220628_Smp_MU21_B,"Arsenobetaine, 13C2",1117502720,KM1906
220628_Smp_MU21_C,"Arsenobetaine, 13C2",894046144,KM1906
220628_Smp_MU22_A,"Arsenobetaine, 13C2",1066579264,KM1906
220628_Smp_MU22_B,"Arsenobetaine, 13C2",830471616,KM1906
220628_Smp_MU22_C,"Arsenobetaine, 13C2",1082311552,KM1906
220628_Smp_MU23_A,"Arsenobetaine, 13C2",1072616256,KM1906
220628_Smp_MU23_B,"Arsenobetaine, 13C2",829823808,KM1906
220628_Smp_MU23_C,"Arsenobetaine, 13C2",989549696,KM1906
220628_Smp_MU24_A,"Arsenobetaine, 13C2",1000990336,KM1906
220628_Smp_MU24_B,"Arsenobetaine, 13C2",983042240,KM1906
220628_Smp_MU24_C,"Arsenobetaine, 13C2",968688960,KM1906
220628_Smp_MU3_A,"Arsenobetaine, 13C2",942686272,KM1906
220628_Smp_MU3_B,"Arsenobetaine, 13C2",957997056,KM1906
220628_Smp_MU3_C,"Arsenobetaine, 13C2",950324672,KM1906
220628_Smp_MU4_A,"Arsenobetaine, 13C2",1027915008,KM1906
220628_Smp_MU4_B,"Arsenobetaine, 13C2",1046183872,KM1906
220628_Smp_MU4_C,"Arsenobetaine, 13C2",991113088,KM1906
220628_Smp_MU5_A,"Arsenobetaine, 13C2",861855424,KM1906
220628_Smp_MU5_B,"Arsenobetaine, 13C2",1056001920,KM1906
220628_Smp_MU5_C,"Arsenobetaine, 13C2",924842880,KM1906
220628_Smp_MU6_A,"Arsenobetaine, 13C2",1074503168,KM1906
220628_Smp_MU6_B,"Arsenobetaine, 13C2",836078720,KM1906
220628_Smp_MU6_C,"Arsenobetaine, 13C2",1261131648,KM1906
220628_Smp_MU7_A,"Arsenobetaine, 13C2",1005900608,KM1906
220628_Smp_MU7_B,"Arsenobetaine, 13C2",1122131584,KM1906
220628_Smp_MU7_C,"Arsenobetaine, 13C2",961349184,KM1906
220628_Smp_MU8_A,"Arsenobetaine, 13C2",925685248,KM1906
220628_Smp_MU8_B,"Arsenobetaine, 13C2",1115119616,KM1906
220628_Smp_MU8_C,"Arsenobetaine, 13C2",1164126592,KM1906
220628_Smp_MU9_A,"Arsenobetaine, 13C2",962392640,KM1906
220628_Smp_MU9_B,"Arsenobetaine, 13C2",842764736,KM1906
220628_Smp_MU9_C,"Arsenobetaine, 13C2",1095828480,KM1906
220628_Std_4uMStdsMix1InH2O_1,"Cytosine, 13C2, 15N3",NA,KM1906
220628_Std_4uMStdsMix1InH2O_2,"Cytosine, 13C2, 15N3",NA,KM1906
220628_Std_4uMStdsMix1InMatrix_1,"Cytosine, 13C2, 15N3",222748576,KM1906
220628_Std_4uMStdsMix1InMatrix_2,"Cytosine, 13C2, 15N3",168031632,KM1906
220628_Std_4uMStdsMix2InH2O_1,"Cytosine, 13C2, 15N3",8451,KM1906
220628_Std_4uMStdsMix2InH2O_2,"Cytosine, 13C2, 15N3",NA,KM1906
