time,lat,lon,depth,station,cast,cell_abundance_bacteria,cell_abundance_picoeuk,cell_abundance_prochloro,cell_abundance_synecho,diameter_bacteria,diameter_picoeuk,diameter_prochloro,diameter_synecho,carbon_quota_bacteria,carbon_quota_picoeuk,carbon_quota_prochloro,carbon_quota_synecho,carbon_biomass_bacteria,carbon_biomass_picoeuk,carbon_biomass_prochloro,carbon_biomass_synecho
2021-11-28T23:35:00.000Z,10.7007,-139.9942,150,7,5,133.635046220481,0.0308329879899504,0.0287470101215477,0.0320538780467078,0.391163333333333,2.01977666666667,0.63305,0.862703333333333,0.0132818585179418,1.04082475307433,0.0464166893242151,0.104731758373774,1.77486502251924,0.0535794733047937,0.00146630411029149,0.00389413184328427
2021-11-28T23:35:00.000Z,10.7007,-139.9942,200,7,5,128.530951894635,0.0132885844087332,0.00996223640620521,0.00996223640620521,0.392453333333333,2.86542,0.566956666666667,0.905686666666667,0.0133968383398264,2.59422607631601,0.0361706905109685,0.115903445055071,1.72164868498718,0.028826367120883,0.000360202520241714,0.00115461829763003
2021-11-30T16:37:00.000Z,8.3979,-139.996,5,8,2,547.402432080844,3.67131833902141,203.485572795013,5.21429342974428,0.366243333333333,1.68942,0.512013333333333,0.794006666666667,0.0112073586353211,0.579022505842767,0.0266034259678543,0.0825145932839595,6.13514335390986,2.1279773493467,5.41336500059726,0.430357441276837
2021-11-30T16:37:00.000Z,8.3979,-139.996,15,8,2,514.929318216541,3.32292496892818,202.138345741805,5.54411489259499,0.365203333333333,1.60909,0.50927,0.801333333333333,0.0111260179591299,0.510482293716126,0.0262364262603332,0.0845142862788691,5.73135330419773,1.69562834751622,5.30284987017397,0.468410057537796
2021-11-30T16:37:00.000Z,8.3979,-139.996,25,8,2,510.885659925817,3.28928685996169,202.276532811071,5.20569144427163,0.36291,1.60288,0.5102,0.799463333333333,0.0109502617237593,0.505729311358003,0.0263603098764627,0.0839871562918765,5.59406047519492,1.66378243323213,5.33156768393493,0.437156510835501
2021-11-30T16:37:00.000Z,8.3979,-139.996,45,8,2,547.844223178988,4.43335730836021,206.705034467121,6.53535720574828,0.360693333333333,1.63511333333333,0.516483333333333,0.810936666666667,0.0107816314213483,0.532152075222958,0.0272064052918243,0.0871500271928093,5.91382785915098,2.36611084170463,5.62412462616933,0.569236013087168
2021-11-30T16:37:00.000Z,8.3979,-139.996,60,8,2,604.728891222198,6.11494096704929,182.529573146135,4.40027210683319,0.358686666666667,1.5573,0.546313333333333,0.878816666666667,0.0106211505044551,0.469211511406633,0.0314472525510213,0.107228621443065,6.42607506840815,2.87144675894069,5.74023449210842,0.472098395018085
2021-11-30T16:37:00.000Z,8.3979,-139.996,75,8,2,578.756966982906,6.67623129613424,119.250731064648,2.74382697963502,0.358946666666667,1.64031333333333,0.579143333333333,0.918773333333333,0.0106408159900149,0.537007295424798,0.0365577806144186,0.120248515451694,6.15976521854349,3.59657651871427,4.35958464780382,0.32985531770718
2021-11-30T16:37:00.000Z,8.3979,-139.996,80,8,2,551.055317794866,5.94016084536187,105.1798023005,3.03083311321338,0.357303333333333,1.59783666666667,0.58484,0.90854,0.0105154835308048,0.501322499170075,0.037492316930836,0.116851251306211,5.79657830395446,2.97938812450027,3.94332882329881,0.353528078214867
2021-11-30T16:37:00.000Z,8.3979,-139.996,85,8,2,487.920694015238,5.22477137148423,94.3341944977077,0.707189439342174,0.357863333333333,1.52274666666667,0.598166666666667,0.9519,0.0105614950292344,0.442912733102375,0.0397375549922777,0.131749630201225,5.15921145354196,2.31605995697058,3.74833507056431,0.0931674253618807
2021-11-30T16:37:00.000Z,8.3979,-139.996,100,8,2,347.025808983539,2.7350316113407,40.5139532708537,0.0257252497304168,0.355363333333333,1.59470333333333,0.672276666666667,0.987233333333333,0.010368501441029,0.499037446868451,0.0537101241112644,0.146885289477041,3.59818610874088,1.36505059346872,2.1760617723254,0.00409203476375455
2021-11-30T16:37:00.000Z,8.3979,-139.996,125,8,2,172.889307081598,0.674500688065135,19.2861142875337,0.0100170385983545,0.36558,1.7418,0.77257,1.03319,0.0111553815025769,0.627778045848401,0.07689117908409,0.163729604380248,1.9284468092795,0.421785142121974,1.48287709899632,0.00164004648927257
2021-11-30T16:37:00.000Z,8.3979,-139.996,150,8,2,127.181353292552,0.28776997386778,9.9335308615622,0.0231729803309213,0.378906666666667,1.79349666666667,0.853296666666667,0.87042,0.0122350736980532,0.678017709713015,0.0993640036584044,0.104924302676964,1.55604878092338,0.19178425031008,0.986559430355234,0.00242579604377095
2021-11-30T16:37:00.000Z,8.3979,-139.996,200,8,2,117.554747960564,0.0228507609146223,0.0125139280187343,0.0629251266189092,0.389943333333333,2.59289666666667,0.658923333333333,0.985086666666667,0.0131765973301553,1.84055795799298,0.0532395055646866,0.150715833312711,1.54899164087199,0.0488976310996298,0.00067812098384897,0.00701480766698483
2021-12-01T23:35:00.000Z,4.7687,-139.988,5,9,5,555.750208983627,7.64148797792407,129.33304230315,7.37308555704403,0.38609,1.68842,0.591246666666667,0.81763,0.0128453069889351,0.579608970376528,0.0385612551110023,0.0890037594617666,7.14108109045501,4.47702869823325,4.98834796210439,0.655977344519832
2021-12-01T23:35:00.000Z,4.7687,-139.988,15,9,5,546.478241336869,7.7701168877736,122.694783817781,7.91825800159173,0.384746666666667,1.69125333333333,0.60431,0.82727,0.0127467338659581,0.580464383072438,0.0407998053129319,0.0917557551357956,6.98669304271015,4.51058515048224,5.00489028384266,0.726349657740826
2021-12-01T23:35:00.000Z,4.7687,-139.988,25,9,5,557.687043489936,7.44504734281519,127.486954250286,7.91575491023637,0.381713333333333,1.72425333333333,0.616286666666667,0.8206,0.0124762905646427,0.611148632680784,0.042917217680333,0.08983751894233,6.96478061984059,4.54629038928639,5.4701806717486,0.71111317204233
2021-12-01T23:35:00.000Z,4.7687,-139.988,45,9,5,588.761227827876,6.92529741115134,122.901450593456,7.59783532570077,0.384043333333333,1.65843333333333,0.607033333333333,0.805566666666667,0.0126702332605379,0.551990536577476,0.0412732213853766,0.0856576142483289,7.46040774251035,3.81684528552361,5.0728664262678,0.651058506317775
2021-12-01T23:35:00.000Z,4.7687,-139.988,65,9,5,643.971058980213,6.850594895231,120.875732028861,7.05743438486481,0.379293333333333,1.61414,0.57695,0.811513333333333,0.012268327078365,0.514677602503071,0.0362018916948351,0.0872992993403969,7.90396110705798,3.52852625925323,4.37645357929302,0.616260317775464
2021-12-01T23:35:00.000Z,4.7687,-139.988,75,9,5,662.205250028471,6.37383956696939,117.881885419983,6.28126497040347,0.368643333333333,1.65472,0.569293333333333,0.8095,0.0113992989050217,0.549877678898263,0.0349751990006032,0.0867470334655186,7.54728758532582,3.50775967325619,4.12336823664707,0.545124801022555
2021-12-01T23:35:00.000Z,4.7687,-139.988,80,9,5,717.057163104615,6.22928269374422,110.760361259421,6.06488234606477,0.37329,1.67909666666667,0.568743333333333,0.80866,0.0117796961243799,0.570280630567575,0.0348871693740015,0.0865271646658182,8.4335809727137,3.55890571784717,3.86382299537017,0.524313177423781
2021-12-01T23:35:00.000Z,4.7687,-139.988,85,9,5,669.322935142124,6.20148749557488,108.288398258729,6.02709522399412,0.367163333333333,1.59835,0.56405,0.821226666666667,0.0112841956980348,0.502488638383138,0.0341510746566114,0.0900231248793405,7.55182093030808,3.11671669011193,3.69660338799279,0.542034719077289
2021-12-01T23:35:00.000Z,4.7687,-139.988,100,9,5,661.044481419029,4.19835475483469,61.9279524934923,3.6310136145613,0.361236666666667,1.68620333333333,0.59303,0.83776,0.0108258020376102,0.576262109369752,0.0388633050268036,0.0947712728087786,7.16743921753256,2.42122976376387,2.40725948268372,0.344240307468005
2021-12-01T23:35:00.000Z,4.7687,-139.988,125,9,5,459.275134803767,1.54225803135592,16.7658149393547,0.844485759004429,0.38732,1.72287,0.68914,0.85006,0.0129763316641808,0.609801103812421,0.0572571836611845,0.0984028505783512,5.97159894007643,0.941405097691187,0.960212338721464,0.0829378534927879
