time,lat,lon,depth,sst,sss,pp,pc,pn
2021-11-20T10:42:07.000Z,28.92648093333333,-123.58160286666669,8,19.387566666666665,33.44250666666667,0.0095409249867672,1.104460957154431,0.1777261526104737
2021-11-20T13:42:11.000Z,28.565250133333333,-124.18102898333336,8,19.62080333333333,33.43429116666666,0.0123638544798239,1.2024732609467603,0.2050536367020175
2021-11-20T16:42:16.000Z,28.43606901666666,-124.4029496,8,20.11057333333333,33.22102616666667,0.0181567758138001,1.283505486489895,0.1913715547832103
2021-11-20T19:42:22.000Z,28.43605721666667,-124.40293113333334,8,19.61992,33.376465,0.0107834056997132,1.4508212194498449,0.2514164172421352
2021-11-20T22:42:30.000Z,28.436084166666667,-124.40308036666666,8,19.620555,33.362917833333334,0.0104307948048765,1.3971493892915832,0.2269305444933049
2021-11-21T01:42:35.000Z,28.26712635,-124.6760317,8,19.468946666666664,33.368632500000004,0.0138268004832933,1.294093512166817,0.2012782300730927
2021-11-21T17:43:53.000Z,27.157719616666665,-126.5243089424242,8,20.42438136363636,33.76372265151515,0.008750220183481,1.215933184041044,0.1853785192721669
2021-11-21T20:43:56.000Z,26.96016868636363,-126.85140170303032,8,20.535649848484848,33.819016530303024,0.0103374475881871,1.2064772285469727,0.1942474354992817
2021-11-21T23:44:01.000Z,26.74688683939393,-127.20268549545456,8,20.56359787878788,33.7943046969697,0.0143735952594304,1.6041849951754428,0.230746200232075
2021-11-22T02:44:08.000Z,26.445929151515152,-127.699613722727,8,20.686754545454537,33.914257439393936,0.0099549785029134,1.7486206598648857,0.2835550536540429
2021-11-22T05:44:15.000Z,26.088558995454548,-128.28909822272726,8,20.86283151515151,34.078698424242425,0.0114642336536975,2.142171431670321,0.2490601660305086
2021-11-22T08:44:20.000Z,25.72759185151515,-128.88349069090907,8,21.05268363636363,34.26514893939394,0.0188727937384496,1.7393636314343806,0.267121990113421
2021-11-22T16:05:42.000Z,24.23021393333333,-131.32097615,8,21.676206666666666,34.72221,0.0115891613211357,1.4042805206494502,0.2156529775826507
2021-11-22T19:05:47.000Z,23.86506101666667,-131.91309363333332,8,21.438551666666672,34.548637666666664,0.0103772719124267,1.537343762940138,0.2265408273160468
2021-11-22T22:05:53.000Z,23.51139428333333,-132.48592053333334,8,21.654960000000003,34.576123499999994,0.0100390228516138,1.6147605090291013,0.2579481578630965
2021-11-23T01:06:00.000Z,23.1512314,-133.05944383333332,8,22.17893,34.905664166666675,0.0116722221745713,1.7378354942859346,0.2586202440094542
2021-11-23T04:06:07.000Z,22.78276595,-133.64837225000002,8,23.241678333333333,34.941699166666666,0.0130801238888702,1.8604884896603824,0.2850511155677168
2021-11-23T07:06:13.000Z,22.41572108333333,-134.2363984333333,8,23.602101666666663,34.88863783333333,0.0129853737044828,1.655495025839274,0.2649452159090741
2021-11-23T19:08:54.000Z,21.62391858333333,-135.50007303333334,8,23.89957,34.9056345,,1.30499292984511,0.2282284351427801
2021-11-23T22:08:24.000Z,21.26000673770492,-136.0678314590164,8,23.966191803278686,34.9158431147541,0.0108480354564194,,
2021-11-24T01:09:03.000Z,20.88627815,-136.6583533,8,23.92069666666667,34.900619333333346,0.0102987658603364,,
2021-11-24T07:09:13.000Z,20.168619033333336,-137.78781053333333,8,24.10031,34.9255775,0.0102428571144985,1.273567235602059,0.2067082293655032
2021-11-24T11:09:24.000Z,19.79389993333333,-138.37014936666668,8,23.886976666666666,35.02236133333333,0.0101859162488695,1.4647803806202238,0.2422513800822658
2021-11-26T02:00:17.000Z,19.2594738,-138.82550101666666,8,24.322891666666667,34.848135,0.0106476683202797,1.6283533784017628,0.2325284540175042
2021-11-26T06:46:02.000Z,18.54586085,-139.60944675000002,8,25.051601666666667,34.619416333333334,0.0113961897560504,1.3819355160385765,0.2024294938911056
2021-11-26T09:46:09.000Z,18.0952786,-140.1016931166667,8,25.732985,34.34478049999999,,1.367285592339086,0.2163152058170043
2021-11-26T12:46:16.000Z,17.683716033333333,-140.1695758,8,25.400465,34.522886666666665,0.0092868244388173,1.1133095333301166,0.1898500456114588
2021-11-26T15:46:22.000Z,17.6766572,-140.16191905000002,8,25.41630333333333,34.494567833333335,0.0131125897781118,1.2217285937328115,0.1999785014658759
2021-11-26T18:46:28.000Z,17.5887597,-140.14034443333333,8,25.482616666666665,34.454013499999995,0.0123830620561353,1.3698426762513805,0.2346081666310903
2021-11-27T00:48:06.000Z,16.397165033333334,-140.00110213333335,8,25.823005,34.275841833333324,0.0115981868441281,1.3814257972730553,0.2023568720633055
2021-11-27T03:48:10.000Z,15.762593016666669,-139.9979328666667,8,25.808851666666666,34.374309000000004,0.0114871338363826,1.340824529293444,0.2046389526711227
2021-11-27T09:48:22.000Z,14.510135483333332,-140.00132076666668,8,26.53175333333333,33.673424999999995,0.0170543451119507,1.909586312043321,0.3334938784751555
2021-11-27T12:48:29.000Z,13.95810285,-140.00188538333336,8,26.383199999999995,33.737277166666665,0.02867127385863,1.7194545113144206,0.3055044913895802
2021-11-27T15:48:33.000Z,13.950163749999998,-140.00064243333333,8,26.39836833333333,33.7250265,0.0193275579138921,2.0415460570473294,0.3502757693804321
2021-11-27T21:09:36.000Z,13.388787000000002,-139.99882889999998,8,26.535535,33.61283616666666,0.015443888501895,1.430135894020348,0.2516150430262514
2021-11-28T00:09:40.000Z,12.812074033333332,-140.00022764999997,8,26.459705,33.775921833333335,0.0194269049197991,1.9897732407689,0.3047268467806213
