time,lat,lon,depth,station,cast,temp,sal,avg_fix_rate_15N2,stdev_15N2_fix_rate,avg_fix_rate_13C,stdev_13C_fix_rate,below_detection_limit_Nfix,below_detection_limit_Cfix
2021-11-20T13:00:00.000Z,28.62,-124.08,5,,,19.77,33.52,0.14,0.08,2.25,1.81,,
2021-11-21T13:49:00.000Z,27.0673,-126.6739,5,2,1,20.3008,33.831,0.3,0.09,2.74,1.49,,
2021-11-23T14:35:10.000Z,21.74,-135.31,5,3,1,23.51,34.6,0.32,0.14,2.92,0.49,,
2021-11-24T12:43:00.000Z,19.637,-138.617,5,4,1,23.6366,35.056,1.97,0.53,3.15,0.01,,
2021-11-24T12:43:00.000Z,19.637,-138.617,25,4,1,23.6484,35.0551,1.54,0.39,2.52,0.48,,
2021-11-24T12:43:00.000Z,19.637,-138.617,45,4,1,23.6518,35.0566,0.99,0.25,1.96,0.18,,
2021-11-24T12:43:00.000Z,19.637,-138.617,75,4,1,21.3452,34.8401,,,1.72,1.02,1,
2021-11-24T12:43:00.000Z,19.637,-138.617,100,4,1,19.8769,34.8234,,,0.51,0.97,1,
2021-11-24T12:43:00.000Z,19.637,-138.617,125,4,1,19.2096,34.8549,,,0.51,0.4,1,
2021-11-26T14:32:00.000Z,17.4,-140.09,5,5,1,25.1788,34.5163,0.24,0.2,3.53,0.67,,
2021-11-28T12:00:00.000Z,10.696,-140.002,5,7,1,26.79,33.75,0.68,0.1,3.53,0.68,,
2021-11-28T12:00:00.000Z,10.696,-140.002,15,7,1,26.5818,33.7496,0.85,0,6.48,,,
2021-11-28T12:00:00.000Z,10.696,-140.002,25,7,1,26.5669,33.7264,1.19,0.2,5.96,0.73,,
2021-11-28T12:00:00.000Z,10.696,-140.002,45,7,1,17.9454,34.5533,,,5.74,0.83,1,
2021-11-28T12:00:00.000Z,10.696,-140.002,75,7,1,12.9099,34.6518,,,0.23,0.11,1,
2021-11-28T12:00:00.000Z,10.696,-140.002,100,7,1,12.2417,34.7408,,,,,1,1
2021-11-30T14:05:00.000Z,8.23,-139.6,5,8,1,27.9265,34.1177,0.12,0.06,5.45,0.48,,
2021-12-01T14:03:00.000Z,4.753,-140,5,9,1,25.471,34.581,0.06,0.02,13.52,0.3,,
2021-12-02T12:51:00.000Z,4.775,-139.91,5,9,7,25.553,34.5719,,,10.8,0.44,1,
2021-12-03T14:00:00.000Z,1.125,-140.005,5,10,1,25.9822,34.7713,0.08,0.01,15.79,1.05,,
2021-12-04T11:30:00.000Z,0.071,-139.904,5,11,2,24.4069,34.7721,,,22.81,1.49,1,
2021-12-04T11:30:00.000Z,0.071,-139.904,25,11,2,24.3177,34.7493,0.29,0.37,21.64,0.1,,
2021-12-04T11:30:00.000Z,0.071,-139.904,45,11,2,23.8756,34.6828,0.09,0.04,14.54,3.1,,
2021-12-04T11:30:00.000Z,0.071,-139.904,75,11,2,21.678,34.9035,,,4.12,0.25,1,
2021-12-04T11:30:00.000Z,0.071,-139.904,100,11,2,17.5179,34.9662,,,0.57,0.46,1,
2021-12-04T11:30:00.000Z,0.071,-139.904,125,11,2,17.1069,35.078,,,0.11,0.04,1,
2021-12-06T11:40:00.000Z,-2.5,-140.001,5,12,1,25.7744,35.2547,,,12.68,1.19,1,
2021-12-06T11:40:00.000Z,-2.5,-140.001,25,12,1,25.7802,35.254,,,10.23,0.6,1,
2021-12-06T11:40:00.000Z,-2.5,-140.001,45,12,1,25.7843,35.2537,,,6.98,1.05,1,
2021-12-06T11:40:00.000Z,-2.5,-140.001,75,12,1,25.7931,35.2515,,,,,1,1
2021-12-06T11:40:00.000Z,-2.5,-140.001,100,12,1,24.8867,35.2991,,,,,1,1
2021-12-06T11:40:00.000Z,-2.5,-140.001,125,12,1,16.3267,35.1824,,,,,1,1
2021-12-10T14:30:00.000Z,6.4995,-146.6511,5,15,1,26.7787,34.8301,0.14,0.04,12.81,0.46,,
2021-12-11T14:30:00.000Z,9.25,-148.69,5,16,1,27.248,34.1407,0.38,0.21,2.69,0.28,,
2021-12-12T14:30:00.000Z,11.907,-150.6871,5,17,1,26.6121,34.0127,0.43,0.11,3.63,0.56,,

