numbered,parent_id,sample_id,am_sample_id,vol_l,c_counts,c_mol,c_mol_l,h_counts,h_mol,h_mol_l,n_counts,n_mol,n_mol_l,station,depth_m,cast,sample_type,local_date,collection_timestamp_utc,vol_filt_l,approximate_salinity,lat_n,long_w,notes,x12
79,S5_Uway,S5_Uway_A,G7,1,17130,6.263309506108771e-5,6.263309506108771e-5,13484,1.7615567509399635e-4,1.7615567509399635e-4,1306,1.2674354919663708e-5,1.2674354919663708e-5,5,0,NA,POCPN,2022-06-07T00:00:00Z,2022-06-07T15:00:00Z,1,29,NA,NA,NA,NA
80,S4_C1_D2,S4_C1_D2_C,G8,1,3750,1.3602493783089412e-5,1.3602493783089412e-5,8243,1.0253850533785048e-4,1.0253850533785048e-4,256,7.377618739165113e-6,7.377618739165113e-6,5,30,1,POCPN,2022-06-06T00:00:00Z,2022-06-06T23:00:00Z,1,29.8,NA,NA,NA,NA
81,S2_C2_D2,S2_C2_D2_B,G9,1.5,2993,1.082849040734616e-5,7.21899360489744e-6,8113,1.0071247365147403e-4,6.71416491009827e-5,195,7.246236235164957e-6,4.830824156776638e-6,2,65,2,POCPN,2022-06-04T00:00:00Z,2022-06-04T13:31:00Z,1.5,32,NA,NA,NA,NA
82,S7_C2_D4,S7_C2_D4_A,G10,0.6,4251,1.5438392978924772e-5,2.5730654964874626e-5,7930,9.814198289295952e-5,1.6356997148826586e-4,320,7.061290094918584e-6,1.1768816824864306e-5,7,15,2,POCPN,2022-06-08T00:00:00Z,2022-06-08T17:55:00Z,0.6,28.85,NA,NA,NA,NA
83,S7_C1_D1,S7_C1_D1_C,G11,1,5097,1.8538534135964128e-5,1.8538534135964128e-5,9191,1.1585449025081106e-4,1.1585449025081106e-4,355,8.335700383720096e-6,8.335700383720096e-6,7,156,1,POCPN,2022-06-08T00:00:00Z,2022-06-08T15:30:00Z,1,30.5,NA,NA,NA,NA
84,S4_C1_D2,S4_C1_D2_B,G12,1,3454,1.2517810825070912e-5,1.2517810825070912e-5,8474,1.0578322318056555e-4,1.0578322318056555e-4,237,7.611075342426929e-6,7.611075342426929e-6,5,30,1,POCPN,2022-06-06T00:00:00Z,2022-06-06T23:00:00Z,1,29.8,NA,NA,NA,NA
85,S6_C2_D3,S6_C2_D3_B,H1,0.25,1096,3.876991855450586e-6,1.5507967421802344e-5,5537,6.452895346604536e-5,2.5811581386418146e-4,68,4.64284138666956e-6,1.857136554667824e-5,6,50,2,POCPN,2022-06-07T00:00:00Z,2022-06-07T22:06:00Z,0.25,28.8,NA,NA,NA,NA
86,S6_C2_D4,S6_C2_D4_B,H2,0.25,1013,3.5728408908710754e-6,1.42913635634843e-5,4471,4.95554936377585e-5,1.98221974551034e-4,70,3.5655048538682817e-6,1.4262019415473129e-5,6,28,2,POCPN,2022-06-07T00:00:00Z,2022-06-07T22:06:00Z,0.25,28.7,NA,NA,NA,NA
87,S4_C1_D2,S4_C1_D2_A,H3,1,3622,1.3133441693135464e-5,1.3133441693135464e-5,8706,1.0904198742086816e-4,1.0904198742086816e-4,252,7.8455425803349e-6,7.8455425803349e-6,5,30,1,POCPN,2022-06-06T00:00:00Z,2022-06-06T23:00:00Z,1,29.8,NA,NA,NA,NA
88,S5_C3_D1,S5_C3_D1_B,H4,1,3677,1.333498751303755e-5,1.333498751303755e-5,7218,8.814094781065158e-5,8.814094781065158e-5,263,6.341718226856191e-6,6.341718226856191e-6,5,30,3,POCPN,2022-06-07T00:00:00Z,2022-06-07T15:42:00Z,1,29.9,NA,NA,"""HPLC and POC from same 2L, POC may be over-estimated""",NA
89,S7_C1_D2,S7_C1_D2_A,H5,0.8,3038,1.0993391532720592e-5,1.374173941590074e-5,8087,1.0034726731419876e-4,1.2543408414274844e-4,220,7.219959734364925e-6,9.024949667956157e-6,7,90,1,POCPN,2022-06-08T00:00:00Z,2022-06-08T15:30:00Z,0.8,30.3,NA,NA,NA,"Due to a machine error, this sample was analyzed immedaitely after the run."
90,S7_C3_D5,S7_C3_D5_A,H6,0.6,9771,3.566626435818864e-5,5.94437739303144e-5,10627,1.3602511718647703e-4,2.267085286441284e-4,671,9.78697173559874e-6,1.6311619559331237e-5,7,6,3,POCPN,2022-06-08T00:00:00Z,2022-06-08T18:30:00Z,0.6,28.8,NA,NA,NA,NA
91,S2_C3_D4,S2_C3_D4_B,H7,1.5,3227,1.1685976259293211e-5,7.79065083952881e-6,8214,1.0213115980781268e-4,6.808743987187512e-5,242,7.348310334426617e-6,4.898873556284411e-6,2,30,3,POCPN,2022-06-04T00:00:00Z,2022-06-04T15:35:00Z,1.5,31,NA,NA,NA,NA
92,S1_C1_5m,S1_C1_5m_B,H8,0.2,4525,1.6442457608982438e-5,8.221228804491219e-5,8517,1.0638721827682856e-4,5.319360913841427e-4,291,7.654532632211596e-6,3.827266316105798e-5,1,1,1,POCPN,2022-06-03T00:00:00Z,NA,0.2,27,NA,NA,"""Same 2L sample, POC may be over-estimated""",NA
93,S4_C1_D1,S4_C1_D1_B,H9,1,2447,8.827690086136364e-6,8.827690086136364e-6,11068,1.422195785225695e-4,1.422195785225695e-4,147,1.0232661614553118e-5,1.0232661614553118e-5,5,120,1,POCPN,2022-06-06T00:00:00Z,2022-06-06T23:00:00Z,1,30.75,NA,NA,NA,NA
94,S7_C3_D6,S7_C3_D6_B,H10,0.6,17626,6.445067190965924e-5,1.0741778651609874e-4,15560,2.0531599648566947e-4,3.421933274761158e-4,1025,1.477243244508158e-5,2.4620720741802633e-5,7,3,3,POCPN,2022-06-08T00:00:00Z,2022-06-08T18:30:00Z,0.6,28.2,NA,NA,NA,NA
95,S7_C1_D2,S7_C1_D2_B,H11,0.8,3052,1.1044694105059304e-5,1.3805867631324133e-5,6779,8.197457926973419e-5,1.0246822408716774e-4,216,5.8980496171941255e-6,7.372562021492657e-6,7,90,1,POCPN,2022-06-08T00:00:00Z,2022-06-08T15:30:00Z,0.8,30.3,NA,NA,NA,NA
96,Blk,Blk6,H12,0.25,813,2.8399470003180367e-6,1.1359788001272148e-5,2402,2.049349702919796e-5,8.197398811679185e-5,59,1.4745017709734923e-6,5.898007083893969e-6,NA,0,NA,POCPN,2022-06-08T00:00:00Z,2022-06-09T03:08:00Z,0.25,NA,NA,NA,NA,NA
97,NA,S7_C2_D3,A1,0.6,2669,9.641202304650237e-6,1.6068670507750396e-5,7117,8.672226165431296e-5,1.4453710275718829e-4,208,6.239644127594532e-6,1.039940687932422e-5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,S4_C2_D3,S4_C2_D3_A,A2,1,4297,1.560695857375197e-5,1.560695857375197e-5,8986,1.1297497874537128e-4,1.1297497874537128e-4,313,8.128520281258312e-6,8.128520281258312e-6,5,12,2,POCPN,2022-06-06T00:00:00Z,2022-06-07T01:00:00Z,1,29.3,NA,NA,NA,NA
99,S4_C2_D3,S4_C2_D3_C,A3,1,4630,1.6827226901522785e-5,1.6827226901522785e-5,9092,1.1446389688964744e-4,1.1446389688964744e-4,335,8.235647553750747e-6,8.235647553750747e-6,5,12,2,POCPN,2022-06-06T00:00:00Z,2022-06-07T01:00:00Z,1,29.3,NA,NA,NA,NA
100,S4_C2_D3,S4_C2_D3_B,A4,1,4487,1.6303207769777358e-5,1.6303207769777358e-5,8018,9.937806588066047e-5,9.937806588066047e-5,321,7.150225943780228e-6,7.150225943780228e-6,5,12,2,POCPN,2022-06-06T00:00:00Z,2022-06-07T01:00:00Z,1,29.3,NA,NA,NA,NA
101,S4_C2_D4,S4_C2_D4_A,A5,1,7056,2.5717229793931145e-5,2.5717229793931145e-5,9844,1.250267878754558e-4,1.250267878754558e-4,490,8.99564480765934e-6,8.99564480765934e-6,5,4,2,POCPN,2022-06-06T00:00:00Z,2022-06-07T01:00:00Z,1,29.5,NA,NA,NA,NA
102,S4_C2_D4,S4_C2_D4_C,A6,1,7384,2.6919175774438124e-5,2.6919175774438124e-5,9275,1.17034387648162e-4,1.17034387648162e-4,502,8.42059369399712e-6,8.42059369399712e-6,5,4,2,POCPN,2022-06-06T00:00:00Z,2022-06-07T01:00:00Z,1,29.5,NA,NA,NA,NA
103,S4_C1_D1,S4_C1_D1_A,A7,1,2276,8.201065809713515e-6,8.201065809713515e-6,8631,1.0798850760180482e-4,1.0798850760180482e-4,155,7.76974498187327e-6,7.76974498187327e-6,5,120,1,POCPN,2022-06-06T00:00:00Z,2022-06-06T23:00:00Z,1,30.75,NA,NA,NA,NA
104,S4_C2_D4,S4_C2_D4_B,A8,1,8291,3.0242849568096163e-5,3.0242849568096163e-5,8947,1.1242716923945832e-4,1.1242716923945832e-4,530,8.089105530058264e-6,8.089105530058264e-6,5,4,2,POCPN,2022-06-06T00:00:00Z,2022-06-07T01:00:00Z,1,29.5,NA,NA,NA,NA
105,S4_C1_D1,S4_C1_D1_C,A9,1,2226,8.017842337075255e-6,8.017842337075255e-6,9564,1.210937965509527e-4,1.210937965509527e-4,162,8.712667106735928e-6,8.712667106735928e-6,5,120,1,POCPN,2022-06-06T00:00:00Z,2022-06-06T23:00:00Z,1,30.75,NA,NA,NA,NA
