numbered,parent_id,sample_id,am_sample_id,vol_l,c_counts,c_mol,c_mol_l,h_counts,h_mol,h_mol_l,n_counts,n_mol,n_mol_l,station,depth_m,cast,sample_type,local_date,collection_timestamp_utc,vol_filt_l,approximate_salinity,lat_n,long_w,notes,x12
19,S5_C3_D1,S5_C3_D1_C,Susan B7,1,15744,5.724736238925868e-5,5.724736238925868e-5,12650,1.6510017462368135e-4,1.6510017462368135e-4,1154,1.1878914541711008e-5,1.1878914541711008e-5,5,30,3,POCPN,2022-06-07T00:00:00Z,2022-06-07T15:42:00Z,1,29.9,NA,NA,"""HPLC and POC from same 2L, POC may be over-estimated""",NA
20,S5_C3_D2,S5_C3_D2_C,Susan B8,1,17836,6.485908851365624e-5,6.485908851365624e-5,13336,1.7505678009931377e-4,1.7505678009931377e-4,1322,1.259528971115074e-5,1.259528971115074e-5,5,9,3,POCPN,2022-06-07T00:00:00Z,2022-06-07T15:42:00Z,1,29.4,NA,NA,"""HPLC and POC from same 2L, POC may be over-estimated""",NA
21,S7_C3_D6,S7_C3_D6_C,Susan B9,0.6,17995,6.543760880704974e-5,1.090626813450829e-4,16159,2.1602980817177764e-4,3.600496802862961e-4,999,1.554328840404923e-5,2.590548067341538e-5,7,3,3,POCPN,2022-06-08T00:00:00Z,2022-06-08T18:30:00Z,0.6,28.2,NA,NA,NA,NA
22,S7_C2_D4,S7_C2_D4_B,Susan B10,0.6,4520,1.6408923565053003e-5,2.734820594175501e-5,8264,1.0144176118909883e-4,1.690696019818314e-4,346,7.298708283456401e-6,1.2164513805760668e-5,7,15,2,POCPN,2022-06-08T00:00:00Z,2022-06-08T17:55:00Z,0.6,28.85,NA,NA,NA,NA
23,S3_C2_D3,S3_C2_D3_C,Susan B11,1,2576,9.335694317524864e-6,9.335694317524864e-6,8204,1.0057092106003478e-4,1.0057092106003478e-4,200,7.236051563097241e-6,7.236051563097241e-6,3,10,2,POCPN,2022-06-05T00:00:00Z,2022-06-05T18:33:00Z,1,30.5,NA,NA,NA,NA
24,S2_C3_D3,S2_C3_D3_B,Susan B12,1.5,5636,2.046948109604138e-5,1.3646320730694252e-5,10654,1.3613022633015e-4,9.075348422010029e-5,303,9.79453431109628e-6,6.529689540730854e-6,2,45,3,POCPN,2022-06-04T00:00:00Z,2022-06-04T15:35:00Z,1.5,31.6,NA,NA,NA,NA
25,S5_C3_D2,S5_C3_D2_B,Susan C1,1,16503,6.000897812942013e-5,6.000897812942013e-5,13502,1.7746610445639098e-4,1.7746610445639098e-4,1202,1.2768639970811085e-5,1.2768639970811085e-5,5,9,3,POCPN,2022-06-07T00:00:00Z,2022-06-07T15:42:00Z,1,29.4,NA,NA,"""HPLC and POC from same 2L, POC may be over-estimated""",NA
26,S7_C3_D6,S7_C3_D6_A,Susan C2,0.6,17583,6.393854993360242e-5,1.0656424988933738e-4,16203,2.1666842426642456e-4,3.6111404044404096e-4,987,1.5589236665645942e-5,2.5982061109409904e-5,7,3,3,POCPN,2022-06-08T00:00:00Z,2022-06-08T18:30:00Z,0.6,28.2,NA,NA,NA,NA
27,S3_C2_D4,S3_C2_D4_A,Susan C3,1,2723,9.870552701983007e-6,9.870552701983007e-6,8490,1.0472192567524012e-4,1.0472192567524012e-4,202,7.534715263475905e-6,7.534715263475905e-6,3,4,2,POCPN,2022-06-05T00:00:00Z,2022-06-05T18:33:00Z,1,30,NA,NA,NA,NA
28,S2_C4_D5,S2_C4_D5_B,Susan C4,1.5,3560,1.2915970850224292e-5,8.610647233482862e-6,11428,1.4736406399507674e-4,9.824270933005116e-5,277,1.0602806003729446e-5,7.068537335819631e-6,2,15,4,POCPN,2022-06-04T00:00:00Z,2022-06-04T18:20:00Z,1.5,30,NA,NA,NA,NA
