time,lat,lon,depth,Station,Cast,RosPos,SiO4,NO3_NO2,NO2,TDN,DON,PO4,TDP,DOP,NH4
2023-01-28T03:42:00.000Z,19.331,-138.714,15,2,2,23,1.3216423978912648,0.007966877791749783,,,,0.20380314447957462,,,0.016594604159758462
2023-01-28T03:42:00.000Z,19.331,-138.714,25,2,2,21,1.210407821767526,0.001482987851504735,,,,0.18319285647906913,,,0.010775716986856143
2023-01-28T03:42:00.000Z,19.331,-138.714,45,2,2,19,1.178208339205391,0.00317164892776052,,,,0.17623542875008497,,,0.005172344153690949
2023-01-28T03:42:00.000Z,19.331,-138.714,75,2,2,17,1.1947959514343696,0.0035360402284159687,,,,0.1573717753258935,,,0.004166610568251041
2023-01-28T03:42:00.000Z,19.331,-138.714,85,2,2,15,1.3284725911620208,0.004709161947630399,,,,0.12156576651145604,,,0.01918077623660394
2023-01-28T03:42:00.000Z,19.331,-138.714,100,2,2,13,1.3221302688391758,0.003191930271720482,,,,0.12564124718952208,,,0.005675210946410902
2023-01-28T03:42:00.000Z,19.331,-138.714,150,2,2,9,3.41704811916959,3.9522243214044765,,,,0.40696585628116744,,,0.009841821514661946
2023-01-28T03:42:00.000Z,19.331,-138.714,175,2,2,6,6.660414180882816,7.976791862564912,,,,0.6953061142543409,,,0.011278583779576095
2023-01-28T03:42:00.000Z,19.332,-138.712,200,2,2,3,11.376662634339759,12.591051833183457,,,,0.9785811319562034,,,0.01709747095247842
2023-01-30T14:13:00.000Z,12.361,-140.003,200,3,1,1,24.855169205195985,21.941690145414164,,,,1.748089532968931,,,
2023-01-30T14:13:00.000Z,15.976,-140.005,5,3,1,16,1.5561987093557086,0.005,,,,0.19384464118352504,,,
2023-01-30T14:13:00.000Z,15.976,-140.005,15,3,1,14,1.5396508950254555,0.0064,,,,0.2044808750269036,,,
2023-01-30T14:13:00.000Z,15.976,-140.005,25,3,1,12,1.551269573172229,0.0078,,,,0.20033014962460952,,,
2023-01-30T14:13:00.000Z,15.976,-140.005,45,3,1,10,1.2534089152276748,0.0027,,,,0.16605784057372308,,,
2023-01-30T14:13:00.000Z,15.976,-140.005,75,3,1,8,1.3984663514843607,0,,,,0.11526910335954152,,,
2023-01-30T14:13:00.000Z,15.976,-140.005,85,3,1,7,1.4273370062733128,0.0037,,,,0.12034221218456759,,,
2023-01-30T14:13:00.000Z,15.976,-140.005,100,3,1,5,1.5938713930437314,0.36076176739064936,,,,0.14614012353910366,,,
2023-01-31T14:08:00.000Z,9.416,-139.983,200,4,1,1,30.34270610203265,34.10992544883911,,,,2.4711516629449495,,,
2023-01-31T14:08:00.000Z,12.361,-140.003,5,4,1,24,,,,,,,,,
2023-01-31T14:08:00.000Z,12.361,-140.003,15,4,1,19,2.3684499361619573,0.981630775911021,,,,0.27374610517768583,,,
2023-01-31T14:08:00.000Z,12.361,-140.003,25,4,1,16,2.3054274092446105,0.8361301735932453,,,,0.25227186611720614,,,
2023-01-31T14:08:00.000Z,12.361,-140.003,45,4,1,13,3.477505577444872,2.549250278964865,,,,0.4138330875051106,,,
2023-01-31T14:08:00.000Z,12.361,-140.003,75,4,1,10,25.477648688938267,28.81277338363533,,,,2.429010270318881,,,
2023-01-31T14:08:00.000Z,12.361,-140.003,85,4,1,8,26.22687738882717,32.03072848558121,,,,2.4634843507434896,,,
2023-01-31T14:08:00.000Z,12.361,-140.003,90,4,1,5,25.619185313635324,33.0469073497138,,,,2.409841989815231,,,
2023-02-01T23:05:00.000Z,9.416,-139.983,5,5,4,24,1.4788037840336021,0.24969500065426153,0.011093964205884136,5.360442831797763,5.059898063500061,0.2087522318652869,0.41484186825346636,0.20608963638817945,0.050849767643440916
2023-02-01T23:05:00.000Z,9.416,-139.983,10,5,4,23,1.4826966534881163,0.2536948417886917,0.011224044188197686,5.366213094417924,5.05255470753546,0.2172423645658877,0.4315885885823931,0.21434622401650538,0.05996354509377286
2023-02-01T23:05:00.000Z,9.416,-139.983,15,5,4,22,1.473451088533645,0.2512031374754401,0.011651449844370776,5.4302105525688065,5.122791591567954,0.21012349041143208,0.4240246041807513,0.2139011137693192,0.05621582352541205
2023-02-01T23:05:00.000Z,9.416,-139.983,20,5,4,21,1.4788037840336021,0.25074413931247275,0.012580592575181841,5.426538567265068,5.118726849525283,0.19775298778237804,0.4094264086040419,0.21167342082166385,0.05706757842731224
2023-02-01T23:05:00.000Z,9.416,-139.983,25,5,4,20,1.4763707406245308,0.24943271598970873,0.011242627042813907,5.48981474258843,5.18978778542585,0.19734452778990927,0.40598288263131,0.20863835484140072,0.050594241172870855
2023-02-01T23:05:00.000Z,9.416,-139.983,30,5,4,19,1.4729644798518307,0.258415965750642,0.011391289879743676,5.606400275982148,5.299178754352625,0.1964692563774762,0.40930868122035874,0.21283942484288254,0.04880555587888047
2023-02-01T23:05:00.000Z,9.416,-139.983,35,5,4,18,1.4763707406245308,0.2580225387538128,0.011261209897430128,5.368245800568209,5.063972970641216,0.19775298778237804,0.4030396980392315,0.20528671025685347,0.04625029117317992
2023-02-01T23:05:00.000Z,9.416,-139.983,40,5,4,17,1.4953484792152876,0.27998887941010947,0.012041689791311424,5.401949379963243,5.0670223093805715,0.20242110198202107,0.4107214098245564,0.20830030784253534,0.05493819117256178
2023-02-01T23:05:00.000Z,9.416,-139.983,45,5,4,16,1.785853862258414,0.662858918491053,0.015386603622231263,5.919502594292047,5.14361580031884,0.2444049540650606,0.4534270182556156,0.209022064190555,0.11302787548215423
2023-02-01T23:05:00.000Z,9.416,-139.983,50,5,4,15,6.006210959633679,6.54087413885618,0.06202956870894681,12.10083133088979,5.005031271765548,0.7131925381757138,0.9128985433097865,0.19970600513407266,0.5549259202680614
2023-02-01T23:05:00.000Z,9.416,-139.983,55,5,4,14,13.16860414725809,16.702240861156948,0.15905065266023838,21.565894563039457,4.497859836836895,1.4499746218366218,1.6002094627130872,0.15023484087646533,0.36579386504561345
2023-02-01T23:05:00.000Z,9.416,-139.983,60,5,4,13,18.945622417757242,22.677695624552086,0.32226386475451035,26.87978961945576,3.7386165408970156,2.003846371624268,2.1443748619424836,0.14052849031821557,0.46347745400665796
2023-02-01T23:05:00.000Z,9.416,-139.983,65,5,4,12,22.588861618500772,26.341974893638437,0.4015569054019268,30.997641838722565,3.8783549818622,2.3516500552114215,2.4789855182158895,0.12733546300446807,0.7773119632219286
2023-02-01T23:05:00.000Z,9.416,-139.983,70,5,4,11,23.57083793840199,27.00496242732298,0.39815624300715824,31.738683898985904,3.9543311342077825,2.4205922667973994,2.5525651330178523,0.1319728662204529,0.7793903374551423
2023-02-01T23:05:00.000Z,9.416,-139.983,75,5,4,10,25.354258757251333,28.83648825902239,0.4052920591797873,33.04567219257937,3.664649884454986,2.5109202765604923,2.650131702245255,0.13921142568476252,0.5445340491019928
2023-02-01T23:05:00.000Z,9.416,-139.983,80,5,4,9,26.886102887602693,31.332229230093873,0.38433059917268964,34.939871373187074,3.4220447499691518,2.535398700394871,2.646541017042919,0.1111423166480483,0.1855973931240498
