time,lat,lon,depth,Temp,Salinity,Si,SRP,TDP,DOP,NplusN,TDN,DON,NH4,NO2,Ratio_TDN_TDP,Ratio_DON_DOP
2023-01-24T02:27:00.000Z,29.5625,-122.6797,8,17.3,33.3,1.1620209908883,0.27424257270009256,0.4314771880969556,0.15723461539686306,0.03838970881870629,4.517308916990299,4.462278790962892,0.016640417208700332,0.0020189496098567653,10.469403809999871,28.379748185220016
2023-01-24T15:53:59.000Z,28.2611,-124.7246,8,18.57,33.61,1.1747632437246738,0.23308131093180212,0.39247008645474735,0.15938877552294523,0.004756578556073853,4.519480569615497,4.496044079819573,0.01867991123985023,0,11.515477804794692,28.208034505995265
2023-01-24T20:31:00.000Z,28.2612,-124.7247,8,18.6,33.61,1.1567670762116964,0.2327717446332493,0.3928699314601914,0.1600981868269421,0.07883935323256268,4.460710220446072,4.360734292708865,0.02113657450464443,0.0024291053909419264,11.354165496623315,27.23787432660055
2023-01-25T14:17:00.000Z,26.2673,-128.0383,8,19.32,33.81,1.191008106345449,0.21753666036875716,0.37624304331714303,0.15870638294838588,0.005196655705946827,4.434786117232768,4.406923266498814,0.022666195028006857,0.0029630266323816133,11.787024892562853,27.76777584258866
2023-01-26T02:16:00.000Z,24.8834,-130.2719,8,20.24,34.35,1.2692733180797404,0.15704961681938379,0.32877255572636904,0.17172293890698526,0.005786546353648899,4.5270134896591525,4.5004148337603604,0.020812109545143308,0.0027304674244336387,13.769438509420164,26.207417962943417
2023-01-26T14:17:00.000Z,23.4084,-132.6569,8,20.54,34.26,1.2355154065369403,0.17991329915535603,0.34986437976354257,0.16995108060818653,0.006582430560865981,4.561081290216949,4.533547693699725,0.020951165956358073,0.004060278210936528,13.036712377806442,26.67560381184975
2023-01-27T02:16:00.000Z,21.9227,-135.0166,8,22.41,34.36,1.2371459317814049,0.18754189722683612,0.4115071514361668,0.22396525420933067,0.09775330733348626,5.427095638659248,5.301670105494023,0.027672225831738437,0.002082021485869146,13.18833857374919,23.671841974821596
2023-01-27T14:55:00.000Z,20.3445,-137.5138,8,23.17,34.15,1.41523552237124,0.2027548696128602,0.42643469830607794,0.22367982869321773,0.010861478592609584,5.614061356859901,5.575759413120911,0.02744046514638049,0.0033166586973394003,13.165113859544212,24.927412747477554
2023-01-28T03:30:00.000Z,19.331,-138.7135,8,23.62,34.07,1.3777938315724274,0.1995707591134598,0.42589046482644577,0.22631970571298596,0.005767819666420262,5.538800020567878,5.509995188776878,0.023037012124579568,0.001550729985439277,13.005221947913272,24.346069077009766
2023-01-28T14:48:00.000Z,19.3316,-138.7118,8,23.54,34.07,1.3684334088727244,0.2081833357767685,0.43408728743804875,0.22590395166128024,0.0059457231950923155,5.481251226000127,5.45064616588295,0.024659336922085166,0.002309457413523091,12.627071523679186,24.12815767851478
2023-01-29T03:23:00.000Z,19.331,-138.7135,8,23.58,34.08,1.3730834253106414,0.20885774807004426,0.43389847174103346,0.2250407236709892,0.010674211720323212,5.5188479620738695,5.486573654478186,0.02160009587536032,0.003982648465867802,12.719215027260388,24.38035909669215
2023-01-29T15:28:00.000Z,19.278,-138.9367,8,23.59,34.07,1.3573216812808189,0.20537512721132511,0.43234351894208445,0.22696839173075933,0.007209774583025328,5.803062999396677,5.770684014383779,0.025169210429872642,0.0030620767180661724,13.422342986883168,25.425055755028822
2023-01-30T02:39:00.000Z,18.3086,-139.3819,8,23.59,34.09,1.3693996460546292,0.20431375704485832,0.43995168085122816,0.23563792380636983,0.032958969522401495,5.975098605799094,5.920864005360833,0.021275630915859198,0.00294420984013606,13.581261001749878,25.12695711164969
2023-01-30T15:49:00.000Z,15.9765,-140.0052,8,24.21,33.92,1.4802753626782092,0.21060458646902086,0.45943301806091874,0.24882843159189788,0.007645170061091143,5.716739807545051,5.6801709039512875,0.028923733532671327,0.004610480797114296,12.443032134854176,22.827660278256722
2023-01-31T03:31:00.000Z,14.543,-140.0044,8,24.44,33.82,1.6051011286155403,0.24153910444583437,0.48929921860644776,0.2477601141606134,0.07958842072170816,5.908252423429713,5.772670621125525,0.05599338158247911,0.008342942408623684,12.074927158593784,23.29943478062544
2023-01-31T15:20:00.000Z,12.3615,-140.0037,8,24.94,34.28,2.3192107958670833,0.28306521220884784,0.506181563280752,0.2231163510719042,0.907307996227473,6.493444941776076,5.458761272875877,0.12737567267272565,0.022466872767182122,12.828292084938122,24.465984884795244
2023-02-01T03:29:00.000Z,11.1306,-140.0045,8,25.57,34.49,1.7949667348598406,0.22221332266475147,0.42263617075435944,0.20042284808960797,0.39184757055919095,5.559362856362722,5.077221322788076,0.09029396301545473,0.01809334106440271,13.154015773046273,25.332547517327356
2023-02-01T15:04:00.000Z,9.4122,-139.9888,8,26.01,34.51,1.4720321517200836,0.19473931366818908,0.3936696214710795,0.1989303078028904,0.21186043779252076,5.282413144093306,4.823124998612645,0.2474277076881403,0.010105120334541678,13.418391605513744,24.245300034380012
2023-02-02T03:07:00.000Z,9.4164,-139.9826,8,26.03,34.5,1.5236050613042542,0.19285980399840413,0.3948802632931184,0.2020204592947143,0.2498079160423245,5.371989953294845,5.051495028218348,0.07068700903417272,0.009703534785114012,13.604098387939011,25.00486854575979
2023-02-02T14:49:00.000Z,9.4477,-140.0032,8,25.99,34.5,1.523695646040058,0.1965635436418039,0.3922479503406118,0.19568440669880788,0.24017120751800775,5.286073946310443,4.959780468113424,0.08612227067901175,0.00107339532246186,13.476358363938516,25.34581345435144
